leiden	n_cells	n_units	n_GSE131907	n_GSE205335	top_subtype	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_dpt
0	345	4	343	2	Malignant cells	1.3195633973599776	2.991335932643148	1.0401676471664099	0.02826949954032898
1	347	22	338	9	AT1	1.0461127930020337	0.7168655116271218	1.4305439219017435	0.013551706448197365
2	2307	25	2276	31	AT2	0.938046010248234	3.935643618469328	0.6512542618616349	0.007399761117994785
3	793	25	707	86	tS1	1.1789885959840083	2.5014354156940546	1.054990488693457	0.02747257426381111
4	350	1	350	0	Malignant cells	2.136522311806752	0.03941495443111493	1.5845665636005015	0.5684198141098022
5	398	3	77	321	Malignant cells	0.47088743147395545	0.011115178167269271	1.2657613387643913	0.09334166347980499
6	824	39	584	240	Ciliated	1.7970909640500745	0.2613665219380972	1.046373715700877	0.2795378565788269
7	477	36	292	185	Club	1.8765181115558371	0.4840284998827963	1.3544867016463444	0.06056567281484604
8	758	50	151	607	Non-malignant cells	0.26368345966972195	0.4503684654583941	0.3542136125888685	0.0507737398147583
9	701	33	656	45	Malignant cells	1.4367215798953203	0.5331143388279089	1.4994381374939574	0.07564565539360046
10	1600	43	971	629	Malignant cells	0.6063757689623926	0.327650451252473	1.4126642354221328	0.07711859047412872
11	504	14	464	40	tS1	1.65043211715621	1.6638710851668468	1.1001913140462527	0.05623623728752136
12	358	3	113	245	Malignant cells	1.4541941641479441	0.3527165907780383	1.8084001098882407	0.07630880177021027
13	720	21	541	179	Malignant cells	2.1026730497924953	0.9922706564981076	1.8664639630716222	0.06841805577278137
14	367	9	347	20	Malignant cells	0.013607261606675056	0.02539564508803455	0.036183986714424604	0.19725988805294037
15	349	2	1	348	Malignant cells	1.5495212779743464	0.06238833382073568	0.5602868400025071	0.24050010740756989
16	360	5	349	11	Malignant cells	2.083789397796089	0.26547615401942254	2.025211033883596	0.08443944156169891
17	233	2	231	2	Malignant cells	1.7555428917698424	0.7849427221139083	1.5698136817696267	0.07708220928907394
18	541	14	494	47	Malignant cells	1.4052591338227023	0.8693899867735045	1.8534691361826146	0.07353761792182922
19	398	5	281	117	tS2	2.0808801083036275	0.17110375376267425	1.7242606192666006	0.07027439773082733
20	451	14	387	64	Malignant cells	2.2402510973500567	0.5238532145769612	1.6534551798459562	0.07414105534553528
21	309	2	0	309	Malignant cells	0.7937853286708365	0.000471116606805153	0.6172442685626696	0.18564677238464355
22	527	2	263	264	Malignant cells	1.6154443996704766	0.05707821430982384	1.4147735131445707	0.14465191960334778
23	330	1	330	0	Malignant cells	1.2423780414146788	1.1635057724572713	1.708947222513316	0.08527248352766037
24	578	46	198	380	Malignant cells	1.0327051748224279	0.15343568411794953	0.859685305047003	0.07328319549560547
25	240	44	107	133	Malignant cells	0.6815495118284628	0.8826785101755944	0.7176738740845485	0.0646335706114769
26	216	3	160	56	Malignant cells	1.5093376266868175	0.2667363796733334	2.394085436151142	0.07692292332649231
27	336	1	336	0	Malignant cells	1.7533527372115398	0.2882989161174748	1.0158622826208417	0.12911847233772278
28	81	2	79	2	Malignant cells	1.288759719229838	0.25759685202057114	0.7910164479548538	0.10202284157276154
29	133	1	133	0	Malignant cells	1.684775427255873	0.5339151593168575	1.5175154434209195	0.08176007121801376
30	640	6	318	322	Malignant cells	1.6194187183917008	0.4623899801548105	1.6324997060345434	0.08050684630870819
31	354	3	12	342	Malignant cells	1.745422511912819	0.030793362651448376	1.2677518906229335	0.09872451424598694
32	187	5	96	91	Malignant cells	1.651479088890733	0.3616474577441031	1.7120341634461977	0.07712070643901825
33	468	5	1	467	Malignant cells	0.7219325935227765	0.04031314640711775	1.3826544055507601	0.09164010733366013
34	321	2	0	321	Malignant cells	0.9816659735112637	0.007886320049412986	2.1358034309495313	0.09928129613399506
35	150	1	0	150	Malignant cells	2.545941780139839	0.03946340300369814	2.2623822101108786	0.08047287911176682
36	246	1	0	246	Malignant cells	2.376754049766034	0.8555038123727052	0.9964025486913536	0.07395018637180328
37	347	1	0	347	Malignant cells	1.6805488031046285	0.005695122498021199	0.6124555119575374	0.8670384883880615
38	328	1	0	328	Malignant cells	0.9855675756616638	0.014940354559682614	0.7856450000245538	0.4211520552635193
