cohort	split	interaction_name	pathway_name	annotation	ligand	receptor	ligand_genes	receptor_genes	direction	partner	prob_high	prob_low	pval_high	pval_low	sig_high	sig_low	delta_prob	ligand_class	sig_either	sig_diff
GSE253013	GSE253013	GZMA_F2RL1	PARs	Secreted Signaling	GZMA	F2RL1	GZMA	F2RL1	incoming	TNK	0.2579485969669794	0.0	0.0099009900990099	1.0	True	False	0.2579485969669794	other	True	True
GSE253013	GSE253013	CD8A_CEACAM5	CEACAM	Cell-Cell Contact	CD8A	CEACAM5	CD8A	CEACAM5	incoming	TNK	0.4000858894751393	0.1593119520922259	0.0099009900990099	1.0	True	False	0.2407739373829134	other	True	True
GSE253013	GSE253013	CD99_CD99	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	incoming	TNK	0.4761833812199785	0.3755561352585712	0.0099009900990099	1.0	True	False	0.1006272459614073	other	True	True
GSE253013	GSE253013	SIRPG_CD47	SIRP	Cell-Cell Contact	SIRPG	CD47	SIRPG	CD47	incoming	TNK	0.1379830745036253	0.0716910084492668	0.0099009900990099	1.0	True	False	0.0662920660543585	other	True	True
GSE253013	GSE253013	SELL_PODXL	SELL	Cell-Cell Contact	SELL	PODXL	SELL	PODXL	incoming	TNK	0.0509322112413117	0.0003879810752023	0.0099009900990099	1.0	True	False	0.0505442301661093	other	True	True
GSE253013	GSE253013	TNF_TNFRSF1A	TNF	Secreted Signaling	TNF	TNFRSF1A	TNF	TNFRSF1A	incoming	TNK	0.0732344883298171	0.0240451196399793	0.0099009900990099	1.0	True	False	0.0491893686898377	attack	True	True
GSE253013	GSE253013	CD6_ALCAM	CD6	Cell-Cell Contact	CD6	ALCAM	CD6	ALCAM	incoming	TNK	0.0877537497374485	0.0447202535794194	0.0099009900990099	1.0	True	False	0.043033496158029	other	True	True
GSE253013	GSE253013	SEMA4D_PLXNB2	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB2	SEMA4D	PLXNB2	incoming	TNK	0.0666102078733648	0.0359758530240006	0.0099009900990099	1.0	True	False	0.0306343548493641	other	True	True
GSE253013	GSE253013	PPIA_BSG	CypA	Secreted Signaling	PPIA	BSG	PPIA	BSG	incoming	TNK	0.807661161831324	0.7854444356835241	0.0099009900990099	1.0	True	False	0.0222167261477999	other	True	True
GSE253013	GSE253013	GZMA_PARD3	PARs	Secreted Signaling	GZMA	PARD3	GZMA	PARD3	incoming	TNK	0.021352276013878	0.0	0.0099009900990099	1.0	True	False	0.021352276013878	other	True	True
GSE253013	GSE253013	SEMA4D_PLXNB1	SEMA4	Cell-Cell Contact	SEMA4D	PLXNB1	SEMA4D	PLXNB1	incoming	TNK	0.0047938196631626	0.0	0.0099009900990099	1.0	True	False	0.0047938196631626	other	True	True
GSE253013	GSE253013	GRN_SORT1	GRN	Secreted Signaling	GRN	SORT1	GRN	SORT1	incoming	TNK	0.0002569548234264	0.0	0.0099009900990099	1.0	True	False	0.0002569548234264	other	True	True
GSE253013	GSE253013	CRTAM_CADM1	CADM	Cell-Cell Contact	CRTAM	CADM1	CRTAM	CADM1	incoming	TNK	1.206197195335375e-07	5.123037309624761e-07	0.9801980198019802	0.0297029702970297	False	True	-3.916840114289386e-07	other	True	True
GSE253013	GSE253013	CD46_JAG1	CD46	Cell-Cell Contact	CD46	JAG1	CD46	JAG1	incoming	TNK	0.0	0.001021060638722	1.0	0.0099009900990099	False	True	-0.001021060638722	other	True	True
GSE253013	GSE253013	CD40LG_CD40	CD40	Cell-Cell Contact	CD40LG	CD40	CD40LG	CD40	incoming	TNK	0.0	0.0058591990941876	1.0	0.0099009900990099	False	True	-0.0058591990941876	other	True	True
GSE253013	GSE253013	CD55_ADGRE5	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	incoming	TNK	0.0210217304215918	0.0387999538747181	1.0	0.0099009900990099	False	True	-0.0177782234531262	other	True	True
GSE253013	GSE253013	AREG_EGFR	EGF	Secreted Signaling	AREG	EGFR	AREG	EGFR	incoming	TNK	0.0610542986398183	0.0789983304508636	0.9603960396039604	0.0495049504950495	False	True	-0.0179440318110452	other	True	True
GSE253013	GSE253013	COL6A1_CD44	COLLAGEN	ECM-Receptor	COL6A1	CD44	COL6A1	CD44	outgoing	TNK	0.4790975996062704	0.2353197881923252	0.0099009900990099	1.0	True	False	0.2437778114139451	other	True	True
GSE253013	GSE253013	CD55_ADGRE5	ADGRE	Cell-Cell Contact	CD55	ADGRE5	CD55	ADGRE5	outgoing	TNK	0.5025821989549136	0.2769154564002938	0.0099009900990099	1.0	True	False	0.2256667425546198	other	True	True
GSE253013	GSE253013	LAMC2_CD44	LAMININ	ECM-Receptor	LAMC2	CD44	LAMC2	CD44	outgoing	TNK	0.4411972219142023	0.2560084290169046	0.0099009900990099	1.0	True	False	0.1851887928972976	other	True	True
GSE253013	GSE253013	LGALS9_CD45	GALECTIN	Secreted Signaling	LGALS9	PTPRC	LGALS9	PTPRC	outgoing	TNK	0.4737576410189583	0.3143312330616503	0.0099009900990099	1.0	True	False	0.159426407957308	inhibitory	True	True
GSE253013	GSE253013	LGALS9_CD44	GALECTIN	Secreted Signaling	LGALS9	CD44	LGALS9	CD44	outgoing	TNK	0.3824785023526901	0.2397732963016926	0.0099009900990099	1.0	True	False	0.1427052060509974	inhibitory	True	True
GSE253013	GSE253013	APP_CD74	APP	Cell-Cell Contact	APP	CD74	APP	CD74	outgoing	TNK	0.767654672837831	0.6272129003536382	0.0099009900990099	1.0	True	False	0.1404417724841927	other	True	True
GSE253013	GSE253013	LAMB3_CD44	LAMININ	ECM-Receptor	LAMB3	CD44	LAMB3	CD44	outgoing	TNK	0.6060549138627928	0.4694345489229996	0.0099009900990099	1.0	True	False	0.1366203649397931	other	True	True
GSE253013	GSE253013	CD99_CD99	CD99	Cell-Cell Contact	CD99	CD99	CD99	CD99	outgoing	TNK	0.4761833812199785	0.3755561352585712	0.0099009900990099	1.0	True	False	0.1006272459614073	other	True	True
GSE253013	GSE253013	COL9A2_CD44	COLLAGEN	ECM-Receptor	COL9A2	CD44	COL9A2	CD44	outgoing	TNK	0.1160396980168306	0.0369030843431848	0.0099009900990099	1.0	True	False	0.0791366136736458	other	True	True
GSE253013	GSE253013	MDK_NCL	MK	Secreted Signaling	MDK	NCL	MDK	NCL	outgoing	TNK	0.7307569237636333	0.6524055126467505	0.0099009900990099	1.0	True	False	0.0783514111168828	other	True	True
GSE253013	GSE253013	LGALS9_P4HB	GALECTIN	Secreted Signaling	LGALS9	P4HB	LGALS9	P4HB	outgoing	TNK	0.1117378480872778	0.0602001093445353	0.0099009900990099	1.0	True	False	0.0515377387427424	inhibitory	True	True
GSE253013	GSE253013	CXCL16_CXCR6	CXCL	Secreted Signaling	CXCL16	CXCR6	CXCL16	CXCR6	outgoing	TNK	0.0705041737189507	0.0342484006455388	0.0099009900990099	1.0	True	False	0.0362557730734119	recruit	True	True
GSE253013	GSE253013	IGFBP3_TMEM219	IGFBP	Secreted Signaling	IGFBP3	TMEM219	IGFBP3	TMEM219	outgoing	TNK	0.024531700926357	0.0022667523803125	0.0099009900990099	1.0	True	False	0.0222649485460444	other	True	True
GSE253013	GSE253013	APP_SORL1	APP	Cell-Cell Contact	APP	SORL1	APP	SORL1	outgoing	TNK	0.0453410085800723	0.0236149049590892	0.0099009900990099	1.0	True	False	0.0217261036209831	other	True	True
GSE253013	GSE253013	HLA-C_CD8B	MHC-I	Cell-Cell Contact	HLA-C	CD8B	HLA-C	CD8B	outgoing	TNK	0.5062060199862222	0.4855978511777447	0.0099009900990099	1.0	True	False	0.0206081688084774	other	True	True
GSE253013	GSE253013	HLA-C_CD8A	MHC-I	Cell-Cell Contact	HLA-C	CD8A	HLA-C	CD8A	outgoing	TNK	0.5737876384445854	0.5535122071758303	0.0099009900990099	1.0	True	False	0.020275431268755	other	True	True
GSE253013	GSE253013	HLA-B_CD8B	MHC-I	Cell-Cell Contact	HLA-B	CD8B	HLA-B	CD8B	outgoing	TNK	0.5516789012960953	0.5372725411281262	0.0099009900990099	1.0	True	False	0.0144063601679691	other	True	True
