family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	206	15	0	8	7	0.030827006814978467	PSMA2	-0.8597136978995547	0.003942641582305679	0.4921779511265667	6	5	malignant	q4q1_GSE131907
MHC	29	0	0	0	0	-0.16310981799348223	TAP2	-1.229810911866412	0.08459297490715625	0.6862853978433521	6	5	malignant	q4q1_GSE131907
TJ	177	16	0	12	4	0.25736145322445436	ARL2	-0.9566714075882878	0.0021635179696673635	0.47410725623017985	6	5	malignant	q4q1_GSE131907
chemokine	14	4	0	0	4	-0.5318524137588077	CXCR4	-2.1657556632033557	0.01578235009411159	0.5792424648291536	6	5	malignant	q4q1_GSE131907
IFN	214	75	0	0	75	-1.2621912554566668	CD274	-2.131527301770449	0.00013649048649160402	0.2735117693195643	5	6	malignant	q4q1_GSE205335
MHC	29	9	0	0	9	-1.7308510827197316	ERAP1	-2.1005800114327373	0.010012721084363567	0.5296822020241129	5	6	malignant	q4q1_GSE205335
TJ	191	22	0	8	14	-0.11855065218527573	PRKCE	-1.7729117158958978	0.003075262441805682	0.49382004736842156	5	6	malignant	q4q1_GSE205335
chemokine	20	9	0	0	9	-1.7360948274695152	CCL5	-4.122830475820956	0.0006082835669826075	0.47783047739711143	5	6	malignant	q4q1_GSE205335
IFN	214	42	0	2	40	-0.5301909635632494	CCL5	-2.8893956399710663	5.020320212711611e-05	0.09751227951011562	11	11	malignant	q4q1_combined
MHC	29	7	0	0	7	-0.9218691466027052	TAP2	-1.903000507144749	0.002419848338486834	0.1731222898962399	11	11	malignant	q4q1_combined
TJ	191	24	0	19	5	0.0648319076885843	PARD6A	1.6722300350686705	0.001065162580718525	0.13824107407236616	11	11	malignant	q4q1_combined
chemokine	21	8	0	0	8	-0.8228665837834694	CCL5	-2.8893956399710663	5.020320212711611e-05	0.09751227951011562	11	11	malignant	q4q1_combined
