contrast	compartment	cohort	split	n_low	n_high	n	n_genes	patients_q1	patients_q4
malignant_q4q1_GSE131907	malignant	GSE131907	q4q1	6.0	5.0	11	15738	EBUS_13,EBUS_15,EBUS_49,NS_02,NS_06,NS_16	EBUS_19,EBUS_28,NS_03,NS_04,NS_07
malignant_q4q1_GSE205335	malignant	GSE205335	q4q1	5.0	6.0	11	18035	P1015,P1062,P1063,P1090,P1119	P1016,P1025,P1037,P1084,P1089,P1115
malignant_q4q1_combined	malignant	GSE131907+GSE205335	q4q1	11.0	11.0	22	15883	EBUS_13,EBUS_15,EBUS_49,NS_02,NS_06,NS_16,P1015,P1062,P1063,P1090,P1119	EBUS_19,EBUS_28,NS_03,NS_04,NS_07,P1016,P1025,P1037,P1084,P1089,P1115
malignant_continuous_combined	malignant	GSE131907+GSE205335	continuous			42	16825		
tnk_q4q1_GSE131907	T/NK	GSE131907	q4q1	6.0	5.0	11	10392	EBUS_13,EBUS_15,EBUS_49,NS_02,NS_06,NS_16	EBUS_19,EBUS_28,NS_03,NS_04,NS_07
tnk_q4q1_GSE205335	T/NK	GSE205335	q4q1	6.0	6.0	12	13320	P1015,P1062,P1063,P1090,P1119,P4001	P1016,P1025,P1037,P1084,P1089,P1115
tnk_q4q1_combined	T/NK	GSE131907+GSE205335	q4q1	12.0	11.0	23	12020	EBUS_13,EBUS_15,EBUS_49,NS_02,NS_06,NS_16,P1015,P1062,P1063,P1090,P1119,P4001	EBUS_19,EBUS_28,NS_03,NS_04,NS_07,P1016,P1025,P1037,P1084,P1089,P1115
tnk_continuous_combined	T/NK	GSE131907+GSE205335	continuous			43	12735		
