contrast	n	n_cells	spearman_rho	spearman_p	note	target	compartment	unit
patient-pseudobulk A3-malignant: CLDN4 vs CD274	10		0.5583242384172624	0.09346396626964018		CD274	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs HLA-A	10		0.5757575757575757	0.08155281477260244		HLA-A	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs HLA-B	10		0.0303030303030303	0.9337729580941466		HLA-B	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs HLA-C	10		0.04242424242424241	0.9073638178128159		HLA-C	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs B2M	10		0.4666666666666666	0.17393859716506654		B2M	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs HLA-DRA	10		0.01818181818181818	0.9602404181286242		HLA-DRA	A3-malignant	patient_pseudobulk
patient-pseudobulk A3-malignant: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	10		0.18787878787878787	0.6032176100292089		MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs CD274	12		0.034965034965034975	0.9140933424107599		CD274	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs HLA-A	12		0.04195804195804196	0.8969858708195542		HLA-A	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs HLA-B	12		-0.006993006993006993	0.9827917689028476		HLA-B	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs HLA-C	12		-0.3076923076923077	0.33058925941210965		HLA-C	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs B2M	12		0.34965034965034975	0.26523878689278996		B2M	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs HLA-DRA	12		0.37762237762237766	0.22620604493502647		HLA-DRA	epithelial	patient_pseudobulk
patient-pseudobulk epithelial: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	12		0.034965034965034975	0.9140933424107599		MHC-I mean (HLA-A/B/C + B2M)	epithelial	patient_pseudobulk
