contrast	n	n_cells	spearman_rho	spearman_p	note	Sample	patient	paper_group	target	compartment	unit
within BD_immune03: CLDN4 vs CD274	746	746	0.15478549464949964	2.1744308751059953e-05		BD_immune03	P03	MPR	CD274	A3-malignant	within_patient
within BD_immune03: CLDN4 vs HLA-A	746	746	0.0887625766737251	0.015304374877838665		BD_immune03	P03	MPR	HLA-A	A3-malignant	within_patient
within BD_immune03: CLDN4 vs HLA-B	746	746	0.06705978243060934	0.06716124640599548		BD_immune03	P03	MPR	HLA-B	A3-malignant	within_patient
within BD_immune03: CLDN4 vs HLA-C	746	746	0.10196449803772477	0.0053107504012175144		BD_immune03	P03	MPR	HLA-C	A3-malignant	within_patient
within BD_immune03: CLDN4 vs B2M	746	746	0.05514505684244591	0.13237642355550716		BD_immune03	P03	MPR	B2M	A3-malignant	within_patient
within BD_immune03: CLDN4 vs HLA-DRA	746	746	0.12832381202422463	0.00044213259668691735		BD_immune03	P03	MPR	HLA-DRA	A3-malignant	within_patient
within BD_immune03: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	746	746	0.11851531484372672	0.0011827124692863598		BD_immune03	P03	MPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
within BD_immune04: CLDN4 vs CD274	51	51	0.1787826211349176	0.20938694763215374		BD_immune04	P04	NMPR	CD274	A3-malignant	within_patient
within BD_immune04: CLDN4 vs HLA-A	51	51	0.15713821925601554	0.2707967822006481		BD_immune04	P04	NMPR	HLA-A	A3-malignant	within_patient
within BD_immune04: CLDN4 vs HLA-B	51	51	0.07136732843797748	0.6187202831395764		BD_immune04	P04	NMPR	HLA-B	A3-malignant	within_patient
within BD_immune04: CLDN4 vs HLA-C	51	51	0.42058402149776836	0.002119094861188918		BD_immune04	P04	NMPR	HLA-C	A3-malignant	within_patient
within BD_immune04: CLDN4 vs B2M	51	51	-0.10324101809191795	0.4709464436738877		BD_immune04	P04	NMPR	B2M	A3-malignant	within_patient
within BD_immune04: CLDN4 vs HLA-DRA	51	51	0.05622035638668799	0.6951688061408089		BD_immune04	P04	NMPR	HLA-DRA	A3-malignant	within_patient
within BD_immune04: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	51	51	0.12907450416712335	0.3666806048293797		BD_immune04	P04	NMPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
within BD_immune07: CLDN4 vs CD274	3209	3209	-0.002557663931588934	0.884844757437131		BD_immune07	P07	NMPR	CD274	A3-malignant	within_patient
within BD_immune07: CLDN4 vs HLA-A	3209	3209	-0.08051962574848469	4.949471850098234e-06		BD_immune07	P07	NMPR	HLA-A	A3-malignant	within_patient
within BD_immune07: CLDN4 vs HLA-B	3209	3209	-0.06606238851510389	0.0001804384415177376		BD_immune07	P07	NMPR	HLA-B	A3-malignant	within_patient
within BD_immune07: CLDN4 vs HLA-C	3209	3209	-0.03692543967399387	0.03646965869889784		BD_immune07	P07	NMPR	HLA-C	A3-malignant	within_patient
within BD_immune07: CLDN4 vs B2M	3209	3209	0.10245175888168305	6.000605155334463e-09		BD_immune07	P07	NMPR	B2M	A3-malignant	within_patient
within BD_immune07: CLDN4 vs HLA-DRA	3209	3209	-0.05201215093570284	0.0032063131894182906		BD_immune07	P07	NMPR	HLA-DRA	A3-malignant	within_patient
within BD_immune07: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	3209	3209	-0.028394417661732993	0.10779454382488601		BD_immune07	P07	NMPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
within BD_immune09: CLDN4 vs CD274	164	164	-0.10238847541879117	0.1920241548538383		BD_immune09	P09	NMPR	CD274	A3-malignant	within_patient
within BD_immune09: CLDN4 vs HLA-A	164	164	0.10602720729396856	0.17661947925760504		BD_immune09	P09	NMPR	HLA-A	A3-malignant	within_patient
within BD_immune09: CLDN4 vs HLA-B	164	164	0.0958059115764722	0.22233634614831396		BD_immune09	P09	NMPR	HLA-B	A3-malignant	within_patient
within BD_immune09: CLDN4 vs HLA-C	164	164	0.07601263063547428	0.3333483915697914		BD_immune09	P09	NMPR	HLA-C	A3-malignant	within_patient
within BD_immune09: CLDN4 vs B2M	164	164	-0.04767633379208789	0.5443621411628721		BD_immune09	P09	NMPR	B2M	A3-malignant	within_patient
within BD_immune09: CLDN4 vs HLA-DRA	164	164	0.11066528575648348	0.15833189019662525		BD_immune09	P09	NMPR	HLA-DRA	A3-malignant	within_patient
within BD_immune09: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	164	164	0.059721714876737636	0.44747003956751696		BD_immune09	P09	NMPR	MHC-I mean (HLA-A/B/C + B2M)	A3-malignant	within_patient
