contrast	n	n_cells	spearman_rho	spearman_p	note	unit
patient: A3-malignant CLDN4 mean vs T/NK	10		-0.12727272727272726	0.7260570147627894		patient
patient: A3-malignant CLDN4 %pos vs T/NK	10		-0.33333333333333326	0.3465935070873343		patient
patient: epithelial CLDN4 mean vs T/NK	12		-0.055944055944055944	0.8628980736949713		patient
patient: epithelial CLDN4 %pos vs T/NK	12		-0.2937062937062937	0.3541476412329215		patient
