contrast	n	n_cells	spearman_rho	spearman_p	note	n_patients	compartment	target	unit	n_patients_honest
pooled A3-malignant cells: CLDN4 vs CD274	4683	4683	-0.021098112124571328	0.14885976927232458	descriptive_cells_not_independent	10	A3-malignant	CD274	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs HLA-A	4683	4683	-0.23366172069478297	4.238785388064581e-59	descriptive_cells_not_independent	10	A3-malignant	HLA-A	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs HLA-B	4683	4683	-0.10575699701093169	3.997879911771897e-13	descriptive_cells_not_independent	10	A3-malignant	HLA-B	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs HLA-C	4683	4683	-0.06235310694909349	1.9548014623637763e-05	descriptive_cells_not_independent	10	A3-malignant	HLA-C	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs B2M	4683	4683	0.15143682328754957	1.9974020827857936e-25	descriptive_cells_not_independent	10	A3-malignant	B2M	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs HLA-DRA	4683	4683	-0.10242486024720371	2.1284848746558022e-12	descriptive_cells_not_independent	10	A3-malignant	HLA-DRA	pooled_cells	10
pooled A3-malignant cells: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	4683	4683	-0.10079784256388516	4.724552594154412e-12	descriptive_cells_not_independent	10	A3-malignant	MHC-I mean (HLA-A/B/C + B2M)	pooled_cells	10
pooled epithelial cells: CLDN4 vs CD274	8718	8718	-0.03898572295526915	0.0002716148095387963	descriptive_cells_not_independent	12	epithelial	CD274	pooled_cells	12
pooled epithelial cells: CLDN4 vs HLA-A	8718	8718	-0.1549202341786471	5.773279164668055e-48	descriptive_cells_not_independent	12	epithelial	HLA-A	pooled_cells	12
pooled epithelial cells: CLDN4 vs HLA-B	8718	8718	-0.05594167979128605	1.7262605203695703e-07	descriptive_cells_not_independent	12	epithelial	HLA-B	pooled_cells	12
pooled epithelial cells: CLDN4 vs HLA-C	8718	8718	-0.030712264837224282	0.004132367576681135	descriptive_cells_not_independent	12	epithelial	HLA-C	pooled_cells	12
pooled epithelial cells: CLDN4 vs B2M	8718	8718	0.1577531529512173	1.0842930511738377e-49	descriptive_cells_not_independent	12	epithelial	B2M	pooled_cells	12
pooled epithelial cells: CLDN4 vs HLA-DRA	8718	8718	-0.028878742475550216	0.007005334271557284	descriptive_cells_not_independent	12	epithelial	HLA-DRA	pooled_cells	12
pooled epithelial cells: CLDN4 vs MHC-I mean (HLA-A/B/C + B2M)	8718	8718	-0.04067846064488865	0.00014517265497639975	descriptive_cells_not_independent	12	epithelial	MHC-I mean (HLA-A/B/C + B2M)	pooled_cells	12
