sample,patient,n_spots,n_tj_high,n_tcell_high,n_epi_high,n_tj_tcell_both,um_per_px,spearman_rho,spearman_p_naive,spearman_rho_epi_tcell,rho_tj_vs_epithelial,rho_tcell_vs_ptprc,graph_spacing_um,n_edges,tj_nn_obs_um,tj_nn_null_mean_um,tj_nn_ratio,tj_nn_z,tj_nn_p_farther,tj_cross_edges_obs,tj_cross_edges_exp,tj_enrich_z,tj_enrich_p,epi_nn_obs_um,epi_nn_null_mean_um,epi_nn_ratio,epi_nn_z,epi_nn_p_farther,epi_cross_edges_obs,epi_cross_edges_exp,epi_enrich_z,epi_enrich_p,enrich_z_tj_minus_epi
P10_T1,P10,2168,434,434,434,56,0.3578024435027222,-0.24892828956261287,5.598629411104793e-32,-0.22909590850244085,0.3457031688155758,0.2830030563165934,78.35873512709617,6192,136.42599440664844,78.77925420937282,1.731750265673587,806.8222938768247,0.000999000999000999,196,376.804,-10.85411681683169,0.000999000999000999,136.11643935972958,78.76234350958617,1.728191840091234,858.4607048850855,0.000999000999000999,227,388.963,-9.767720739606172,0.000999000999000999,-1.0863960772255172
P10_T2,P10,1955,391,391,391,49,0.3576861099629002,-0.22764265106084758,2.131260976920731e-24,-0.251565830790309,0.3955112279845962,0.2126271559948803,78.33325808187514,5538,136.38163775358117,78.79082747997097,1.730932928560118,856.6963083696634,0.000999000999000999,205,339.841,-8.609880033130764,0.000999000999000999,136.38163775358117,78.77833842788814,1.7312073404343473,814.6163923201749,0.000999000999000999,171,351.642,-11.044994533896228,0.000999000999000999,2.4351145007654633
P10_T3,P10,2574,515,515,515,77,0.3577324002872759,-0.1895715307086533,2.9780205213934377e-22,-0.2360870914045541,0.354852797421368,0.303278073216983,78.34339566291342,7308,136.39928772676902,78.81824759211119,1.7305546861767709,995.2511919553046,0.000999000999000999,254,423.673,-9.425286732775604,0.000999000999000999,136.39928772676902,78.78216334112908,1.731347324598794,787.8297330323511,0.000999000999000999,279,469.72,-9.840722036154133,0.000999000999000999,0.41543530337852985
P10_T4,P10,2392,479,479,479,61,0.35777316562844014,-0.2506011137329398,1.4128960462144652e-35,-0.2845811025055151,0.4361527192800731,0.26802012545546633,78.3523232726284,6712,136.41483108681768,78.7968491245361,1.7312219029369826,812.280495684303,0.000999000999000999,245,409.991,-9.223206332217295,0.000999000999000999,157.06241971088522,78.79905753340553,1.9932017542760745,1090.6054510461197,0.000999000999000999,213,407.886,-11.50664670382208,0.000999000999000999,2.283440371604785
P11_T1,P11,1069,214,214,214,13,0.38525428951073726,-0.3260161724455229,6.846311226642393e-28,-0.2579546755045612,0.40309934482878185,0.3144388112452492,84.37068940285145,2947,224.48261992059136,84.84529356373888,2.645787532716259,1778.901063640938,0.000999000999000999,64,208.652,-11.08259789704711,0.000999000999000999,169.8285508177705,84.87221433341483,2.00099116243875,1215.3162257129006,0.000999000999000999,83,184.403,-8.518785919492439,0.000999000999000999,-2.5638119775546713
P11_T2,P11,1117,224,224,224,18,0.38518179045884504,-0.33795091181602627,3.0413673294011962e-31,-0.3319758667800507,0.4812440886545581,0.2232668621262028,84.35481211048706,3092,197.013742573566,84.86231540035389,2.3215692577337386,1734.163343125565,0.000999000999000999,74,210.355,-10.476938986565266,0.000999000999000999,169.70063997230346,84.8809071219709,1.9992792929091763,1778.5124733367659,0.000999000999000999,80,186.194,-8.77604041402835,0.000999000999000999,-1.7008985725369161
P11_T3,P11,1464,293,293,293,43,0.3852221306740847,-0.09040073056889114,0.0005340419219574841,-0.06675020849596028,0.3396144460965448,0.21243477209296543,84.36364661762454,3760,147.1551060257927,84.88704147471898,1.7335402844687235,1204.0314061986796,0.000999000999000999,152,219.499,-5.03735732734691,0.000999000999000999,147.15485391750033,84.88996992921682,1.7334775125989723,1264.250063196465,0.000999000999000999,137,211.305,-5.7177173104810795,0.000999000999000999,0.6803599831341698
P11_T4,P11,1411,283,283,283,40,0.3852671233565306,-0.03856166942191124,0.1476848806816128,-0.09193983962902808,0.39723680414322654,0.23568931211900887,84.37350001508021,3490,146.56464757557666,84.9107802814001,1.7261017634021436,1989.0909425924533,0.000999000999000999,144,206.895,-4.772507880370746,0.000999000999000999,169.13226715351695,84.91038750353168,1.9918913589516032,2716.054622848295,0.000999000999000999,131,205.876,-5.829449007720169,0.000999000999000999,1.0569411273494227
P15_T1,P15,2615,523,523,523,92,0.373754256524449,-0.0753982773546328,0.00011371329014258976,-0.094647758739086,0.16093037219324827,0.17810080443104992,84.46928886042622,7268,146.4086592342304,84.85388461492673,1.7254208207278177,2476.6930969062996,0.000999000999000999,303,394.605,-5.322713962435881,0.000999000999000999,146.49307501039362,84.8513408716098,1.7264674135445321,2715.189343814777,0.000999000999000999,339,406.293,-3.7260127554871807,0.000999000999000999,-1.5967012069486999
P15_T2,P15,3120,624,624,624,118,0.3740700659636921,-0.056251652547479644,0.0016706814855397447,-0.032332223915116545,0.107325279383729,0.1673048333318444,84.54066249238518,8899,85.14100950908113,84.81733030053952,1.0038161918960982,11.625784968589569,0.000999000999000999,375,467.626,-4.874571982001903,0.000999000999000999,85.09415714732233,84.81354171702259,1.0033086158721682,11.339855045780228,0.000999000999000999,426,479.556,-2.753665152264577,0.004995004995004995,-2.120906829737326
