malignant_def	gene	metric	response_axis	timepoint	response	n_patients	n_patients_with_metric	patients	n_malignant_cells	mean	median	empty
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	MPR	pre	MPR	0	0		0			1
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	MPR	pre	NMPR	2	2	P05,P08	1574	1.7454012696545766	1.7454012696545766	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	MPR	post	MPR	4	4	P03,P06,P11,P14	1363	1.327938470472299	1.3333168592657318	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	MPR	post	NMPR	8	8	P02,P04,P07,P09,P10,P12,P13,P15	6328	1.6880533260629353	1.71936332752181	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	RECIST	pre	PR	1	1	P05	1463	1.8608246138287787	1.8608246138287787	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	RECIST	pre	SD	2	2	P01,P08	695	1.6976360551626857	1.6976360551626857	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	RECIST	post	PR	8	8	P02,P03,P04,P06,P09,P10,P13,P14	1624	1.5602859068754673	1.6731074924733456	0
cnv_or_program	TACSTD2	mal_tacstd2_mean_log1p_cp10k	RECIST	post	SD	4	4	P07,P11,P12,P15	6067	1.5834733088472348	1.5790093451618632	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	MPR	pre	MPR	0	0		0			1
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	MPR	pre	NMPR	2	2	P05,P08	1574	87.21866090287142	87.21866090287142	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	MPR	post	MPR	4	4	P03,P06,P11,P14	1363	85.20578706041223	86.08663132906247	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	MPR	post	NMPR	8	8	P02,P04,P07,P09,P10,P12,P13,P15	6328	84.29075572842254	88.35937114977084	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	RECIST	pre	PR	1	1	P05	1463	84.34723171565277	84.34723171565277	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	RECIST	pre	SD	2	2	P01,P08	695	85.45600394915463	85.45600394915463	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	RECIST	post	PR	8	8	P02,P03,P04,P06,P09,P10,P13,P14	1624	84.00301032363465	83.44087318338057	0
cnv_or_program	TACSTD2	mal_tacstd2_pct_pos	RECIST	post	SD	4	4	P07,P11,P12,P15	6067	85.78127786998797	91.00512929545275	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	MPR	pre	MPR	0	0		0			1
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	MPR	pre	NMPR	2	2	P05,P08	1574	1.226277702608668	1.226277702608668	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	MPR	post	MPR	4	4	P03,P06,P11,P14	1363	1.5468854294171028	1.5991258095668777	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	MPR	post	NMPR	8	8	P02,P04,P07,P09,P10,P12,P13,P15	6328	1.5152898194565991	1.6456847055967914	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	RECIST	pre	PR	1	1	P05	1463	0.8920555531279605	0.8920555531279605	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	RECIST	pre	SD	2	2	P01,P08	695	1.8056792919450135	1.8056792919450135	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	RECIST	post	PR	8	8	P02,P03,P04,P06,P09,P10,P13,P14	1624	1.5473687345409968	1.6346935640438673	0
cnv_or_program	CLDN4	mal_cldn4_mean_log1p_cp10k	RECIST	post	SD	4	4	P07,P11,P12,P15	6067	1.4827275992483075	1.5831673813685723	0
cnv_or_program	CLDN4	mal_cldn4_pct_pos	MPR	pre	MPR	0	0		0			1
cnv_or_program	CLDN4	mal_cldn4_pct_pos	MPR	pre	NMPR	2	2	P05,P08	1574	72.93017556175451	72.93017556175451	0
