signature	symbol
HALLMARK_IFN_ALPHA	MX1
HALLMARK_IFN_ALPHA	ISG15
HALLMARK_IFN_ALPHA	OAS1
HALLMARK_IFN_ALPHA	IFIT3
HALLMARK_IFN_ALPHA	IFI44
HALLMARK_IFN_ALPHA	IFI35
HALLMARK_IFN_ALPHA	IRF7
HALLMARK_IFN_ALPHA	RSAD2
HALLMARK_IFN_ALPHA	IFI44L
HALLMARK_IFN_ALPHA	IFITM1
HALLMARK_IFN_ALPHA	IFI27
HALLMARK_IFN_ALPHA	IRF9
HALLMARK_IFN_ALPHA	OASL
HALLMARK_IFN_ALPHA	EIF2AK2
HALLMARK_IFN_ALPHA	IFIT2
HALLMARK_IFN_ALPHA	CXCL10
HALLMARK_IFN_ALPHA	TAP1
HALLMARK_IFN_ALPHA	SP110
HALLMARK_IFN_ALPHA	DDX60
HALLMARK_IFN_ALPHA	UBE2L6
HALLMARK_IFN_ALPHA	USP18
HALLMARK_IFN_ALPHA	PSMB8
HALLMARK_IFN_ALPHA	IFIH1
HALLMARK_IFN_ALPHA	BST2
HALLMARK_IFN_ALPHA	LGALS3BP
HALLMARK_IFN_ALPHA	ADAR
HALLMARK_IFN_ALPHA	ISG20
HALLMARK_IFN_ALPHA	GBP2
HALLMARK_IFN_ALPHA	IRF1
HALLMARK_IFN_ALPHA	PLSCR1
HALLMARK_IFN_ALPHA	PSMB9
HALLMARK_IFN_ALPHA	HERC6
HALLMARK_IFN_ALPHA	SAMD9
HALLMARK_IFN_ALPHA	CMPK2
HALLMARK_IFN_ALPHA	IFITM3
HALLMARK_IFN_ALPHA	RTP4
HALLMARK_IFN_ALPHA	STAT2
HALLMARK_IFN_ALPHA	SAMD9L
HALLMARK_IFN_ALPHA	LY6E
HALLMARK_IFN_ALPHA	IFITM2
HALLMARK_IFN_ALPHA	HELZ2
HALLMARK_IFN_ALPHA	CXCL11
HALLMARK_IFN_ALPHA	TRIM21
HALLMARK_IFN_ALPHA	PARP14
HALLMARK_IFN_ALPHA	TRIM26
HALLMARK_IFN_ALPHA	PARP12
HALLMARK_IFN_ALPHA	NMI
HALLMARK_IFN_ALPHA	RNF31
HALLMARK_IFN_ALPHA	HLA-C
HALLMARK_IFN_ALPHA	CASP1
HALLMARK_IFN_ALPHA	TRIM14
HALLMARK_IFN_ALPHA	TDRD7
HALLMARK_IFN_ALPHA	DHX58
HALLMARK_IFN_ALPHA	PARP9
HALLMARK_IFN_ALPHA	PNPT1
HALLMARK_IFN_ALPHA	TRIM25
HALLMARK_IFN_ALPHA	PSME1
HALLMARK_IFN_ALPHA	WARS1
HALLMARK_IFN_ALPHA	EPSTI1
HALLMARK_IFN_ALPHA	UBA7
HALLMARK_IFN_ALPHA	PSME2
HALLMARK_IFN_ALPHA	B2M
HALLMARK_IFN_ALPHA	TRIM5
HALLMARK_IFN_ALPHA	C1S
HALLMARK_IFN_ALPHA	LAP3
HALLMARK_IFN_ALPHA	LAMP3
HALLMARK_IFN_ALPHA	GBP4
HALLMARK_IFN_ALPHA	NCOA7
HALLMARK_IFN_ALPHA	TMEM140
HALLMARK_IFN_ALPHA	CD74
HALLMARK_IFN_ALPHA	GMPR
HALLMARK_IFN_ALPHA	PSMA3
HALLMARK_IFN_ALPHA	PROCR
HALLMARK_IFN_ALPHA	IL7
HALLMARK_IFN_ALPHA	IFI30
HALLMARK_IFN_ALPHA	IRF2
HALLMARK_IFN_ALPHA	CSF1
HALLMARK_IFN_ALPHA	IL15
HALLMARK_IFN_ALPHA	CNP
HALLMARK_IFN_ALPHA	TENT5A
HALLMARK_IFN_ALPHA	IL4R
HALLMARK_IFN_ALPHA	CMTR1
HALLMARK_IFN_ALPHA	CD47
HALLMARK_IFN_ALPHA	LPAR6
HALLMARK_IFN_ALPHA	MOV10
HALLMARK_IFN_ALPHA	CASP8
HALLMARK_IFN_ALPHA	TXNIP
HALLMARK_IFN_ALPHA	SLC25A28
HALLMARK_IFN_ALPHA	SELL
HALLMARK_IFN_ALPHA	TRAFD1
HALLMARK_IFN_ALPHA	BATF2
HALLMARK_IFN_ALPHA	RIPK2
HALLMARK_IFN_ALPHA	CCRL2
HALLMARK_IFN_ALPHA	NUB1
HALLMARK_IFN_ALPHA	OGFR
HALLMARK_IFN_ALPHA	MVB12A
HALLMARK_IFN_ALPHA	ELF1
HALLMARK_IFN_GAMMA	STAT1
HALLMARK_IFN_GAMMA	ISG15
HALLMARK_IFN_GAMMA	IFIT1
HALLMARK_IFN_GAMMA	MX1
HALLMARK_IFN_GAMMA	IFIT3
HALLMARK_IFN_GAMMA	IFI35
HALLMARK_IFN_GAMMA	IRF7
HALLMARK_IFN_GAMMA	IFIT2
HALLMARK_IFN_GAMMA	OAS2
HALLMARK_IFN_GAMMA	TAP1
HALLMARK_IFN_GAMMA	EIF2AK2
HALLMARK_IFN_GAMMA	RSAD2
HALLMARK_IFN_GAMMA	MX2
HALLMARK_IFN_GAMMA	IRF1
HALLMARK_IFN_GAMMA	OAS3
HALLMARK_IFN_GAMMA	TNFSF10
HALLMARK_IFN_GAMMA	IRF9
HALLMARK_IFN_GAMMA	CXCL10
HALLMARK_IFN_GAMMA	IFI44
HALLMARK_IFN_GAMMA	BST2
HALLMARK_IFN_GAMMA	XAF1
HALLMARK_IFN_GAMMA	SP110
HALLMARK_IFN_GAMMA	OASL
HALLMARK_IFN_GAMMA	PSMB8
HALLMARK_IFN_GAMMA	IFI44L
HALLMARK_IFN_GAMMA	IFITM3
HALLMARK_IFN_GAMMA	DDX60
HALLMARK_IFN_GAMMA	LGALS3BP
HALLMARK_IFN_GAMMA	GBP4
HALLMARK_IFN_GAMMA	IRF8
HALLMARK_IFN_GAMMA	PSMB9
HALLMARK_IFN_GAMMA	PML
HALLMARK_IFN_GAMMA	IFIH1
HALLMARK_IFN_GAMMA	UBE2L6
HALLMARK_IFN_GAMMA	IFI27
HALLMARK_IFN_GAMMA	ADAR
HALLMARK_IFN_GAMMA	LY6E
HALLMARK_IFN_GAMMA	STAT2
HALLMARK_IFN_GAMMA	CXCL9
HALLMARK_IFN_GAMMA	IL10RA
HALLMARK_IFN_GAMMA	PLA2G4A
HALLMARK_IFN_GAMMA	TRIM21
HALLMARK_IFN_GAMMA	USP18
HALLMARK_IFN_GAMMA	PTGS2
HALLMARK_IFN_GAMMA	EPSTI1
HALLMARK_IFN_GAMMA	C1S
HALLMARK_IFN_GAMMA	DDX58
HALLMARK_IFN_GAMMA	IL15
HALLMARK_IFN_GAMMA	NLRC5
HALLMARK_IFN_GAMMA	NMI
HALLMARK_IFN_GAMMA	IDO1
HALLMARK_IFN_GAMMA	PSMB10
HALLMARK_IFN_GAMMA	CXCL11
HALLMARK_IFN_GAMMA	ITGB7
HALLMARK_IFN_GAMMA	SAMHD1
HALLMARK_IFN_GAMMA	HERC6
HALLMARK_IFN_GAMMA	CMPK2
HALLMARK_IFN_GAMMA	SAMD9L
HALLMARK_IFN_GAMMA	RTP4
HALLMARK_IFN_GAMMA	PTPN2
HALLMARK_IFN_GAMMA	PARP14
HALLMARK_IFN_GAMMA	TNFAIP2
HALLMARK_IFN_GAMMA	IFITM2
HALLMARK_IFN_GAMMA	PLSCR1
HALLMARK_IFN_GAMMA	SOCS1
HALLMARK_IFN_GAMMA	CASP1
HALLMARK_IFN_GAMMA	ICAM1
HALLMARK_IFN_GAMMA	WARS1
HALLMARK_IFN_GAMMA	PSME1
HALLMARK_IFN_GAMMA	ISG20
HALLMARK_IFN_GAMMA	IRF2
HALLMARK_IFN_GAMMA	TRIM14
HALLMARK_IFN_GAMMA	FCGR1A
HALLMARK_IFN_GAMMA	MARCHF1
HALLMARK_IFN_GAMMA	SOCS3
HALLMARK_IFN_GAMMA	JAK2
HALLMARK_IFN_GAMMA	HLA-DMA
HALLMARK_IFN_GAMMA	PARP12
HALLMARK_IFN_GAMMA	TNFAIP6
HALLMARK_IFN_GAMMA	TRIM26
HALLMARK_IFN_GAMMA	VCAM1
HALLMARK_IFN_GAMMA	CD274
HALLMARK_IFN_GAMMA	CIITA
HALLMARK_IFN_GAMMA	NAMPT
HALLMARK_IFN_GAMMA	SELP
HALLMARK_IFN_GAMMA	GPR18
HALLMARK_IFN_GAMMA	FPR1
HALLMARK_IFN_GAMMA	HELZ2
HALLMARK_IFN_GAMMA	PSME2
HALLMARK_IFN_GAMMA	SERPING1
HALLMARK_IFN_GAMMA	CCL5
HALLMARK_IFN_GAMMA	RNF31
HALLMARK_IFN_GAMMA	SOD2
HALLMARK_IFN_GAMMA	TRIM25
HALLMARK_IFN_GAMMA	LAP3
HALLMARK_IFN_GAMMA	PSMA3
HALLMARK_IFN_GAMMA	RNF213
HALLMARK_IFN_GAMMA	PELI1
HALLMARK_IFN_GAMMA	CFB
HALLMARK_IFN_GAMMA	CD86
HALLMARK_IFN_GAMMA	TXNIP
HALLMARK_IFN_GAMMA	HLA-DQA1
HALLMARK_IFN_GAMMA	GCH1
HALLMARK_IFN_GAMMA	PNP
HALLMARK_IFN_GAMMA	CCL7
HALLMARK_IFN_GAMMA	PTPN6
HALLMARK_IFN_GAMMA	SPPL2A
HALLMARK_IFN_GAMMA	IL4R
HALLMARK_IFN_GAMMA	PNPT1
HALLMARK_IFN_GAMMA	DHX58
HALLMARK_IFN_GAMMA	BTG1
HALLMARK_IFN_GAMMA	CASP8
HALLMARK_IFN_GAMMA	IFI30
HALLMARK_IFN_GAMMA	CCL2
HALLMARK_IFN_GAMMA	FGL2
HALLMARK_IFN_GAMMA	CASP7
HALLMARK_IFN_GAMMA	SECTM1
HALLMARK_IFN_GAMMA	IL15RA
HALLMARK_IFN_GAMMA	CD40
HALLMARK_IFN_GAMMA	TRAFD1
HALLMARK_IFN_GAMMA	HLA-DRB1
HALLMARK_IFN_GAMMA	GBP6
HALLMARK_IFN_GAMMA	LCP2
HALLMARK_IFN_GAMMA	HLA-G
HALLMARK_IFN_GAMMA	MT2A
HALLMARK_IFN_GAMMA	RIPK1
HALLMARK_IFN_GAMMA	KLRK1
HALLMARK_IFN_GAMMA	UPP1
HALLMARK_IFN_GAMMA	PSMB2
HALLMARK_IFN_GAMMA	TDRD7
HALLMARK_IFN_GAMMA	HIF1A
HALLMARK_IFN_GAMMA	EIF4E3
HALLMARK_IFN_GAMMA	VAMP8
HALLMARK_IFN_GAMMA	PFKP
HALLMARK_IFN_GAMMA	CD38
HALLMARK_IFN_GAMMA	ZBP1
HALLMARK_IFN_GAMMA	BANK1
HALLMARK_IFN_GAMMA	TOR1B
HALLMARK_IFN_GAMMA	RBCK1
HALLMARK_IFN_GAMMA	PDE4B
HALLMARK_IFN_GAMMA	MVP
HALLMARK_IFN_GAMMA	IL7
HALLMARK_IFN_GAMMA	BPGM
HALLMARK_IFN_GAMMA	CMTR1
HALLMARK_IFN_GAMMA	AUTS2
HALLMARK_IFN_GAMMA	B2M
HALLMARK_IFN_GAMMA	RIPK2
HALLMARK_IFN_GAMMA	CD69
HALLMARK_IFN_GAMMA	MYD88
HALLMARK_IFN_GAMMA	PSMA2
HALLMARK_IFN_GAMMA	PIM1
HALLMARK_IFN_GAMMA	NOD1
HALLMARK_IFN_GAMMA	CFH
HALLMARK_IFN_GAMMA	TAPBP
HALLMARK_IFN_GAMMA	SLC25A28
HALLMARK_IFN_GAMMA	PTPN1
HALLMARK_IFN_GAMMA	TNFAIP3
HALLMARK_IFN_GAMMA	SSPN
HALLMARK_IFN_GAMMA	NUP93
HALLMARK_IFN_GAMMA	MTHFD2
HALLMARK_IFN_GAMMA	CDKN1A
HALLMARK_IFN_GAMMA	IRF4
HALLMARK_IFN_GAMMA	NFKB1
HALLMARK_IFN_GAMMA	BATF2
HALLMARK_IFN_GAMMA	HLA-B
HALLMARK_IFN_GAMMA	LATS2
HALLMARK_IFN_GAMMA	IRF5
HALLMARK_IFN_GAMMA	SLAMF7
HALLMARK_IFN_GAMMA	ISOC1
HALLMARK_IFN_GAMMA	P2RY14
HALLMARK_IFN_GAMMA	STAT3
HALLMARK_IFN_GAMMA	NCOA3
HALLMARK_IFN_GAMMA	HLA-A
HALLMARK_IFN_GAMMA	IL6
HALLMARK_IFN_GAMMA	GZMA
HALLMARK_IFN_GAMMA	IFNAR2
HALLMARK_IFN_GAMMA	CD74
HALLMARK_IFN_GAMMA	RAPGEF6
HALLMARK_IFN_GAMMA	CASP4
HALLMARK_IFN_GAMMA	FAS
HALLMARK_IFN_GAMMA	OGFR
HALLMARK_IFN_GAMMA	ARL4A
HALLMARK_IFN_GAMMA	SRI
HALLMARK_IFN_GAMMA	LYSMD2
HALLMARK_IFN_GAMMA	CSF2RB
HALLMARK_IFN_GAMMA	ST3GAL5
HALLMARK_IFN_GAMMA	C1R
HALLMARK_IFN_GAMMA	CASP3
HALLMARK_IFN_GAMMA	CMKLR1
HALLMARK_IFN_GAMMA	NFKBIA
HALLMARK_IFN_GAMMA	METTL7B
HALLMARK_IFN_GAMMA	ST8SIA4
HALLMARK_IFN_GAMMA	XCL1
HALLMARK_IFN_GAMMA	IL2RB
HALLMARK_IFN_GAMMA	VAMP5
HALLMARK_IFN_GAMMA	IL18BP
HALLMARK_IFN_GAMMA	ZNFX1
HALLMARK_IFN_GAMMA	ARID5B
HALLMARK_IFN_GAMMA	APOL6
HALLMARK_IFN_GAMMA	STAT4
