gene,n_all_samples,spearman_rho_all_samples,spearman_p_all_samples,pearson_r_all_samples,pearson_p_all_samples,n_primary_tumors,spearman_rho_primary_tumors,spearman_p_primary_tumors,pearson_r_primary_tumors,pearson_p_primary_tumors,n_primary_tumors_fixed_effect,spearman_rho_cancer_type_fixed_effect,spearman_p_cancer_type_fixed_effect,rank_spearman_rho_all_samples,rank_spearman_rho_primary_tumors,rank_spearman_rho_cancer_type_fixed_effect,rank_pearson_r_all_samples,rank_pearson_r_primary_tumors
PVRL4,11060,0.8265358775630656,0.0,0.8360561439662485,0.0,9701,0.8198781746226961,0.0,0.8364604385448022,0.0,9701,0.55208544489419,0.0,1,1,1,1,1
PROM2,11060,0.7663543102440449,0.0,0.7974972173019015,0.0,9701,0.748634012970769,0.0,0.7842949466182981,0.0,9701,0.3566883693316116,5.725573077975329e-289,2,2,9,3,2
GPR87,11060,0.7331280663617591,0.0,0.6513385570405624,0.0,9701,0.7450318131194993,0.0,0.6611971148240645,0.0,9701,0.41746963685722394,0.0,3,3,4,20,17
LYPD3,11060,0.7227952422337658,0.0,0.6868094957846805,0.0,9701,0.7200814227510098,0.0,0.6887062113820447,0.0,9701,0.37881825901708116,0.0,4,4,7,13,14
ITGB6,11060,0.7088710367096909,0.0,0.7982281634200623,0.0,9701,0.6776872869124896,0.0,0.7814661393399085,0.0,9701,0.34252655926408165,3.435333899072365e-265,5,5,14,2,3
MPZL2,11060,0.7009101553400883,0.0,0.7381339553751394,0.0,9701,0.6738805774285983,0.0,0.7163664826893549,0.0,9701,0.4394828512172903,0.0,6,7,3,7,7
GPR110,10849,0.6841034964668897,0.0,0.6747507219033263,0.0,9663,0.6743784033797027,0.0,0.66132776666566,0.0,9663,0.3802358366062788,0.0,7,6,6,17,16
CD164L2,10849,0.6629582766594566,0.0,0.6568634084214111,0.0,9663,0.6494139932412086,0.0,0.6483412331552502,0.0,9663,0.2645329238546577,1.9660805042797976e-154,8,8,45,19,19
SPINT2,11060,0.6503050455909164,0.0,0.7473632558499005,0.0,9701,0.6285316351344554,0.0,0.7453898129949552,0.0,9701,0.24814176706023575,4.6385780675931485e-136,9,10,58,6,6
GJB3,11060,0.6492932744754758,0.0,0.6326615358178438,0.0,9701,0.639040346799969,0.0,0.6286193669700829,0.0,9701,0.44154340276667975,0.0,10,9,2,27,27
DSC3,10849,0.6353906989667353,0.0,0.5971459303572159,0.0,9663,0.6268265103215409,0.0,0.590051808523602,0.0,9663,0.2886847953687197,7.908469188051619e-185,11,11,32,42,42
F11R,11060,0.6264143896336126,0.0,0.6874763709258825,0.0,9701,0.6109061342910443,0.0,0.6977708235853429,0.0,9701,0.3165549972594938,1.0523210313123852e-224,12,12,20,12,11
TMPRSS13,11060,0.6162519082678042,0.0,0.6423606251898004,0.0,9701,0.6106202837005367,0.0,0.6559133441717853,0.0,9701,0.2888591033517974,8.86411440500157e-186,13,13,31,22,18
CLDN4,11060,0.6145976268419965,0.0,0.7691530784479256,0.0,9701,0.5710786922821113,0.0,0.7487429512259667,0.0,9701,0.3977257810571264,0.0,14,29,5,4,4
PTPRF,11060,0.6134229108310129,0.0,0.5980071069700528,0.0,9701,0.5879837575676227,0.0,0.5909371184518682,0.0,9701,0.2536657273235736,2.6700566532042373e-142,15,18,52,41,39
ENTPD3,11060,0.6105422173163723,0.0,0.6040477795936849,0.0,9701,0.595667132716923,0.0,0.5810964638772387,0.0,9701,0.2418156536473614,4.191542816201645e-129,16,16,65,38,44
DSC2,11060,0.5971023440354957,0.0,0.6471205521486287,0.0,9701,0.5711754714633898,0.0,0.6307670331201215,0.0,9701,0.22719623869282574,8.542420373598105e-114,17,28,73,21,26
SLC6A14,10849,0.5939940455906547,0.0,0.5881464917008226,0.0,9663,0.5781175725543103,0.0,0.5762337908792711,0.0,9663,0.27464617254268414,8.731866018440625e-167,18,22,37,46,46
EMP2,11060,0.593298733487173,0.0,0.6021256333034101,0.0,9701,0.5837355373244668,0.0,0.6068524070533398,0.0,9701,0.2683610631779146,1.156381251523673e-159,19,20,40,39,36
CDCP1,11060,0.59245675621792,0.0,0.6841180897666469,0.0,9701,0.5768365254716127,0.0,0.6916733517156166,0.0,9701,0.29154982187496414,2.2489435537515386e-189,20,23,30,15,13
FZD6,11060,0.5923023128355839,0.0,0.6281972947614014,0.0,9701,0.6006794167547568,0.0,0.6477725518066234,0.0,9701,0.20260603434088995,2.0996361864979984e-90,21,15,109,30,21
DUOXA1,11060,0.5880255237698201,0.0,0.553045016537949,0.0,9701,0.5746736055456574,0.0,0.5291241145528787,0.0,9701,0.25777670674954845,4.80334169102756e-147,22,25,49,59,72
TPBG,11060,0.5859924871664823,0.0,0.6362923143952173,0.0,9701,0.5630758503367261,0.0,0.6344913768459763,0.0,9701,0.2032956169254961,5.079782896138042e-91,23,32,106,25,23
SCNN1G,10849,0.5828449176331933,0.0,0.5896357516293713,0.0,9663,0.5684511404333955,0.0,0.569635250229404,0.0,9663,0.16867330188609467,1.3483799195408534e-62,24,30,165,44,50
GJB4,11060,0.5823185990506629,0.0,0.5433809978056046,0.0,9701,0.5668111018861803,0.0,0.5318908476099509,0.0,9701,0.3544878511153535,3.416292660787874e-285,25,31,11,63,70
