ModelID,CellLineName,OncotreeSubtype,TACSTD2 (4070),CLDN4 (1364),release
ACH-000012,HCC-827,Lung Adenocarcinoma,8.326968711587892,8.083532513265412,24Q2
ACH-000015,NCI-H1581,Large Cell Lung Carcinoma,0.1505596765753814,1.15704371014558,24Q2
ACH-000021,NCI-H1693,Lung Adenocarcinoma,5.864681405572597,6.397118409042582,24Q2
ACH-000029,HCC-827-GR5,Lung Adenocarcinoma,8.195347598322218,8.249540152313218,24Q2
ACH-000030,PC-14,Lung Adenocarcinoma,8.783784026219614,9.117279460053922,24Q2
ACH-000033,NCI-H1819,Lung Adenocarcinoma,7.580899204225743,8.275239901744591,24Q2
ACH-000035,NCI-H1650,Non-Small Cell Lung Cancer,9.811824211241978,7.974471952285043,24Q2
ACH-000062,RERF-LC-MS,Lung Adenocarcinoma,3.534808661231747,5.811471030529836,24Q2
ACH-000066,HCC4006,Lung Adenocarcinoma,7.941282410432874,7.705701496845794,24Q2
ACH-000109,NCI-H3255,Lung Adenocarcinoma,9.574479999326677,10.91513244895065,24Q2
ACH-000121,NCI-H2405,Lung Adenocarcinoma,1.3448284969974411,7.188737187185129,24Q2
ACH-000143,HCC2429,Non-Small Cell Lung Cancer,4.371558862611963,0.4750848829487828,24Q2
ACH-000150,HCC2935,Lung Adenocarcinoma,8.589388984726849,9.901002620158811,24Q2
ACH-000161,COR-L105,Lung Adenocarcinoma,0.7484612330040357,4.739848102699328,24Q2
ACH-000176,LOU-NH91,Lung Squamous Cell Carcinoma,0.411426245726465,7.581953750848818,24Q2
ACH-000186,NCI-H2444,Non-Small Cell Lung Cancer,7.261154672615572,9.399705168175638,24Q2
ACH-000251,NCI-H2887,Non-Small Cell Lung Cancer,0.3673710656485294,9.220378327695228,24Q2
ACH-000261,RERF-LC-AI,Lung Squamous Cell Carcinoma,4.621172752683435,3.125981653854716,24Q2
ACH-000264,Calu-6,Lung Adenocarcinoma,0.5260688116675876,3.5360529002402097,24Q2
ACH-000282,NCI-H1755,Lung Adenocarcinoma,4.305970520984387,7.779325391448742,24Q2
ACH-000311,NCI-H2122,Lung Adenocarcinoma,7.302227645681221,8.631649992945023,24Q2
ACH-000314,HCC-2108,Lung Adenocarcinoma,0.6780719051126377,4.928844036712568,24Q2
ACH-000327,NCI-H1395,Lung Adenocarcinoma,0.3561438102252753,3.016139702655253,24Q2
ACH-000337,NCI-H3122,Lung Adenocarcinoma,7.42097076340615,7.350497247084133,24Q2
ACH-000339,HCC-461,Lung Adenocarcinoma,4.007195501404204,3.4329594072761065,24Q2
ACH-000343,NCI-H522,Lung Adenocarcinoma,0.2750070474998698,1.6461626571578936,24Q2
ACH-000378,NCI-H647,Lung Adenosquamous Carcinoma,6.129283016944966,6.661350569233997,24Q2
ACH-000379,NCI-H1781,Lung Adenocarcinoma,8.715447262875877,9.610046680169242,24Q2
ACH-000390,LUDLU-1,Lung Squamous Cell Carcinoma,7.742882021000409,8.913009056991898,24Q2
ACH-000392,Calu-3,Lung Adenocarcinoma,7.265755676027326,7.484863164322325,24Q2
ACH-000395,NCI-H520,Lung Squamous Cell Carcinoma,1.3448284969974411,3.063502942306158,24Q2
ACH-000414,NCI-H1944,Lung Adenocarcinoma,0.7048719644563528,5.127633279725874,24Q2
ACH-000416,NCI-H838,Lung Adenocarcinoma,3.1651079851445365,0.5459683691052926,24Q2
ACH-000434,NCI-H1915,Large Cell Lung Carcinoma,1.790772037862,1.6182386555954549,24Q2
ACH-000438,Lu-65,Giant Cell Carcinoma of the Lung,3.613531652917927,7.421644094048272,24Q2
ACH-000442,RERF-LC-Sq1,Lung Squamous Cell Carcinoma,3.4918530963296748,5.204766750654613,24Q2
ACH-000444,LU99,Giant Cell Carcinoma of the Lung,3.582556003014061,1.6735564239901446,24Q2
ACH-000447,NCI-H2228,Lung Adenocarcinoma,5.212569338850806,6.435461914479276,24Q2
ACH-000448,NCI-H1666,Lung Adenocarcinoma,8.693591496830619,6.976478203534362,24Q2
ACH-000451,NCI-H2085,Lung Adenocarcinoma,8.03804103701151,8.717950543348598,24Q2
ACH-000454,HCC-95,Lung Squamous Cell Carcinoma,8.221393782341856,7.283273598920621,24Q2
ACH-000463,NCI-H460,Large Cell Lung Carcinoma,0.2265085298086797,4.671859468247477,24Q2
