gene,spearman_r,p,n_patients
TACSTD2,0.9633,1.4477021886825622e-21,37
CLDN4,0.9595,7.838304799126552e-21,37
CD8A,0.9009,3.0370556306910205e-14,37
CXCL9,0.8777,1.000849196218127e-12,37
