section,gene,neighborhood,n_epi_spots,pct_detected,spearman_rho,spearman_p,partial_rho,partial_p,perm_p,hot_vs_cold_median_diff,mannwhitney_p,tissue
D1_1,TACSTD2,immune_broad,98,0.49,0.1445,0.15577818635540977,0.1093,0.28923652745207523,0.15584415584415584,1.3799,0.13871328853827541,donor
D1_1,TACSTD2,t_effector,98,0.49,0.2293,0.023111719020465448,0.2048,0.045293602805520056,0.03596403596403597,1.2737,0.01185900192331882,donor
D1_1,CLDN4,immune_broad,98,0.224,0.2606,0.009561633227901373,0.2151,0.035346331160925344,0.00999000999000999,0.0,0.03161617630292506,donor
D1_1,CLDN4,t_effector,98,0.224,0.1408,0.16679714733817563,0.0736,0.47629024074637627,0.17082917082917082,0.0,0.2291597817941512,donor
D1_2,TACSTD2,immune_broad,142,0.5,0.185,0.02755025495343522,0.2066,0.01432473416862284,0.03396603396603397,1.2996,0.014212426528867745,donor
D1_2,TACSTD2,t_effector,142,0.5,0.1723,0.040279074752055465,0.1794,0.033971463260389,0.04995004995004995,1.2397,0.011365542754749885,donor
D1_2,CLDN4,immune_broad,142,0.289,0.2287,0.006178985469339299,0.206,0.014627100821973554,0.011988011988011988,0.0,0.04672478918262821,donor
D1_2,CLDN4,t_effector,142,0.289,0.1518,0.07123920101881384,0.1245,0.14268614215275904,0.08391608391608392,0.0,0.14419902970940518,donor
D2_1,TACSTD2,immune_broad,905,0.572,0.157,2.082837793169988e-06,0.1224,0.00022693063443251433,0.000999000999000999,1.1967,2.2716877782603552e-05,donor
D2_1,TACSTD2,t_effector,905,0.572,0.155,2.8215207325058246e-06,0.1228,0.00021602710099108278,0.000999000999000999,1.2023,1.928135624275338e-05,donor
D2_1,CLDN4,immune_broad,905,0.228,0.1201,0.0002925096945601297,0.0516,0.12098489514244141,0.000999000999000999,0.0,0.0007464251283062839,donor
D2_1,CLDN4,t_effector,905,0.228,0.1088,0.0010480049735827693,0.0535,0.10825386613578061,0.002997002997002997,0.0,0.0010362899154687196,donor
D2_2,TACSTD2,immune_broad,1209,0.568,0.0387,0.1786824628894034,0.018,0.5315521830986957,0.18181818181818182,1.1114,0.16413952389471576,donor
D2_2,TACSTD2,t_effector,1209,0.568,0.0368,0.2015366131503439,0.0189,0.5112948576738935,0.21878121878121878,0.4757,0.22022790245061952,donor
D2_2,CLDN4,immune_broad,1209,0.231,0.1034,0.0003181726138026411,0.0591,0.040040155929608794,0.000999000999000999,0.0,6.555815548422269e-05,donor
D2_2,CLDN4,t_effector,1209,0.231,0.098,0.0006461474062698184,0.0643,0.02557192650139069,0.000999000999000999,0.0,0.004859061903725432,donor
P10_B1,TACSTD2,immune_broad,818,0.414,0.0502,0.15104670722336452,0.0319,0.3635233153596996,0.13786213786213786,0.0,0.2511553520874453,non_involved
P10_B1,TACSTD2,t_effector,818,0.414,0.064,0.06731388887347589,0.0591,0.09176512044983388,0.06793206793206794,0.0,0.08982798957944974,non_involved
P10_B1,CLDN4,immune_broad,818,0.292,0.09,0.009997548580969795,0.0641,0.06703520664354971,0.007992007992007992,0.0,0.04329606800748506,non_involved
P10_B1,CLDN4,t_effector,818,0.292,0.0415,0.23591349872857034,0.0335,0.3394777888181168,0.22977022977022976,0.0,0.8590799092969517,non_involved
P10_B2,TACSTD2,immune_broad,747,0.317,0.1855,3.2932525473803314e-07,0.1273,0.0004971690413515872,0.000999000999000999,0.0,1.8589362610341016e-05,non_involved
P10_B2,TACSTD2,t_effector,747,0.317,0.1487,4.522930956904541e-05,0.1146,0.0017371957369395742,0.000999000999000999,0.0,8.048069362957378e-05,non_involved
P10_B2,CLDN4,immune_broad,747,0.198,0.0878,0.016388552980401358,0.0538,0.14272034001887482,0.01898101898101898,0.0,0.036219641108913084,non_involved
P10_B2,CLDN4,t_effector,747,0.198,0.0389,0.2887679921303457,0.0152,0.6783739856294316,0.3026973026973027,0.0,0.23285990954351332,non_involved
P10_T1,TACSTD2,immune_broad,1098,0.842,-0.1079,0.00034237527869244923,-0.0474,0.1165138079297339,0.000999000999000999,-0.1583,0.0013087868958938037,tumour
P10_T1,TACSTD2,t_effector,1098,0.842,-0.0542,0.07243460928084267,-0.0075,0.8043519447277301,0.08091908091908091,-0.1667,0.06961764321274638,tumour
P10_T1,CLDN4,immune_broad,1098,0.883,-0.182,1.2551279184866948e-09,-0.0996,0.0009551428019816286,0.000999000999000999,-0.2037,8.420166898586496e-08,tumour
P10_T1,CLDN4,t_effector,1098,0.883,-0.1029,0.0006357619709077789,-0.0327,0.2799284365750535,0.003996003996003996,-0.0981,0.0030953269174524237,tumour
P10_T2,TACSTD2,immune_broad,986,0.843,-0.1622,3.0645282994204197e-07,-0.0758,0.01742466237763621,0.000999000999000999,-0.247,3.256610629599236e-07,tumour
P10_T2,TACSTD2,t_effector,986,0.843,-0.1095,0.0005699538176471901,-0.0508,0.11111151765816842,0.003996003996003996,-0.2383,0.0006231713770757657,tumour
P10_T2,CLDN4,immune_broad,986,0.89,-0.2106,2.4141747671840582e-11,-0.1342,2.3947654931130155e-05,0.000999000999000999,-0.2245,6.979447388368898e-10,tumour
P10_T2,CLDN4,t_effector,986,0.89,-0.1156,0.0002758101059259726,-0.0533,0.09501215204050024,0.000999000999000999,-0.0871,0.0011937019653044403,tumour
P10_T3,TACSTD2,immune_broad,1295,0.819,-0.0936,0.0007433882621125559,-0.0074,0.7911179306957036,0.002997002997002997,-0.1452,0.0022360004462824534,tumour
P10_T3,TACSTD2,t_effector,1295,0.819,-0.0642,0.020778025923187008,0.0008,0.9777157997231711,0.027972027972027972,-0.1644,0.007840731227800782,tumour
P10_T3,CLDN4,immune_broad,1295,0.88,-0.1157,3.0091637729082267e-05,-0.0446,0.10895028289961749,0.000999000999000999,-0.1833,6.047433448321161e-06,tumour
