cohort,gene,endpoint,n_high,n_low,median_surv_high,median_surv_low,logrank_p
Yale,TACSTD2,OS,18,19,647.0,,0.12100404263467639
Yale,CLDN4,OS,18,19,606.0,,0.024390398582939406
Greek,TACSTD2,OS,30,31,858.0,709.0,0.9423781748642711
Greek,CLDN4,OS,30,31,1035.0,629.0,0.44998938593740634
