section,n_spots,n_epi_spots,median_counts,tissue
D1_1,269,98,1498.0,donor
D1_2,323,142,2448.0,donor
D2_1,1833,905,3330.0,donor
D2_2,2428,1209,3233.0,donor
P10_B1,1640,818,1077.0,non_involved
P10_B2,1496,747,727.0,non_involved
P10_T1,2199,1098,4438.0,tumour
P10_T2,1981,986,4963.0,tumour
P10_T3,2603,1295,4198.0,tumour
P10_T4,2468,1226,2400.0,tumour
P11_B1,2674,1325,1587.0,non_involved
P11_B2,2437,1208,1060.0,non_involved
P11_T1,1099,547,1854.0,tumour
P11_T2,1160,575,2099.0,tumour
P11_T3,1701,842,968.0,tumour
P11_T4,1717,853,915.0,tumour
P15_B1,2833,1411,3061.0,non_involved
P15_B2,2810,1404,3642.5,non_involved
P15_T1,2622,1309,5985.0,tumour
P15_T2,3126,1560,4839.0,tumour
P16_B1,2488,1239,653.0,non_involved
P16_B2,1766,845,469.0,non_involved
P16_T1,2247,1114,4383.0,tumour
P16_T2,2187,1086,4133.0,tumour
P17_B1,1479,732,947.0,non_involved
P17_B2,1060,515,1014.0,non_involved
P17_T1,2655,1321,11856.0,tumour
P17_T2,2951,1470,9336.0,tumour
P19_B1,1906,948,765.0,non_involved
P19_B2,2041,1016,985.0,non_involved
P19_T1,2509,1254,6049.0,tumour
P19_T2,2366,1177,5065.5,tumour
P24_B1,2551,1272,2763.0,non_involved
P24_B2,2940,1469,2085.0,non_involved
P24_T1,3371,1684,3409.0,tumour
P24_T2,3376,1684,2700.0,tumour
P25_B1,1932,966,2189.0,non_involved
P25_B2,2154,1077,2327.0,non_involved
P25_T1,1260,629,5251.5,tumour
P25_T2,1412,705,5610.5,tumour
