dataset,gene,neighborhood,n_sections,median_partial_rho,n_positive,wilcoxon_p,stouffer_z,stouffer_p
GSE189487,CLDN4,immune_broad,6,-0.063,1,0.0625,-4.536610773531011,5.716546932016297e-06
GSE189487,CLDN4,t_effector,6,0.0026,4,0.84375,-0.16744176635530386,0.8670224642297522
GSE189487,TACSTD2,immune_broad,6,-0.0159,1,0.0625,-2.6638315077766106,0.007725624800047249
GSE189487,TACSTD2,t_effector,6,-0.001,3,1.0,-0.17199104194661527,0.8634445715486587
