spotid,pearson_r_log
1,0.8546
101,0.9587
103,0.9028
109,0.9401
116,0.9576
117,0.929
118,0.9517
120,0.9669
17,0.9771
18,0.8007
20,0.9652
22,0.964
24,0.7971
25,0.7262
27,0.9336
30,0.8961
32,0.9524
40,0.9731
42,0.9762
45,0.9629
49,0.9598
51,0.9558
55,0.9848
66,0.9864
67,0.9869
71,0.9848
72,0.9859
79,0.9782
8,0.8896
80,0.9722
81,0.9856
86,0.9227
88,0.9244
9,0.973
90,0.9285
94,0.9581
99,0.9705
