dataset,tissue,gene,neighborhood,n_sections,median_partial_rho,n_positive,wilcoxon_p,stouffer_z,stouffer_p
E-MTAB-13530,donor,CLDN4,immune_broad,4,0.1326,4,,4.074919001282448,4.603036564485125e-05
E-MTAB-13530,donor,CLDN4,t_effector,4,0.0689,4,,3.008442902662434,0.002625901395925126
E-MTAB-13530,donor,TACSTD2,immune_broad,4,0.1158,4,,3.910716134529983,9.202287246830906e-05
E-MTAB-13530,donor,TACSTD2,t_effector,4,0.1511,4,,4.23932384275002,2.2419404166168093e-05
E-MTAB-13530,non_involved,CLDN4,immune_broad,16,0.0186,10,0.40374755859375,1.0837436957555897,0.2784784557957636
E-MTAB-13530,non_involved,CLDN4,t_effector,16,0.0175,11,0.05767822265625,2.727476918199712,0.006382072248301576
E-MTAB-13530,non_involved,TACSTD2,immune_broad,16,0.0386,12,0.033538818359375,5.029251057469827,4.923993275523596e-07
E-MTAB-13530,non_involved,TACSTD2,t_effector,16,0.0327,13,0.00042724609375,5.783773742765376,7.304317100746213e-09
E-MTAB-13530,tumour,CLDN4,immune_broad,20,-0.0126,9,0.5458755493164062,-1.2813804394720212,0.20006007126706282
E-MTAB-13530,tumour,CLDN4,t_effector,20,0.0194,14,0.013616561889648438,4.811004215535768,1.5017384938812037e-06
E-MTAB-13530,tumour,TACSTD2,immune_broad,20,-0.0104,5,0.09730720520019531,-3.0004637783460493,0.002695688131172251
E-MTAB-13530,tumour,TACSTD2,t_effector,20,0.0073,11,0.34881019592285156,2.28752981941747,0.022164916964693873
