section,n_spots,n_epi_spots,median_counts,stage
TD1,4092,2045,8291.0,IAC
TD2,4406,2202,6417.5,IAC
TD3,1137,565,5894.0,MIA
TD5,1700,849,9783.0,AIS
TD6,3910,1955,8266.5,MIA
TD8,1760,880,16965.5,AIS
