section,gene,neighborhood,n_epi_spots,pct_detected,spearman_rho,spearman_p,partial_rho,partial_p,perm_p,hot_vs_cold_median_diff,mannwhitney_p,stage
TD1,TACSTD2,immune_broad,2045,0.969,-0.229,9.846025807082017e-26,-0.1009,4.844068827274262e-06,0.000999000999000999,-0.2369,3.5060785437642686e-20,IAC
TD1,TACSTD2,t_effector,2045,0.969,-0.1328,1.645592682344539e-09,-0.0373,0.09204486517242377,0.000999000999000999,-0.1359,1.0464815848540832e-08,IAC
TD1,CLDN4,immune_broad,2045,0.946,-0.2142,1.1834687527145896e-22,-0.0747,0.0007329116924006267,0.000999000999000999,-0.2335,1.9997931645505098e-17,IAC
TD1,CLDN4,t_effector,2045,0.946,-0.1596,3.9444512113016057e-13,-0.0607,0.006083076331445008,0.000999000999000999,-0.1939,2.5040509537430613e-11,IAC
TD2,TACSTD2,immune_broad,2202,0.866,-0.028,0.18927428678258978,0.003,0.8890617849769663,0.17482517482517482,-0.0209,0.49753304616839866,IAC
TD2,TACSTD2,t_effector,2202,0.866,0.0036,0.8657760959306474,0.0203,0.3404174181664081,0.8641358641358642,0.0105,0.7427143450642297,IAC
TD2,CLDN4,immune_broad,2202,0.965,-0.0825,0.00010571573602553157,-0.0513,0.016132197257069873,0.000999000999000999,-0.1192,0.0008052683987052273,IAC
TD2,CLDN4,t_effector,2202,0.965,-0.0145,0.4974795682685686,0.0005,0.98129995275388,0.4775224775224775,-0.028,0.6297425084345152,IAC
TD3,TACSTD2,immune_broad,565,0.784,-0.0706,0.09355794281694679,-0.0251,0.5521005214891844,0.1028971028971029,-0.2174,0.061496841198720835,MIA
TD3,TACSTD2,t_effector,565,0.784,-0.0252,0.5494553634646828,0.0022,0.9593855017409176,0.5454545454545454,-0.0916,0.41800447340235647,MIA
TD3,CLDN4,immune_broad,565,0.678,-0.06,0.15457342136191343,-0.0062,0.8824854674410034,0.15984015984015984,-0.0825,0.2232038429927321,MIA
TD3,CLDN4,t_effector,565,0.678,-0.0258,0.5405744546816049,0.0047,0.9109942801166764,0.5524475524475524,-0.0526,0.8166241667729134,MIA
TD5,TACSTD2,immune_broad,849,0.827,-0.0935,0.006383571855260101,-0.0048,0.8897521357501602,0.00999000999000999,-0.1143,0.028018055111331694,AIS
TD5,TACSTD2,t_effector,849,0.827,-0.0155,0.6517523519964613,0.0223,0.5161207716869675,0.6383616383616384,-0.0535,0.8140344938846883,AIS
TD5,CLDN4,immune_broad,849,0.938,-0.2345,4.55105448115014e-12,-0.0892,0.009413080492648681,0.000999000999000999,-0.2828,4.903832529113711e-10,AIS
TD5,CLDN4,t_effector,849,0.938,-0.1001,0.0034982848440272053,-0.0301,0.3814365193358967,0.005994005994005994,-0.1107,0.06436367298368662,AIS
TD6,TACSTD2,immune_broad,1955,0.922,-0.0714,0.0015888772130999269,-0.0263,0.2461778725024452,0.002997002997002997,-0.0761,0.0009217618285784865,MIA
TD6,TACSTD2,t_effector,1955,0.922,-0.0205,0.3659265926335297,-0.0061,0.7885954122208014,0.36663336663336665,-0.035,0.1529004806758232,MIA
TD6,CLDN4,immune_broad,1955,0.854,-0.0461,0.041338724212014,0.0001,0.9957827144425844,0.03696303696303696,-0.0912,0.00965128705227568,MIA
TD6,CLDN4,t_effector,1955,0.854,0.0179,0.4293762365159757,0.0332,0.14189394401123756,0.43156843156843155,-0.004,0.6247484203316391,MIA
TD8,TACSTD2,immune_broad,880,0.966,-0.0901,0.007510073673343353,-0.0068,0.8413453274677896,0.006993006993006993,-0.0734,0.011195088656920016,AIS
TD8,TACSTD2,t_effector,880,0.966,-0.0291,0.3881069963443783,-0.0041,0.9028600190808739,0.4025974025974026,-0.0317,0.29253223886051616,AIS
TD8,CLDN4,immune_broad,880,0.999,-0.1957,4.786181584379704e-09,-0.0874,0.009589245620193745,0.000999000999000999,-0.1214,5.7583840562087513e-08,AIS
TD8,CLDN4,t_effector,880,0.999,0.0112,0.7405694726167713,0.0542,0.10863103158373173,0.7182817182817183,0.004,0.5567384291153931,AIS
