n	rho	p	pair	test	n_q4	n_q1	median_q4	median_q1	U
32	-0.22800586510263926	0.20944578739468875	CLDN4 vs CD274	spearman					
32	-0.2133431085043988	0.24103933508530195	CLDN4 vs Hallmark IFN-γ score	spearman					
32	-0.11656891495601172	0.5252003200408104	CLDN4 vs MHC-I score	spearman					
16		0.1605283605283605	CD274 Q4 vs Q1 MWU	mannwhitneyu	8.0	8.0	2.901826002822631	3.387960469106666	18.0
