term	es	nes	nom_p	n_set_in_rank	mean_stat	lead_genes	n_lead	contrast	accession	rank_metric	n_genes_ranked	n_q4	n_q1	n_total	headline	fdr	direction
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.37495247366094886	-1.891520524665789	0.000999000999000999	197	-0.6889790103807988	PSME2,PIM1,IL15,CASP3,NCOA3,IL15RA,PSMB10,CXCL9,TAP1,IL18BP,CD38,PARP14,IL7,SELP,B2M,FGL2,SLAMF7,RNF31,HLA-DMA,CD274,FAS,ST8SIA4,PARP12,SOCS1,BTG1	67	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1	20128	8	8	32	True	0.0014985014985014985	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.39652306739423365	-1.2637306355508346	0.10789210789210789	21	-0.9650216260909026	PSMB10,ERAP1,TAP1,ERAP2,B2M,HLA-F,PSMB9,IRF1,TAPBPL	9	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1	20128	8	8	32	True	0.10789210789210789	DOWN_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.3954344737959957	2.264850459853397	0.000999000999000999	164	0.5454437596447151	CLDN4,CRB3,RAC1,MARVELD2,CTTN,EPB41L4B,MYL12B,MYH14,OCLN,F11R,MYL6,CCND1,LLGL2,MAGI1,MYH11,NEDD4,PRKAB2,ROCK2,PARD6B,AMOTL2,PARD3,SCRIB,CLDN7,TJP1,ACTG1	77	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1	20128	8	8	32	True	0.0014985014985014985	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.26988039783765294	-1.2308748657164177	0.0959040959040959	94	-0.41479657178759793	PSME2,IL15,TAP1,PARP14,IL7,B2M,RNF31,PARP12,TRAFD1,UBA7,IRF2,IL4R,ELF1,SAMD9,GBP2,NUB1,PSMB9,EPSTI1,CASP1,IRF1,CASP8,SELL,ISG20,SP110,GBP4	26	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1	20128	8	8	32	False		DOWN_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.3749422049170152	-1.8905837338224791	0.000999000999000999	197	-0.6889790103807988	PSME2,PIM1,IL15,CASP3,NCOA3,IL15RA,PSMB10,CXCL9,TAP1,IL18BP,CD38,PARP14,IL7,SELP,B2M,FGL2,SLAMF7,RNF31,HLA-DMA,CD274,FAS,ST8SIA4,PARP12,SOCS1,BTG1	67	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1_drop_CLDN4	20127	8	8	32	True	0.0014985014985014985	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.39651348472141873	-1.285315648360812	0.1008991008991009	21	-0.9650216260909026	PSMB10,ERAP1,TAP1,ERAP2,B2M,HLA-F,PSMB9,IRF1,TAPBPL	9	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1_drop_CLDN4	20127	8	8	32	True	0.10089910089910088	DOWN_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.3858893796892658	2.1694270075800546	0.000999000999000999	163	0.5091075090268745	CRB3,RAC1,MARVELD2,CTTN,EPB41L4B,MYL12B,MYH14,OCLN,F11R,MYL6,CCND1,LLGL2,MAGI1,MYH11,NEDD4,PRKAB2,ROCK2,PARD6B,AMOTL2,PARD3,SCRIB,CLDN7,TJP1,ACTG1,ARPC1A	76	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1_drop_CLDN4	20127	8	8	32	True	0.0014985014985014985	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.2698701322561501	-1.2232730823188056	0.0989010989010989	94	-0.41479657178759793	PSME2,IL15,TAP1,PARP14,IL7,B2M,RNF31,PARP12,TRAFD1,UBA7,IRF2,IL4R,ELF1,SAMD9,GBP2,NUB1,PSMB9,EPSTI1,CASP1,IRF1,CASP8,SELL,ISG20,SP110,GBP4	26	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	welch_t_Q4_vs_Q1_drop_CLDN4	20127	8	8	32	False		DOWN_in_CLDN4_Q4
HALLMARK_INTERFERON_GAMMA_RESPONSE	-0.410941700248136	-1.839273893394271	0.000999000999000999	197	-0.12523138845970538	HLA-G,RIPK1,IL15RA,RNF213,CASP3,RTP4,IRF5,CD274,TRIM14,ST3GAL5,TRIM26,MX2,STAT1,IFIH1,ARID5B,PSMB8,HLA-DQA1,EIF4E3,STAT2,OGFR,B2M,TAP1,CASP4,ST8SIA4,PTPN2	88	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	spearman_vs_CLDN4	20159	32	32	32	True	0.0014985014985014985	DOWN_in_CLDN4_Q4
CUSTOM_MHC_I_ANTIGEN_PRESENTATION	-0.5683990994114156	-1.7289682217006044	0.003996003996003996	21	-0.20495400948236697	HLA-B,TAPBP,HLA-G,ERAP2,PSMB8,B2M,TAP1,HLA-E,PSMB10,TAP2,PSMB9,NLRC5,ERAP1,IRF1,HLA-F,TAPBPL	16	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	spearman_vs_CLDN4	20159	32	32	32	True	0.003996003996003996	DOWN_in_CLDN4_Q4
KEGG_TIGHT_JUNCTION	0.4265064529838918	2.09608266135678	0.000999000999000999	164	0.11388288433740457	CLDN4,RAC1,MARVELD2,CRB3,CTTN,CCND1,EPB41L4B,CLDN7,ACTG1,MYL6,MYH14,OCLN,LLGL2,PARD3,F11R,MYL12B,DLG3,PARD6B,MAGI1,ERBB2,JUN,ARPC1A,PRKAB2,AMOTL2,CLDN3	75	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	spearman_vs_CLDN4	20159	32	32	32	True	0.0014985014985014985	UP_in_CLDN4_Q4
HALLMARK_INTERFERON_ALPHA_RESPONSE	-0.38802381947415265	-1.5756842353274998	0.004995004995004995	94	-0.10528323945299589	RTP4,LPAR6,TRIM14,TRIM26,IFIH1,PSMB8,STAT2,OGFR,B2M,TAP1,CD47,PSME2,IL15,TMEM140,TRIM21,PARP14,GBP2,PARP12,NUB1,RNF31,SLC25A28,SAMD9,PSMB9,TRAFD1,EPSTI1	38	GSE253564_CLDN4_Q4_vs_Q1	GSE253564	spearman_vs_CLDN4	20159	32	32	32	False		DOWN_in_CLDN4_Q4
