contrast_id	kind	note	n_treat	n_ctrl
GSE237361_UWB_olaparib_96h	acute PARPi	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.	4	4
GSE237361_OVCAR3_olaparib_96h	acute PARPi	OVCAR3 BRCA1-WT, olaparib 7.5 uM vs DMSO, 96h, n=4. Same line as Yamamoto CLDN4-high model. Counts to CPM.	4	4
GSE243208_UWB_olaparib_24h	acute PARPi	UWB1.289, 24h, n=3. GSM characteristics say Olaparib 4 uM; series overall design says 10 uM. GSM also says genotype WT; UWB1.289 is the BRCA1-null line, so that field is not used as BRCA1 status. CPM uses full-gene library size; only pre-specified symbols were ID-mapped.	3	3
GSE233820_SBC5_PARPi_0Gy	acute PARPi	SBC5 small-cell lung cancer, olaparib 1 uM, 3 days, n=3. integer fraction 0.693; treated as already-scaled abundances, log2(x+1), no CPM. Not LUAD and not KL. GEO series title says chemokine translation is depressed; PubMed 40038278 title says chemokine mRNA is stabilized.	3	3
GSE233820_SBC5_PARPi_on_4Gy	PARPi plus radiation	SBC5 small-cell lung cancer, olaparib 1 uM, 3 days, n=3. integer fraction 0.693; treated as already-scaled abundances, log2(x+1), no CPM. Not LUAD and not KL. GEO series title says chemokine translation is depressed; PubMed 40038278 title says chemokine mRNA is stabilized.	3	3
GSE285827_ovcar3_talazoparib	acute PARPi	OVCAR3 talazoparib vs DMSO, three experiment dates as n=3. Counts to CPM. OVCAR3 is the Yamamoto CLDN4-high BRCA-WT line; CAOV3 is a second HGSOC line. Paper: PARP inhibitors differentially regulate immune responses by genetic background.	3	3
GSE285827_ovcar3_veliparib	acute PARPi	OVCAR3 veliparib vs DMSO, three experiment dates as n=3. Counts to CPM. OVCAR3 is the Yamamoto CLDN4-high BRCA-WT line; CAOV3 is a second HGSOC line. Paper: PARP inhibitors differentially regulate immune responses by genetic background.	3	3
GSE285827_caov3_talazoparib	acute PARPi	CAOV3 talazoparib vs DMSO, three experiment dates as n=3. Counts to CPM. OVCAR3 is the Yamamoto CLDN4-high BRCA-WT line; CAOV3 is a second HGSOC line. Paper: PARP inhibitors differentially regulate immune responses by genetic background.	3	3
GSE285827_caov3_veliparib	acute PARPi	CAOV3 veliparib vs DMSO, three experiment dates as n=3. Counts to CPM. OVCAR3 is the Yamamoto CLDN4-high BRCA-WT line; CAOV3 is a second HGSOC line. Paper: PARP inhibitors differentially regulate immune responses by genetic background.	3	3
GSE120500_Brca1def_tumor_olaparib	acute PARPi, bulk tumor	Ding 2018 Cell Reports. Bulk Brca1-deficient ovarian tumors, olaparib vs vehicle, n=6. Ion AmpliSeq panel of 4604 genes, not whole transcriptome. Each count column was assigned to vehicle or olaparib by nearest SRA spot count (relative error < 2% to that group, > 3% to the other group). Control-3/4/5 are too close to name individual replicates; the six-vs-six group split is the contrast used. IFN signal can come from infiltrating immune cells. Mouse symbols.	6	6
GSE120792_BRCA1mut_vs_WT	DNA-repair genotype, not drug	BRCA1-mutant vs BRCA1-WT ovarian cancer cells, n=3, no olaparib column in this matrix. Values left as deposited (ACTB mean 9.94, consistent with log2 expression). Difference of means is the contrast. Genotype arm of the bridge, not a drug arm. PMID 34289354.	3	3
GSE153867_A2780_resistant_vs_parent	acquired PARPi resistance	A2780 olaparib-resistant (columns C-1..C-8, GEO 'treated with Olaparib') vs parental untreated (columns O-1..O-8), n=8. FPKM to log2(FPKM+1). Acquired resistance, not an acute isogenic dose. C13* shCEBPB columns CS/R are a different experiment and are not in this contrast.	8	8
GSE235980_Olres_vs_parent_BRCA1def	acquired PARPi resistance	UWB1.289 Olres vs parental, drug-free culture, n=2. Counts to CPM. Descriptive only.	2	2
GSE235980_Olres_vs_parent_BRCA1prof	acquired PARPi resistance	UWB1.289+BRCA1 Olres vs parental, drug-free culture, n=2. Counts to CPM. Descriptive only.	2	2
GSE239639_DMR_olaparib_vs_NT	acute PARPi, n=2	DMR sarcoma, olaparib (OL) vs not treated (NT), n=2. TPM to log2(TPM+1). Combo and trabectedin columns are not in this contrast. Descriptive only. Not epithelial lung.	2	2
GSE239639_HT-1080_olaparib_vs_NT	acute PARPi, n=2	HT-1080 sarcoma, olaparib (OL) vs not treated (NT), n=2. TPM to log2(TPM+1). Combo and trabectedin columns are not in this contrast. Descriptive only. Not epithelial lung.	2	2
GSE239639_S018_olaparib_vs_NT	acute PARPi, n=2	S018 sarcoma, olaparib (OL) vs not treated (NT), n=2. TPM to log2(TPM+1). Combo and trabectedin columns are not in this contrast. Descriptive only. Not epithelial lung.	2	2
GSE298546_HeLa_olaparib_72h	acute PARPi, n=1	HeLa, olaparib vs DMSO, 72h, n=1. Counts to CPM. Descriptive only. PMID 40316566 discusses senescence-associated inflammation in HR-proficient cells.	1	1
