contrast_id	gene	n_treat	n_ctrl	mean_treat	mean_ctrl	log2fc	mw_p	welch_p	series	kind	species	note
GSE237361_UWB_olaparib_96h	CLDN4	4	4	7.46319	7.46851	-0.00531407	0.885714	0.953182	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TACSTD2	4	4	8.93398	8.94774	-0.0137589	1	0.920541	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ISG15	4	4	8.79318	6.48753	2.30565	0.0285714	2.29204e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFIT1	4	4	6.49347	2.75544	3.73803	0.0285714	8.40949e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFIT2	4	4	5.16349	2.74837	2.41512	0.0285714	4.14507e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFIT3	4	4	6.45874	3.07478	3.38396	0.0285714	1.91215e-07	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	MX1	4	4	8.02258	4.3024	3.72017	0.0285714	8.63581e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	MX2	4	4	3.00864	1.02478	1.98386	0.0285714	0.00117988	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	OAS1	4	4	7.23241	4.72795	2.50446	0.0285714	0.000115076	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	OAS2	4	4	7.43751	4.11485	3.32266	0.0285714	5.65176e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	OAS3	4	4	8.22423	5.72611	2.49812	0.0285714	4.6182e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	OASL	4	4	3.8077	1.35403	2.45367	0.0285714	3.00737e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFI44	4	4	5.90198	3.37699	2.52499	0.0285714	0.000126996	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFI44L	4	4	7.36588	4.03519	3.33069	0.0285714	0.000107247	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	RSAD2	4	4	4.60155	1.34428	3.25727	0.0285714	0.000301994	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	STAT1	4	4	8.78193	7.36423	1.4177	0.0285714	2.45581e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	STAT2	4	4	5.02117	4.4717	0.549476	0.0285714	0.00908342	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IRF7	4	4	5.32221	3.72476	1.59745	0.0285714	6.92995e-07	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CXCL9	4	4	0.213759	0	0.213759	0.114286	0.0802856	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CXCL10	4	4	4.13084	0.318202	3.81264	0.0285714	1.22247e-07	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CXCL11	4	4	3.09758	0.636025	2.46155	0.0285714	0.000922796	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CCL5	4	4	2.55101	0.449157	2.10185	0.0285714	0.00166986	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CD274	4	4	1.5055	0.794732	0.710766	0.0285714	0.00285948	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	DDX58	4	4	0.111169	0	0.111169	0.342857	0.183082	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFIH1	4	4	6.81002	5.01382	1.7962	0.0285714	1.70069e-05	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	ISG20	4	4	3.92971	2.39807	1.53164	0.0285714	2.23951e-06	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	BST2	4	4	8.98553	8.49955	0.485973	0.0285714	0.000771233	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	USP18	4	4	5.23816	3.75593	1.48223	0.0285714	0.00166655	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFNB1	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	IFNG	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CLDN1	4	4	9.82502	9.44203	0.382997	0.0285714	0.0031827	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CLDN3	4	4	7.50212	7.59042	-0.088295	0.485714	0.381329	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CLDN7	4	4	8.08505	7.98682	0.098227	1	0.381448	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CLDN18	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	OCLN	4	4	1.64262	1.71659	-0.0739738	0.685714	0.576495	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TJP1	4	4	6.07681	5.93777	0.139044	0.485714	0.237003	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TJP2	4	4	0.456547	0.231215	0.225332	0.485714	0.317104	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TJP3	4	4	3.10272	3.48192	-0.379197	0.114286	0.0442482	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	F11R	4	4	7.43412	7.32968	0.104433	0.2	0.31596	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CGN	4	4	5.4317	5.44027	-0.00856363	0.885714	0.958234	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	CGNL1	4	4	2.03444	1.63043	0.404012	0.2	0.153696	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	MARVELD2	4	4	4.96021	4.87535	0.0848602	0.2	0.298347	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	JAM2	4	4	0.647577	0.493698	0.153879	0.685714	0.641486	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	JAM3	4	4	0	0	0	1	1	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
GSE237361_UWB_olaparib_96h	TP53BP1	4	4	4.84107	4.89366	-0.0525852	0.685714	0.559793	GSE237361	acute PARPi	human	UWB1.289 BRCA1-mutant, olaparib 3.5 uM vs DMSO, 96h, n=4. Counts to CPM.
