series	group	gene	mean_log2cpm1	n
GSE237361	UWB_DMSO	CLDN4	7.46851	4
GSE237361	OVCAR3_DMSO	CLDN4	7.80364	4
GSE237361	UWB_olaparib	CLDN4	7.46319	4
GSE237361	OVCAR3_olaparib	CLDN4	7.37059	4
