contrast_id	CLDN4	STING_axis	TACSTD2	core_IFN	core_TJ	recruit	repair_NHEJ_HR	thesis_IFN	thesis_TJ_no_CLDN4	CLDN4_mw_p	core_IFN_mw_p	core_TJ_mw_p	recruit_mw_p
GSE120500_Brca1def_tumor_olaparib		0.56307	0.134659	2.31854	0.475607	3.08833	0.130847				0.0021645	0.132035	0.0021645
GSE120792_BRCA1mut_vs_WT	-0.188817	-0.20934	-0.234726	0.461498	-0.130226	0.270518	-0.194955	0.210827	-0.0615889	0.4	0.1	0.1	0.1
GSE153867_A2780_resistant_vs_parent	6.16526	1.22718	8.2214	0.166442	-0.0140787	-0.322768	0.625953	0.318606	0.0221075	0.0001554	0.0001554	0.328205	0.0001554
GSE233820_SBC5_PARPi_0Gy	0.744602	0.61902	3.08756	1.32958	0.889317	2.53063	-0.33195	0.729517	0.378898	0.4	0.1	0.1	0.1
GSE233820_SBC5_PARPi_on_4Gy	-0.861843	-0.140605	-1.10731	-0.514463	-0.352386	-0.914462	-0.0270677	-0.362005	-0.234394	0.1	0.1	0.1	0.2
GSE235980_Olres_vs_parent_BRCA1def	-0.167069	-0.0313746	-1.18792	-1.02388	0.100602	-0.516292	0.0086524	-0.383862	0.0617881				
GSE235980_Olres_vs_parent_BRCA1prof	-0.399962	-0.107241	0.792999	0.83699	0.166642	0.294224	0.236885	0.136739	-0.00328358				
GSE237361_OVCAR3_olaparib_96h	-0.43305	0.309536	0.0697165	0.403505	-0.0216888	0.374948	0.154716	0.30461	0.0918505	0.0285714	0.0285714	0.685714	0.0285714
GSE237361_UWB_olaparib_96h	-0.00531407	0.110392	-0.0137589	2.14273	0.0868963	1.86011	-0.0325924	0.842323	0.0356399	0.885714	0.0285714	0.485714	0.0285714
GSE239639_DMR_olaparib_vs_NT	-0.388762	-0.210998	-0.0078315	-0.07014	-0.0400304	-0.0246819	-0.262542	-0.0974161	-0.142916				
GSE239639_HT-1080_olaparib_vs_NT	0.0442035	0.0649383	-0.0246728	0.123413	0.0323141	-0.109345	0.0276906	0.103453	0.0245534				
GSE239639_S018_olaparib_vs_NT	-0.01192	0.189968	0.0143214	0.0577566	0.0611327	0.0701949	0.0447524	0.0541497	0.0558124				
GSE243208_UWB_olaparib_24h	0.130274	-0.0694742	0.00517111	0.328182	-0.00678351	0.15749	0.0107437	0.0933601	-0.000689564	0.1	0.1	1	0.1
GSE285827_caov3_talazoparib	-0.326834	0.1555	-1.1345	0.75892	-0.171877	0.305295	0.283841	0.238223	-0.0120932	0.1	0.1	0.1	0.1
GSE285827_caov3_veliparib	-0.035533	-0.0236802	0.063801	-0.151553	-0.0638495	-0.0137124	-0.0122109	-0.0882325	-0.0340649	1	0.1	0.1	1
GSE285827_ovcar3_talazoparib	-0.527093	0.208399	0.44068	0.402319	0.247622	0.292957	0.0662975	0.344231	0.0625203	0.1	0.1	0.1	0.1
GSE285827_ovcar3_veliparib	-0.222117	-0.00322776	0.21627	0.0848878	0.0676856	0.0796873	-0.00702086	0.0629869	0.0185607	0.2	0.7	0.1	0.7
GSE298546_HeLa_olaparib_72h	0.0166842	0.228658	-0.348137	0.762679	-0.113712	0.346066	-0.0682113	0.17215	0.000323726				
