gene	log2FoldChange	pvalue	padj	baseMean	author_contrast
JAM3	3.99218	3.30044e-09	3.30139e-08	53.1721	BRCA1-deficient Olres vs parent (author DESeq2)
TJP3	1.37626	5.51185e-05	0.00024963	295.121	BRCA1-deficient Olres vs parent (author DESeq2)
STING1	0.492078	0.0035704	0.0104352	697.557	BRCA1-deficient Olres vs parent (author DESeq2)
IRF3	0.559396	0.00374394	0.0108511	1440.5	BRCA1-deficient Olres vs parent (author DESeq2)
MAVS	0.265695	0.0039769	0.0114536	6883.27	BRCA1-deficient Olres vs parent (author DESeq2)
IRF7	1.18158	0.00402799	0.0115815	173.497	BRCA1-deficient Olres vs parent (author DESeq2)
ISG15	1.44965	0.0198047	0.0464034	614.71	BRCA1-deficient Olres vs parent (author DESeq2)
IFI44L	-4.72997	1.10836e-115	1.20222e-112	752.853	BRCA1-deficient Olres vs parent (author DESeq2)
OAS2	-2.60637	1.21633e-91	8.119e-89	2204.73	BRCA1-deficient Olres vs parent (author DESeq2)
MX1	-2.55845	8.3705e-72	4.27265e-69	1045.59	BRCA1-deficient Olres vs parent (author DESeq2)
BST2	-2.30446	1.83033e-66	7.94132e-64	3902.77	BRCA1-deficient Olres vs parent (author DESeq2)
IFI44	-2.04715	5.48599e-64	2.11576e-61	1611.66	BRCA1-deficient Olres vs parent (author DESeq2)
OAS3	-1.48863	1.69645e-46	3.42348e-44	5637.82	BRCA1-deficient Olres vs parent (author DESeq2)
STAT1	-1.17688	3.18071e-37	4.15046e-35	9800.99	BRCA1-deficient Olres vs parent (author DESeq2)
OAS1	-1.55041	1.40976e-33	1.48281e-31	1524.18	BRCA1-deficient Olres vs parent (author DESeq2)
TACSTD2	-1.21986	6.00253e-31	5.48284e-29	7757.8	BRCA1-deficient Olres vs parent (author DESeq2)
IFIT1	-2.24442	5.52082e-26	3.53557e-24	425.168	BRCA1-deficient Olres vs parent (author DESeq2)
IFIH1	-1.13813	1.54348e-22	7.46158e-21	1739.24	BRCA1-deficient Olres vs parent (author DESeq2)
CLDN1	-0.785542	2.66181e-20	1.09469e-18	43733.4	BRCA1-deficient Olres vs parent (author DESeq2)
