accession	units_in_concordant4	file	modified	size	velocity_name
GSE123902	13	GSE123902_GEO_README.rtf	2018-12-16 11:41	1.4K	False
GSE123902	13	GSE123902_RAW.tar	2020-01-15 22:00	90M	False
GSE123902	13	filelist.txt	2020-01-15 22:00	1.5K	False
GSE131907	21	GSE131907_Lung_Cancer_Feature_Summary.xlsx	2021-01-18 22:37	19K	False
GSE131907	21	GSE131907_Lung_Cancer_cell_annotation.txt.gz	2020-05-06 21:44	1.8M	False
GSE131907	21	GSE131907_Lung_Cancer_normalized_log2TPM_matrix.rds.gz	2021-01-20 15:05	826M	False
GSE131907	21	GSE131907_Lung_Cancer_normalized_log2TPM_matrix.txt.gz	2019-05-29 12:17	2.9G	False
GSE131907	21	GSE131907_Lung_Cancer_raw_UMI_matrix.rds.gz	2021-01-20 15:06	604M	False
GSE131907	21	GSE131907_Lung_Cancer_raw_UMI_matrix.txt.gz	2019-05-29 12:21	390M	False
GSE205335	22	GSE205335_Lung_IO_CellIdentity.txt.gz	2022-06-01 17:26	719K	False
GSE205335	22	GSE205335_Lung_IO_UMI_matrix.rds.gz	2022-06-01 17:26	499M	False
GSE189357	9	GSE189357_RAW.tar	2021-12-01 17:07	624M	False
GSE189357	9	filelist.txt	2021-12-01 17:07	1.8K	False
