accession	bioproject	sra_study	controlled_raw	sra_experiment_hits	runinfo_rows	public_runs	size_mb	layouts	strategies	models	avg_lengths	path_kind	aligned_bam_in_path
GSE123902	PRJNA510251	SRP173552		17	122	122	163261	PAIRED	RNA-Seq	Illumina HiSeq 2500	124	sralite_reads_not_bam	False
GSE131907	PRJNA545296			0	0	0	0						False
GSE205335	PRJNA844398		EGAD00001008703	0	0	0	0						False
GSE189357	PRJNA782639	SRP347260		9	9	9	163381	PAIRED	RNA-Seq	Illumina NovaSeq 6000	187	sralite_reads_not_bam	False
