n	rho	p	dataset	x	y	kind	n_a	n_b	median_a	median_b	U	rank_biserial	q
3189	0.12002285546723036	1.0478331437111266e-11	htan_visium_Ctrl1_A1	TACSTD2	CLDN4	spot							5.937721147696384e-11
3189	0.09193715350193649	1.9844726044742831e-07	htan_visium_Ctrl1_A1	TACSTD2	CD8_Tcell	spot							7.990113381172772e-07
3189	0.07180482079922884	4.937700789694266e-05	htan_visium_Ctrl1_A1	TACSTD2	CYT	spot							0.00013612040014832842
3189	0.09715717015602462	3.853364500469206e-08	htan_visium_Ctrl1_A1	TACSTD2	Cytotoxic_effector	spot							1.6607458269627848e-07
3189	0.2446298707499266	1.131967729561826e-44	htan_visium_Ctrl1_A1	TACSTD2	IFNG_6gene	spot							4.948316074941696e-43
3189	0.15608720973617446	7.625127547294539e-19	htan_visium_Ctrl1_A1	TACSTD2	TLS_12chemokine	spot							8.333175105257602e-18
3189	0.15247543560931498	4.810939484517679e-18	htan_visium_Ctrl1_A1	TACSTD2	TGFB_exclusion	spot							4.748862846007774e-17
3189	0.19940769181788096	5.847556125154289e-30	htan_visium_Ctrl1_A1	TACSTD2	Immune_general	spot							1.1183451089357577e-28
3189	0.03673248350833743	0.038059317726995105	htan_visium_Ctrl1_A1	TACSTD2	B_cell	spot							0.06506229734335475
3189	0.20945422067734712	6.014283741460618e-33	htan_visium_Ctrl1_A1	TACSTD2	Myeloid	spot							1.5336423540724574e-31
3189	0.07314150053920619	3.5602353063005165e-05	htan_visium_Ctrl1_A1	TACSTD2	NK	spot							9.99478902502714e-05
3189	-0.06320424065344946	0.00035508759743419356	htan_visium_Ctrl1_A1	CLDN4	CD8_Tcell	spot							0.0008623555937687558
3189	-0.029408636797689947	0.09682396361322688	htan_visium_Ctrl1_A1	CLDN4	CYT	spot							0.1514998439860994
3189	-0.04744464906425759	0.007368455428549579	htan_visium_Ctrl1_A1	CLDN4	Cytotoxic_effector	spot							0.014641216630754359
