n	rho	p	dataset	subset	pair	gene	signature	x	y	level	q
57019	0.5076463898427217	0.0	hca_madissoon_lung	all	TACSTD2_vs_CLDN4						0.0
5906	0.3077038002768105	1.011699783486183e-129	hca_madissoon_lung	epithelial	TACSTD2_vs_CLDN4						2.782174404587003e-128
31830	0.06683464953114396	7.607185240662036e-33	hca_madissoon_lung	immune	TACSTD2_vs_CLDN4						2.988537058831514e-32
5906	0.09591914554025083	1.5027884526938875e-13	hca_madissoon_lung	epithelial		TACSTD2	CD8_Tcell				4.1326682449081904e-13
5906	0.09974459887092392	1.5544731023070448e-14	hca_madissoon_lung	epithelial		TACSTD2	CYT				4.499790559309867e-14
5906	0.15416957921782778	9.67413368206548e-33	hca_madissoon_lung	epithelial		TACSTD2	Cytotoxic_effector				3.3254834532100087e-32
5906	0.19264147497189477	1.76635324259503e-50	hca_madissoon_lung	epithelial		TACSTD2	IFNG_6gene				1.3878489763246665e-49
5906	0.20729970952512006	2.4328218194584106e-58	hca_madissoon_lung	epithelial		TACSTD2	TLS_12chemokine				2.6761040014042515e-57
5906	0.16513896748440796	2.228723313529374e-37	hca_madissoon_lung	epithelial		TACSTD2	TGFB_exclusion				1.0214981853676298e-36
5906	0.16505713885367918	2.4203572031336947e-37	hca_madissoon_lung	epithelial		TACSTD2	Immune_general				1.023997278248871e-36
5906	0.027727640525786624	0.03310217997630934	hca_madissoon_lung	epithelial		TACSTD2	B_cell				0.06743036661840791
5906	0.17627092433360528	2.000660491271985e-42	hca_madissoon_lung	epithelial		TACSTD2	Myeloid				1.1003632701995918e-41
5906	0.15216209067039616	6.288744402238195e-32	hca_madissoon_lung	epithelial		TACSTD2	NK				2.03459377719471e-31
5906	0.08827031693260762	1.0797510149722276e-11	hca_madissoon_lung	epithelial		CLDN4	CD8_Tcell				2.8279193249272627e-11
5906	0.12343763635399788	1.7207287311551595e-21	hca_madissoon_lung	epithelial		CLDN4	CYT				5.257782234085209e-21
5906	0.19533622253744595	7.05195611078077e-52	hca_madissoon_lung	epithelial		CLDN4	Cytotoxic_effector				6.46429310154904e-51
