cell_type	n	TACSTD2_mean	TACSTD2_pct	CLDN4_mean	CLDN4_pct	dataset
fibroblast	1951	0.1222038877004235	0.0840594566888775	0.0093265326434926	0.0071758072783188	hca_travaglini_10x
ciliated cell	88	1.6192271269180558	0.9659090909090908	1.0778481086546725	0.8636363636363636	hca_travaglini_10x
epithelial cell	669	0.3066025808431286	0.2331838565022421	0.9138256508316872	0.5904334828101644	hca_travaglini_10x
endothelial cell	6134	0.0386262959179677	0.0316269970655363	0.016204999568488	0.0120639060971633	hca_travaglini_10x
club cell	931	1.6535454436608468	0.8421052631578947	1.5119897959759874	0.8292158968850698	hca_travaglini_10x
myofibroblast cell	248	0.0057361046633412	0.0080645161290322	0.0065620635305681	0.0080645161290322	hca_travaglini_10x
macrophage	226	0.0208378600335754	0.0309734513274336	0.0243947194081492	0.0530973451327433	hca_travaglini_10x
B cell	725	0.0028254415249002	0.0027586206896551	0.0025312096497108	0.0013793103448275	hca_travaglini_10x
mucus secreting cell	491	1.499608556571172	0.9694501018329938	1.0226882428477106	0.8635437881873728	hca_travaglini_10x
vascular associated smooth muscle cell	469	0.0229383286382597	0.021321961620469	0.0060467049002901	0.0042643923240938	hca_travaglini_10x
dendritic cell	581	0.0273036641836576	0.0344234079173838	0.0150685885122844	0.0223752151462994	hca_travaglini_10x
lymphocyte	105	0.0	0.0	0.0	0.0	hca_travaglini_10x
megakaryocyte	40	0.374554643034935	0.25	0.283679399639368	0.25	hca_travaglini_10x
monocyte	207	0.0059855393165551	0.0048309178743961	0.009167192350839	0.0096618357487922	hca_travaglini_10x
alveolar macrophage	14734	0.0219516324085928	0.0452015745893851	0.0161930706988637	0.0359033527894665	hca_travaglini_10x
natural killer cell	4769	0.0115377651767726	0.0071293772279303	0.010838129430928	0.0067100020968756	hca_travaglini_10x
basal cell	312	2.9352248527873783	0.9903846153846154	2.012813020688601	0.9519230769230768	hca_travaglini_10x
pericyte	1608	0.0123307916210658	0.0080845771144278	0.0102597088066499	0.0062189054726368	hca_travaglini_10x
myeloid leukocyte	1902	0.0128644934211995	0.010515247108307	0.0106231068524401	0.0089379600420609	hca_travaglini_10x
plasma cell	187	0.0273274190444997	0.0588235294117647	0.0197686266134129	0.0213903743315508	hca_travaglini_10x
mature NK T cell	335	0.0041223668340426	0.0029850746268656	0.0050251925169531	0.0029850746268656	hca_travaglini_10x
classical monocyte	2077	0.0223975354051383	0.0178141550312951	0.0050936509739853	0.0033702455464612	hca_travaglini_10x
non-classical monocyte	804	0.0083879273180937	0.0099502487562189	0.0088400868189275	0.0087064676616915	hca_travaglini_10x
naive thymus-derived CD4-positive, alpha-beta T cell	932	0.0	0.0	0.0	0.0	hca_travaglini_10x
naive thymus-derived CD8-positive, alpha-beta T cell	2042	0.0059884112331939	0.0039177277179236	0.009611509922786	0.0058765915768854	hca_travaglini_10x
effector memory CD4-positive, alpha-beta T cell	3013	0.0073951699786751	0.0056422170594092	0.0050482412845321	0.0029870560902754	hca_travaglini_10x
effector memory CD8-positive, alpha-beta T cell	1190	0.0025684187392226	0.0016806722689075	0.0028065800666809	0.0016806722689075	hca_travaglini_10x
myeloid dendritic cell, human	131	0.6435240479826018	0.2977099236641221	0.0092375888169266	0.015267175572519	hca_travaglini_10x
plasmacytoid dendritic cell, human	137	0.0084752262073711	0.0072992700729927	0.0047335341899064	0.0072992700729927	hca_travaglini_10x
pulmonary alveolar type 1 cell	972	2.8455684307671376	0.9547325102880658	1.908920025997201	0.8168724279835391	hca_travaglini_10x
pulmonary alveolar type 2 cell	3814	0.666812781121447	0.551651809124279	1.093410358118117	0.7839538542212899	hca_travaglini_10x
endothelial cell of lymphatic vessel	467	0.0961118276675712	0.0770877944325481	0.0327758729074956	0.0278372591006423	hca_travaglini_10x
capillary endothelial cell	7391	0.0335658458117589	0.0207008523880395	0.0111266720796563	0.0073061831957786	hca_travaglini_10x
pulmonary interstitial fibroblast	35	0.0	0.0	0.0247637340000697	0.0285714285714285	hca_travaglini_10x
intermediate monocyte	188	0.0	0.0	0.0134314599823444	0.0159574468085106	hca_travaglini_10x
CD1c-positive myeloid dendritic cell	266	0.1287192374019694	0.1165413533834586	0.0	0.0	hca_travaglini_10x
vein endothelial cell	1155	0.1023618499437968	0.0831168831168831	0.0118340095142265	0.0103896103896103	hca_travaglini_10x
bronchial smooth muscle cell	693	0.0233992506759335	0.0202020202020202	0.0105250511334572	0.0086580086580086	hca_travaglini_10x
respiratory basal cell	593	2.642154467950181	0.9797639123102868	1.1745009910045143	0.7537942664418212	hca_travaglini_10x
pulmonary ionocyte	22	2.1070728952234443	1.0	1.9717740687457	0.9545454545454546	hca_travaglini_10x
tracheobronchial serous cell	24	0.718104250729084	0.75	0.565185001740853	0.7916666666666666	hca_travaglini_10x
lung goblet cell	159	2.73949064473686	0.9874213836477987	1.737259197909877	0.9559748427672956	hca_travaglini_10x
pulmonary neuroendocrine cell	11	0.2007275006987831	0.1818181818181818	0.6936880133368752	0.5454545454545454	hca_travaglini_10x
