n	rho	p	dataset	subset	pair	gene	signature	x	y	level	q
147137	0.21296818021682443	0.0	htan_sclc_combined	all	TACSTD2_vs_CLDN4						0.0
64302	0.2016798566331079	0.0	htan_sclc_combined	epithelial	TACSTD2_vs_CLDN4						0.0
74806	0.06833850593131047	3.907237737212328e-78	htan_sclc_combined	immune	TACSTD2_vs_CLDN4						1.1721713211636982e-77
64302	0.05522852162618751	1.2587137894995724e-44	htan_sclc_combined	epithelial		TACSTD2	CD8_Tcell				3.378652803393589e-44
64302	0.07412340470663169	5.022269031185763e-79	htan_sclc_combined	epithelial		TACSTD2	CYT				1.600848253690462e-78
64302	0.1463431354017204	1.1400963537769656e-304	htan_sclc_combined	epithelial		TACSTD2	Cytotoxic_effector				5.814491404262524e-304
64302	0.2735866321983136	0.0	htan_sclc_combined	epithelial		TACSTD2	IFNG_6gene				0.0
64302	0.22506349860590638	0.0	htan_sclc_combined	epithelial		TACSTD2	TLS_12chemokine				0.0
64302	0.207410647383018	0.0	htan_sclc_combined	epithelial		TACSTD2	TGFB_exclusion				0.0
64302	0.16549057730351555	0.0	htan_sclc_combined	epithelial		TACSTD2	Immune_general				0.0
64302	0.027799741992811485	1.780975883043441e-12	htan_sclc_combined	epithelial		TACSTD2	B_cell				4.325227144534071e-12
64302	0.1588228936434484	0.0	htan_sclc_combined	epithelial		TACSTD2	Myeloid				0.0
64302	0.1483133687982578	0.0	htan_sclc_combined	epithelial		TACSTD2	NK				0.0
64302	0.019462834283150307	7.985326812194105e-07	htan_sclc_combined	epithelial		CLDN4	CD8_Tcell				1.6968819475912473e-06
64302	0.025726701312502615	6.814299894618045e-11	htan_sclc_combined	epithelial		CLDN4	CYT				1.5796786119341832e-10
64302	0.06880301717738162	2.5415710286438708e-68	htan_sclc_combined	epithelial		CLDN4	Cytotoxic_effector				7.201117914490968e-68
64302	0.15846193903011746	0.0	htan_sclc_combined	epithelial		CLDN4	IFNG_6gene				0.0
64302	0.08691526837930227	4.791989858163565e-108	htan_sclc_combined	epithelial		CLDN4	TLS_12chemokine				1.745653448331013e-107
64302	0.10245381548079523	1.4124374842431245e-149	htan_sclc_combined	epithelial		CLDN4	TGFB_exclusion				6.54857379058176e-149
64302	0.10139761309198136	1.5569482309236249e-146	htan_sclc_combined	epithelial		CLDN4	Immune_general				6.617029981425406e-146
64302	0.05055621198166605	1.1439922281900827e-37	htan_sclc_combined	epithelial		CLDN4	B_cell				2.9171801818847107e-37
64302	0.09666519722810922	2.6915092999758626e-133	htan_sclc_combined	epithelial		CLDN4	Myeloid				1.0558998022982231e-132
64302	0.0753506834750243	1.3123106055898015e-81	htan_sclc_combined	epithelial		CLDN4	NK				4.461856059005325e-81
42	0.5629203468114415	0.00010414414735424983	htan_sclc_combined					TACSTD2_epi	frac_immune	sample	0.00018969112553809787
42			htan_sclc_combined					TACSTD2_epi	frac_cd8	sample	
42	0.45984928287821086	0.0021849749257736896	htan_sclc_combined					TACSTD2_epi	frac_t	sample	0.003482303787951818
42	0.3084839154039381	0.04685127266175399	htan_sclc_combined					TACSTD2_epi	CYT_all	sample	0.061267048865370606
42	0.36520541285147073	0.017398845584903077	htan_sclc_combined					TACSTD2_epi	CD8_Tcell_all	sample	0.025352603566573054
42	0.5170569645895795	0.0004546991108268163	htan_sclc_combined					TACSTD2_epi	IFNG_6gene_all	sample	0.0007996432638678493
42	0.640547767603922	4.902684720755615e-06	htan_sclc_combined					TACSTD2_epi	TLS_12chemokine_all	sample	9.616804644559093e-06
42	0.3755773438133052	0.01424448859773573	htan_sclc_combined					TACSTD2_epi	TGFB_exclusion_all	sample	0.021366732896603596
42	0.11546876266104855	0.4665028944668491	htan_sclc_combined					CLDN4_epi	frac_immune	sample	0.5532941306467279
42			htan_sclc_combined					CLDN4_epi	frac_cd8	sample	
42	0.11093104286524594	0.4843129378546268	htan_sclc_combined					CLDN4_epi	frac_t	sample	0.5613627234224083
42	0.026983226642897665	0.865305305794119	htan_sclc_combined					CLDN4_epi	CYT_all	sample	0.900623889704083
42	0.015476865732112474	0.9225037795089636	htan_sclc_combined					CLDN4_epi	CD8_Tcell_all	sample	0.9409538550991428
42	0.1354023174783243	0.392566298715026	htan_sclc_combined					CLDN4_epi	IFNG_6gene_all	sample	0.4766876484396744
42	0.19147556924074224	0.22446811935070732	htan_sclc_combined					CLDN4_epi	TLS_12chemokine_all	sample	0.28619685217215185
42	0.09196985657564218	0.5624034297328243	htan_sclc_combined					CLDN4_epi	TGFB_exclusion_all	sample	0.6235342373124791
42	0.1820760068065797	0.24847762238588428	htan_sclc_combined					TACSTD2_all	frac_immune	sample	0.30908192052878286
42			htan_sclc_combined					TACSTD2_all	frac_cd8	sample	
42	0.06733652054128515	0.6717828976694727	htan_sclc_combined					TACSTD2_all	frac_t	sample	0.7289559102370874
42	0.0418928774005348	0.792227590885986	htan_sclc_combined					TACSTD2_all	CYT_all	sample	0.8417418153163602
42	0.006725548983064582	0.9662821917161817	htan_sclc_combined					TACSTD2_all	CD8_Tcell_all	sample	0.9662821917161817
42	0.35061988493639096	0.022815737189398926	htan_sclc_combined					TACSTD2_all	IFNG_6gene_all	sample	0.03232229435164848
42	0.40669313669880885	0.007523168001413417	htan_sclc_combined					TACSTD2_all	TLS_12chemokine_all	sample	0.011626714184002554
42	0.3208005834211166	0.038322930925800566	htan_sclc_combined					TACSTD2_all	TGFB_exclusion_all	sample	0.05143340729515339
42	-0.6865732112470627	5.168877371114249e-07	htan_sclc_combined					CLDN4_all	frac_immune	sample	1.1461423735948988e-06
42			htan_sclc_combined					CLDN4_all	frac_cd8	sample	
42	-0.6633984280042136	1.6840268562453542e-06	htan_sclc_combined					CLDN4_all	frac_t	sample	3.4354147867405226e-06
42	-0.47103152094643874	0.0016416140149342062	htan_sclc_combined					CLDN4_all	CYT_all	sample	0.0027697660362769965
42	-0.6160764929908435	1.4032210860550263e-05	htan_sclc_combined					CLDN4_all	CD8_Tcell_all	sample	2.6505287181039387e-05
42	-0.3271209788509845	0.03446643996524576	htan_sclc_combined					CLDN4_all	IFNG_6gene_all	sample	0.04750779562777118
42	-0.4700591524187667	0.001683583276952684	htan_sclc_combined					CLDN4_all	TLS_12chemokine_all	sample	0.0027697660362769965
42	-0.09715582205655944	0.5404776879682234	htan_sclc_combined					CLDN4_all	TGFB_exclusion_all	sample	0.6125413796973198
