cell_type	n	TACSTD2_mean	TACSTD2_pct	CLDN4_mean	CLDN4_pct	dataset
fibroblast	4623	0.053861128930635015	0.037854207224745834	0.022063595068137574	0.018170019467878003	hca_madissoon_lung
blood vessel endothelial cell	2694	0.15478841888524023	0.08685968819599109	0.02190051967334818	0.01893095768374165	hca_madissoon_lung
T cell	88	0.045454545454545456	0.011363636363636364	0.0	0.0	hca_madissoon_lung
mast cell	2911	0.008588114050154586	0.00790106492614222	0.01099278598419787	0.010305736860185504	hca_madissoon_lung
muscle cell	839	0.05959475679818155	0.04052443384982122	0.02026221692491061	0.014302741358760428	hca_madissoon_lung
B cell	1551	0.004513217279174726	0.004513217279174726	0.007736943907156673	0.007736943907156673	hca_madissoon_lung
pulmonary alveolar epithelial cell	5440	1.3746323692448	0.5051470588235294	1.7794117799576592	0.6551470588235294	hca_madissoon_lung
dendritic cell	1727	0.05385060799073538	0.04053271569195136	0.013896931094383324	0.013896931094383324	hca_madissoon_lung
monocyte	6067	0.012856436616725617	0.0103840448327015	0.009889566507334762	0.009724740398879182	hca_madissoon_lung
natural killer cell	10548	0.005972696245733789	0.005877891543420554	0.009290860826697004	0.009101251422070534	hca_madissoon_lung
CD4-positive, alpha-beta T cell	7211	0.0072112051033143805	0.007072528082096796	0.006240465954791291	0.006240465954791291	hca_madissoon_lung
plasmacytoid dendritic cell	46	0.021739130434782608	0.021739130434782608	0.0	0.0	hca_madissoon_lung
plasma cell	287	0.059233449477351915	0.05226480836236934	0.0627177700348432	0.04878048780487805	hca_madissoon_lung
CD8-positive, alpha-beta cytotoxic T cell	5755	0.01164205047382053	0.006602953953084275	0.015986099292877753	0.005560382276281494	hca_madissoon_lung
regulatory T cell	481	0.004158004158004158	0.004158004158004158	0.002079002079002079	0.002079002079002079	hca_madissoon_lung
mononuclear leukocyte	242	0.268595045263117	0.10743801652892562	0.045454545454545456	0.045454545454545456	hca_madissoon_lung
conventional dendritic cell	163	3.190184139766576	0.6748466257668712	0.024539877300613498	0.024539877300613498	hca_madissoon_lung
endothelial cell of lymphatic vessel	337	0.2195845697329377	0.12759643916913946	0.020771513353115726	0.020771513353115726	hca_madissoon_lung
lung multiciliated epithelial cell	466	2.678111661657243	0.648068669527897	2.755364823239044	0.6351931330472103	hca_madissoon_lung
lung macrophage	5543	0.029406458596427928	0.02724156593902219	0.02417463467436406	0.023092188345661194	hca_madissoon_lung
