cell_type	n	TACSTD2_mean	TACSTD2_pct	CLDN4_mean	CLDN4_pct	dataset
epithelial cell of lung	37048	8.880182465990067	0.8490876700496653	11.893084646944505	0.9097657093500324	luad_histology_scrna
mast cell	1666	0.045018007202881155	0.042617046818727494	0.047418967587034816	0.04081632653061224	luad_histology_scrna
endothelial cell	1627	0.1272280270436386	0.10817455439459127	0.08481868469575907	0.07129686539643516	luad_histology_scrna
macrophage	11460	0.1018324607329843	0.08141361256544502	0.10017452006980802	0.08778359511343804	luad_histology_scrna
B cell	4709	0.030367381609683584	0.02951794436186027	0.031216818857506903	0.029942662985771928	luad_histology_scrna
lymphocyte	1615	0.06253869969040247	0.060061919504643964	0.06749226006191951	0.06068111455108359	luad_histology_scrna
natural killer cell	1637	0.032376298106292	0.031154551007941355	0.04948075748320098	0.047648136835675016	luad_histology_scrna
CD4-positive, alpha-beta T cell	5585	0.03222918531781558	0.03043867502238138	0.050492390331244405	0.048701880035810205	luad_histology_scrna
CD8-positive, alpha-beta T cell	10966	0.03848258252781324	0.036658763450665696	0.04431880357468539	0.04231260258982309	luad_histology_scrna
neutrophil	1065	0.06384976525821597	0.05727699530516432	0.08732394366197183	0.07699530516431925	luad_histology_scrna
plasmacytoid dendritic cell	690	0.0463768115942029	0.04492753623188406	0.08115942028985507	0.07536231884057971	luad_histology_scrna
plasma cell	2952	0.12669376693766937	0.11415989159891599	0.14464769647696477	0.13075880758807587	luad_histology_scrna
CD4-positive, CD25-positive, alpha-beta regulatory T cell	6535	0.03978576893649579	0.037643458301453714	0.056465187452180564	0.054169854628921196	luad_histology_scrna
CD8-positive, alpha-beta cytotoxic T cell	1691	0.04376108811354228	0.04376108811354228	0.06445890005913661	0.05972797161442933	luad_histology_scrna
gamma-delta T cell	692	0.03468208092485549	0.033236994219653176	0.057803468208092484	0.05346820809248555	luad_histology_scrna
mature NK T cell	561	0.06417112299465241	0.0570409982174688	0.0481283422459893	0.04634581105169341	luad_histology_scrna
naive thymus-derived CD4-positive, alpha-beta T cell	4183	0.034425053789146544	0.032990676547932106	0.04876882620129094	0.0461391345923978	luad_histology_scrna
naive thymus-derived CD8-positive, alpha-beta T cell	945	0.02962962962962963	0.02857142857142857	0.037037037037037035	0.037037037037037035	luad_histology_scrna
CD4-positive type I NK T cell secreting interferon-gamma	682	0.020527859237536656	0.020527859237536656	0.045454545454545456	0.045454545454545456	luad_histology_scrna
conventional dendritic cell	3483	0.7846683893195521	0.2242319839219064	0.0818260120585702	0.07436118288831467	luad_histology_scrna
activated CD4-positive, alpha-beta T cell, human	7151	0.029925884491679485	0.029226681582995385	0.05369878338693889	0.05076213117046567	luad_histology_scrna
CD14-positive monocyte	1797	0.05509181969949917	0.04952698942682248	0.07345575959933222	0.06789092932665554	luad_histology_scrna
innate lymphoid cell	514	0.04085603112840467	0.038910505836575876	0.04669260700389105	0.04474708171206226	luad_histology_scrna
CD38-positive naive B cell	302	0.029801324503311258	0.029801324503311258	0.029801324503311258	0.029801324503311258	luad_histology_scrna
CD141-positive myeloid dendritic cell	181	3.5580110497237567	0.7182320441988951	0.11602209944751381	0.11049723756906077	luad_histology_scrna
CD14-positive, CD16-positive monocyte	1066	0.09662288930581614	0.07317073170731707	0.08442776735459662	0.07598499061913697	luad_histology_scrna
fibroblast of lung	2759	0.07285248278361725	0.06342877854295034	0.10438564697354114	0.08155128669807901	luad_histology_scrna
lung pericyte	43	0.16279069767441862	0.11627906976744186	0.13953488372093023	0.09302325581395349	luad_histology_scrna
lung macrophage	1466	0.10231923601637108	0.08526603001364257	0.126193724420191	0.10504774897680765	luad_histology_scrna
cycling mononuclear phagocyte	2195	0.4387243735763098	0.1662870159453303	0.13895216400911162	0.1111617312072893	luad_histology_scrna
