n	rho	p	dataset	subset	pair	gene	signature	x	y	level	q
65662	0.678954029126002	0.0	hca_travaglini_10x	all	TACSTD2_vs_CLDN4						0.0
23626	0.683465412755384	0.0	hca_travaglini_10x	epithelial	TACSTD2_vs_CLDN4						0.0
15296	0.0407929975096606	4.491682843923968e-07	hca_travaglini_10x	immune	TACSTD2_vs_CLDN4						1.0901162857163788e-06
23626	-0.1822752850658016	1.3230609674633806e-175	hca_travaglini_10x	epithelial		TACSTD2	CD8_Tcell				6.804313546954529e-175
23626	-0.0545174180897366	5.0497861695451786e-17	hca_travaglini_10x	epithelial		TACSTD2	CYT				1.3466096452120477e-16
23626	-0.124708283130426	1.6237698737621034e-82	hca_travaglini_10x	epithelial		TACSTD2	Cytotoxic_effector				6.495079495048414e-82
23626	-0.5233857231260329	0.0	hca_travaglini_10x	epithelial		TACSTD2	IFNG_6gene				0.0
23626	-0.3711673819221392	0.0	hca_travaglini_10x	epithelial		TACSTD2	TLS_12chemokine				0.0
23626	-0.3207048164785104	0.0	hca_travaglini_10x	epithelial		TACSTD2	TGFB_exclusion				0.0
23626	-0.6047756038095966	0.0	hca_travaglini_10x	epithelial		TACSTD2	Immune_general				0.0
23626	-0.0334649296307916	2.67549392988107e-07	hca_travaglini_10x	epithelial		TACSTD2	B_cell				6.567121464253535e-07
23626	-0.6062076261621291	0.0	hca_travaglini_10x	epithelial		TACSTD2	Myeloid				0.0
23626	-0.1053765999200134	2.563520821886313e-59	hca_travaglini_10x	epithelial		TACSTD2	NK				8.930975766571669e-59
23626	-0.2103928038356655	1.372659998392955e-234	hca_travaglini_10x	epithelial		CLDN4	CD8_Tcell				7.412363991321957e-234
23626	-0.0704157490379232	2.3162803561403037e-27	hca_travaglini_10x	epithelial		CLDN4	CYT				6.333120973750704e-27
23626	-0.150537705459824	8.869919735572492e-120	hca_travaglini_10x	epithelial		CLDN4	Cytotoxic_effector				3.9914638810076214e-119
23626	-0.5574472087072078	0.0	hca_travaglini_10x	epithelial		CLDN4	IFNG_6gene				0.0
23626	-0.4526404828055798	0.0	hca_travaglini_10x	epithelial		CLDN4	TLS_12chemokine				0.0
23626	-0.4204907029101685	0.0	hca_travaglini_10x	epithelial		CLDN4	TGFB_exclusion				0.0
23626	-0.6714735085255611	0.0	hca_travaglini_10x	epithelial		CLDN4	Immune_general				0.0
23626	-0.039387293928185	1.3941573496015052e-09	hca_travaglini_10x	epithelial		CLDN4	B_cell				3.4613561783209785e-09
23626	-0.6725501705758332	0.0	hca_travaglini_10x	epithelial		CLDN4	Myeloid				0.0
23626	-0.1229535323226628	3.025069150045661e-80	hca_travaglini_10x	epithelial		CLDN4	NK				1.1463419937015137e-79
7	0.2142857142857143	0.6445115810207203	hca_travaglini_10x					TACSTD2_epi	frac_immune	sample	0.7288717356045841
7	-0.1428571428571428	0.7599453002180927	hca_travaglini_10x					TACSTD2_epi	frac_cd8	sample	0.8334828606317928
7	0.2142857142857143	0.6445115810207203	hca_travaglini_10x					TACSTD2_epi	frac_t	sample	0.7288717356045841
7	0.0714285714285714	0.879048193148154	hca_travaglini_10x					TACSTD2_epi	CYT_all	sample	0.9041638558095298
7	0.0357142857142857	0.9394082054712856	hca_travaglini_10x					TACSTD2_epi	CD8_Tcell_all	sample	0.9481877214102695
7	-0.25	0.5887244480896832	hca_travaglini_10x					TACSTD2_epi	IFNG_6gene_all	sample	0.6764068126987849
7	-0.0357142857142857	0.9394082054712856	hca_travaglini_10x					TACSTD2_epi	TLS_12chemokine_all	sample	0.9481877214102695
7	-0.1428571428571428	0.7599453002180927	hca_travaglini_10x					TACSTD2_epi	TGFB_exclusion_all	sample	0.8334828606317928
7	0.3214285714285715	0.4820720382996777	hca_travaglini_10x					CLDN4_epi	frac_immune	sample	0.5747889811901066
7	-0.1071428571428571	0.8191508555699912	hca_travaglini_10x					CLDN4_epi	frac_cd8	sample	0.8673362000152849
7	0.3214285714285715	0.4820720382996777	hca_travaglini_10x					CLDN4_epi	frac_t	sample	0.5747889811901066
7	0.1071428571428571	0.8191508555699912	hca_travaglini_10x					CLDN4_epi	CYT_all	sample	0.8673362000152849
7	0.1071428571428571	0.8191508555699912	hca_travaglini_10x					CLDN4_epi	CD8_Tcell_all	sample	0.8673362000152849
7	-0.2142857142857143	0.6445115810207203	hca_travaglini_10x					CLDN4_epi	IFNG_6gene_all	sample	0.7288717356045841
7	0.0	1.0	hca_travaglini_10x					CLDN4_epi	TLS_12chemokine_all	sample	1.0
7	-0.1071428571428571	0.8191508555699912	hca_travaglini_10x					CLDN4_epi	TGFB_exclusion_all	sample	0.8673362000152849
7	-0.3928571428571429	0.3833168704269727	hca_travaglini_10x					TACSTD2_all	frac_immune	sample	0.4928359762632506
7	-0.8214285714285715	0.0234488083456915	hca_travaglini_10x					TACSTD2_all	frac_cd8	sample	0.0422078550222447
7	-0.3928571428571429	0.3833168704269727	hca_travaglini_10x					TACSTD2_all	frac_t	sample	0.4928359762632506
7	-0.6071428571428572	0.1482311614811616	hca_travaglini_10x					TACSTD2_all	CYT_all	sample	0.22547838647838667
7	-0.6071428571428572	0.1482311614811616	hca_travaglini_10x					TACSTD2_all	CD8_Tcell_all	sample	0.22547838647838667
7	0.5	0.2531699951003227	hca_travaglini_10x					TACSTD2_all	IFNG_6gene_all	sample	0.3550955775433097
7	0.5357142857142858	0.2152174556780129	hca_travaglini_10x					TACSTD2_all	TLS_12chemokine_all	sample	0.3141011515300729
7	0.6071428571428572	0.1482311614811616	hca_travaglini_10x					TACSTD2_all	TGFB_exclusion_all	sample	0.22547838647838667
7	-0.2857142857142857	0.5345092286010406	hca_travaglini_10x					CLDN4_all	frac_immune	sample	0.627467355314265
7	-0.642857142857143	0.119392373427411	hca_travaglini_10x					CLDN4_all	frac_cd8	sample	0.18553059467856675
7	-0.2857142857142857	0.5345092286010406	hca_travaglini_10x					CLDN4_all	frac_t	sample	0.627467355314265
7	-0.7142857142857144	0.0713435614675376	hca_travaglini_10x					CLDN4_all	CYT_all	sample	0.11763518532052003
