set	n_listed	n_present	genes	missing
CXCL9_CXCL10_CXCL13	3	3	CXCL9,CXCL10,CXCL13	none
GEP18_Ayers2017	18	18	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCL9,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	none
GEP18_noCXCL9	17	17	CCL5,CD27,CD274,CD276,CD8A,CMKLR1,CXCR6,HLA-DQA1,HLA-DRB1,HLA-E,IDO1,LAG3,NKG7,PDCD1LG2,PSMB10,STAT1,TIGIT	none
Ayers6_companion	6	6	IDO1,CXCL10,CXCL9,HLA-DRA,STAT1,IFNG	none
