gene	present	n_patients_if_present	median_tpm	n_zero_tpm
CLDN4	True	355	2.77683802562689	4
TACSTD2	True	355	304.064902385999	5
CXCL9	True	355	21.5647792521122	8
CXCL10	True	355	42.5287629731894	15
CXCL13	True	355	0.546424278648193	25
CCL5	True	355	13.1287181596732	10
CD27	True	355	5.04801885935354	14
CD274	True	355	3.70706846368347	7
CD276	True	355	14.0405757984062	3
CD8A	True	355	6.79749825669946	4
CMKLR1	True	355	2.01514386965588	9
CXCR6	True	355	3.00716792610253	22
HLA-DQA1	True	355	64.2379869736821	40
HLA-DRB1	True	355	7.52429434082715	11
HLA-E	True	355	341.207202926637	0
IDO1	True	355	3.95540895560494	12
LAG3	True	355	6.9979500870712	5
NKG7	True	355	15.4819166213996	12
PDCD1LG2	True	355	0.645361813489737	15
PSMB10	True	355	30.390655519989	3
STAT1	True	355	49.1261980575472	0
TIGIT	True	355	0.584480731609824	20
HLA-DRA	True	355	6.08543833384964	8
IFNG	True	355	0.54571707136993	73
