family	feature	axis	n	rho	p	q_bh_primary
primary	CLDN4	CXCL9	355	0.026990401365714636	0.6122692362217079	0.8163589816289439
primary	CLDN4	CXCL10	355	0.090575613298222	0.0883697441948554	0.3534789767794216
primary	CLDN4	CXCL13	355	-0.009991931864745273	0.8511877704149955	0.8511877704149955
primary	CLDN4	GEP18_meanz	355	0.0512392349406633	0.3357238241452815	0.671447648290563
extra	CLDN4	CXCL9_10_13_meanz	355	0.029535460094066716	0.5791347176304993	
companion	TACSTD2	CXCL9	355	-0.005766078069161277	0.9137902650673978	
companion	TACSTD2	CXCL10	355	0.0779806683066438	0.14256108905815212	
companion	TACSTD2	CXCL13	355	-0.002453887370390711	0.963253032769333	
companion	TACSTD2	GEP18_meanz	355	-0.07055996116099748	0.18470177061108065	
companion	TACSTD2	CXCL9_10_13_meanz	355	0.01616663794416037	0.7614720056661384	
companion	CLDN4	TACSTD2	355	0.6098024450121771	1.5761449624244348e-37	
companion	CLDN4	Ayers6_meanz	355	0.02940354044135812	0.5808314302094613	
sensitivity	CLDN4	GEP18_noCXCL9_meanz	355	0.0551785274827236	0.2998446925971117	
control	CXCL9	CXCL10	355	0.8425592049890521	6.914030333802252e-97	
control	CXCL9	GEP18_meanz	355	0.7585056712642148	1.2526742241535621e-67	
