gsm	mouse	genotype	sex	treatment	cohort	restorable	lkb1_restored	n_cells_qc	n_cells_raw	frac_Cldn4_pos
GSM5419465	CM0875	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato	Male	Tamoxifen	NonRestored	False	False	2522	3011	0.24940523394131642
GSM5419466	CM0879	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2	Male	Tamoxifen	Restored	True	True	3322	4663	0.11438892233594221
GSM5419467	CM0884	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2	Male	Tamoxifen	Restored	True	True	836	952	0.22488038277511962
GSM5419468	ZR1932	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato	Male	Vehicle	NonRestored	False	False	972	1103	0.30246913580246915
GSM5419469	ZR1966	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2	Female	Vehicle	NonRestored	True	False	2889	3652	0.297680858428522
GSM5419470	ZR1969	KrasLSL-G12D;Lkb1XTR/XTR;Rosa26LSL-tdTomato/FLPo-ERT2	Female	Tamoxifen	Restored	True	True	2102	2636	0.07754519505233111
