contrast	unit	feature	n_a	n_b	mean_a	mean_b	median_a	median_b	delta_mean	delta_median	welch_p	mwu_p	r_rb
Restored_vs_NonRestored	mouse	Cldn4	3	3	0.3001589526347624	0.14276880458208985	0.2995715021221076	0.13401608521486807	-0.15739014805267254	-0.16555541690723952	0.035966964855474785	0.1	-1.0
Restored_vs_NonRestored	cell_descriptive	Cldn4	6383	6260	0.2903623193484783	0.12655051069519496	0.0	0.0	-0.16381180865328332	0.0	5.72118076400208e-69	3.4365382752043724e-114	-0.1625737844984606
Restored_vs_NonRestored	mouse	Stk11	3	3	0.007295643852436719	0.304956835668876	0.005375975872853033	0.3089964798859067	0.2976611918164393	0.3036205040130537	1.960601385725585e-05	0.1	1.0
Restored_vs_NonRestored	cell_descriptive	Stk11	6383	6260	0.005796666124112927	0.30157371545388956	0.0	0.24215478697389609	0.2957770493297766	0.24215478697389609	0.0	0.0	0.5237394757139946
Restored_vs_NonRestored	mouse	Tacstd2	3	3	0.834336705563793	0.627661450313517	0.8113422268902202	0.644239386116206	-0.20667525525027597	-0.16710284077401416	0.06725584420673969	0.1	-1.0
Restored_vs_NonRestored	cell_descriptive	Tacstd2	6383	6260	0.8032291571667335	0.6056891182932215	0.8027088021384486	0.4803715773785163	-0.197540038873512	-0.3223372247599323	1.6118553919383297e-62	1.155738159015054e-68	-0.17646994637813396
Restored_vs_NonRestored	mouse	Epcam	3	3	1.5315476969405444	1.3528286886903083	1.5793700420813492	1.3759177098863218	-0.17871900825023612	-0.20345233219502745	0.15678162771763732	0.2	-0.7777777777777778
Restored_vs_NonRestored	cell_descriptive	Epcam	6383	6260	1.5243007959675912	1.2985627412553806	1.6188551388006402	1.3627762404850967	-0.22573805471221053	-0.25607889831554353	3.921336039485735e-65	5.918863320255686e-105	-0.22321612069599805
Restored_vs_NonRestored	mouse	frac_Cldn4_pos	3	3	0.28318507605743587	0.138938166721131	0.297680858428522	0.11438892233594221	-0.14424690933630488	-0.18329193609257977	0.06788871640815249	0.1	-1.0
Restored_vs_NonRestored	mouse	AT2	3	3	2.155396544763421	2.6651930574219436	2.2192782334303045	2.7308752331711172	0.5097965126585224	0.5115969997408127	0.02188465026643244	0.1	1.0
Restored_vs_NonRestored	cell_descriptive	AT2	6383	6260	2.1384280262681825	2.6109508106516914	2.3779689937393775	3.0043651019221	0.4725227843835089	0.6263961081827225	4.486929656809857e-186	4.734333533739352e-258	0.35242156807294145
Restored_vs_NonRestored	mouse	IFN_CORE	3	3	0.047709620334714604	0.04908459336288363	0.05004590678499781	0.04788118204986161	0.0013749730281690242	-0.0021647247351362017	0.7566508293600057	1.0	0.11111111111111116
Restored_vs_NonRestored	cell_descriptive	IFN_CORE	6383	6260	0.04647668142566661	0.047758556241213904	0.026369564036492307	0.03220812993715966	0.0012818748155472917	0.00583856590066735	0.351582532772523	5.5299752381785975e-06	0.04464234320496896
Restored_vs_NonRestored	mouse	MHC_CORE	3	3	0.6659060533829845	0.7099663299712065	0.5953879029065101	0.6950269572767465	0.04406027658822198	0.09963905437023635	0.6314862528243739	0.7	0.33333333333333326
Restored_vs_NonRestored	cell_descriptive	MHC_CORE	6383	6260	0.6245388025401564	0.6895617397469701	0.6094115481358207	0.6855586792653814	0.06502293720681374	0.07614713112956073	3.374615568671427e-48	1.0236488555039018e-80	0.19540873095918232
Restored_vs_NonRestored	mouse	TJ_CORE	3	3	0.8015502219161547	0.715981998164	0.7968028173159845	0.7135673848025641	-0.08556822375215467	-0.08323543251342036	0.003861203224572778	0.1	-1.0
Restored_vs_NonRestored	cell_descriptive	TJ_CORE	6383	6260	0.8024297257369708	0.7120470008786832	0.8103620064206861	0.6961469383951013	-0.09038272485828758	-0.11421506802558479	2.8302299064001553e-80	1.3146241621602068e-144	-0.26297813831568373
Restored_vs_NonRestored	mouse	IFN_A8	3	3	0.24291179278166405	0.24517226080755483	0.23749914115082305	0.2472193452796576	0.0022604680258907772	0.009720204128834564	0.8175405974444431	1.0	0.11111111111111116
Restored_vs_NonRestored	cell_descriptive	IFN_A8	6383	6260	0.23898040483528557	0.24129743638011114	0.24591438122047365	0.24795715718645578	0.0023170315448255707	0.0020427759659821243	0.02216217473600816	0.012934371727144423	0.02552752193701413
Restored_vs_NonRestored	mouse	MHC_A8	3	3	0.5880737492258065	0.5834525144136817	0.5385760080544013	0.581347859090335	-0.00462123481212473	0.04277185103593373	0.9423505617421265	1.0	-0.11111111111111116
Restored_vs_NonRestored	cell_descriptive	MHC_A8	6383	6260	0.5607921802432676	0.5618040273595383	0.5620231631659398	0.5664935653494843	0.00101184711627067	0.004470402183544442	0.7610286888096048	0.11620484817377624	0.01613363471962015
Restored_vs_NonRestored	mouse	TJ_A8	3	3	0.38761261947975933	0.3441325276332916	0.38815451307509463	0.3423990446620409	-0.04348009184646773	-0.045755468413053724	0.003124409582030095	0.1	-1.0
Restored_vs_NonRestored	cell_descriptive	TJ_A8	6383	6260	0.3871788174548281	0.3419762139507464	0.3841726408249941	0.3330694151751106	-0.04520260350408167	-0.05110322564988351	1.312317471224276e-181	7.064256494730851e-243	-0.34181394368728035
