contrast	n	rho	p	q
CLDN4 vs Palantir pseudotime	35	-0.18795518207282913	0.27958721140386006	0.3914220959654041
CLDN4 vs barrier (no CLDN4)	35	0.39551820728291315	0.01868572822090374	0.11988788210260543
CLDN4 vs IFN	35	-0.13557422969187674	0.4374334664009585	0.5103390441344516
barrier vs IFN	35	0.35630252100840343	0.035653016865932	0.12478555903076201
CLDN4 vs AT2 score	35	0.07787114845938375	0.6565820397955805	0.7070883505490867
IFN vs Palantir pseudotime	35	-0.37675070028011204	0.025690260450558305	0.11988788210260543
barrier vs Palantir pseudotime	35	-0.29831932773109243	0.08174187449244073	0.22887724857883404
CLDN4 vs entropy	35	0.1545449958375228	0.37538150247982693	0.4777582758834161
CLDN4 vs fate_AT1	35	0.4606218369184866	0.005360094230778953	0.07504131923090535
IFN vs fate_AT1	35	-0.04281915887233722	0.8070499865707825	0.8070499865707825
barrier vs fate_AT1	35	0.2824660578725983	0.1001603187457015	0.2337074104066368
CLDN4 vs fate_malignant	35	0.20377068324339737	0.24035061935082572	0.37387874121239556
IFN vs fate_malignant	35	-0.25471335405424667	0.13976720740696377	0.27953441481392755
barrier vs fate_malignant	35	-0.23773246378396357	0.16907729753546313	0.2958852706870605
