item	n
n_cells	8113
n_cells_GSE123902	2942
n_cells_GSE205335	5171
n_cells_NORMAL_root_pool	739
n_units	39
n_units_tumor	35
n_units_eligible_tumor	35
n_units_paired_tertile	32
n_terminals	2
root_is_CLDN4_high	0
