contrast	n	rho	p
GSE123902-only CLDN4 vs pseudotime	13	-0.12637362637362637	0.6807854750709491
GSE123902-only CLDN4 vs IFN	13	-0.21978021978021978	0.4706148514721425
GSE123902-only CLDN4 vs barrier	13	0.6593406593406593	0.0142255785114567
GSE123902-only IFN vs pseudotime	13	0.21428571428571427	0.4820544547023681
GSE205335-only CLDN4 vs pseudotime	22	-0.22303783173348396	0.31841675008781406
GSE205335-only CLDN4 vs IFN	22	0.011857707509881424	0.9582317578505689
GSE205335-only CLDN4 vs barrier	22	0.29870129870129875	0.17691319425141333
GSE205335-only IFN vs pseudotime	22	-0.6058723884810843	0.0028034474393201663
all-units incl NORMAL-root CLDN4 vs IFN	39	-0.13238866396761134	0.4217359449945696
drop SCLC/NUT CLDN4 vs IFN	30	-0.05005561735261402	0.7927966871761777
drop SCLC/NUT CLDN4 vs barrier	30	0.5604004449388209	0.0012782287404482185
drop SCLC/NUT CLDN4 vs pseudotime	30	-0.4545050055617353	0.011628367601971825
