cohort	gene	status	n_responder	n_nonresponder	mean_responder	mean_nonresponder	hedges_g	se	ci_low	ci_high	p_value
GSE126044	TACSTD2	estimated	5	11	4.986788540895573	6.13090235499331	-0.7200464403941029	0.5562605190587655	-1.8103170577492833	0.37022417696107746	0.195513125280779
GSE126044	CLDN4	estimated	5	11	2.231634385388646	3.4971725567980623	-0.8823293640934742	0.5645465833049481	-1.9888406673711725	0.22418193918422413	0.11807632225790793
GSE135222	TACSTD2	estimated	7	20	6.92136109893086	6.834240959600278	0.04257202231582159	0.4391963005295287	-0.8182527267220546	0.9033967713536978	0.9227806736620232
GSE135222	CLDN4	estimated	7	20	6.787610318121649	6.58668349983873	0.08061560483429038	0.43930299381178683	-0.7804182630368117	0.9416494727053926	0.8543994582600034
GSE136961	TACSTD2	not estimable: gene absent from deposited matrix									
GSE136961	CLDN4	not estimable: gene absent from deposited matrix									
GSE166449	TACSTD2	estimated	7	15	3.294756508799656	2.774927220190943	0.317587595399547	0.4604838287525428	-0.584960708955437	1.2201358997545309	0.49039393181562785
GSE166449	CLDN4	estimated	7	15	1.5386100002805756	1.4021359694405369	0.1639928855527045	0.45847153803328633	-0.7346113289925367	1.0625971000979457	0.7205717242531103
