symbol	lineage	why
CD3D	T	TCR complex
CD3E	T	TCR complex
CD3G	T	TCR complex
CD247	T	TCR complex
TRAC	T	TCRA constant
TRBC1	T	TCRB constant
TRBC2	T	TCRB constant
TRDC	T	TCRD constant
TRGC1	T	TCRG constant
TRGC2	T	TCRG constant
CD4	T	T helper
CD8A	T	cytotoxic T
CD8B	T	cytotoxic T
CD2	T	T lineage
CD28	T	T costimulation
CD5	T	T lineage
CD6	T	T lineage
CD7	T	T lineage
LCK	T	T signaling
LAT	T	T signaling
ZAP70	T	T signaling
IL7R	T	T lineage
LEF1	T	T lineage
TCF7	T	T lineage
CD27	T	T lineage
CD40LG	T	T helper
SKAP1	T	T signaling
ITK	T	T signaling
CD19	B	B lineage
MS4A1	B	CD20
CD79A	B	BCR
CD79B	B	BCR
CD22	B	B lineage
BANK1	B	B lineage; also Hallmark IFN-γ
BLK	B	B signaling
PAX5	B	B lineage TF
CD72	B	B lineage
VPREB3	B	B lineage
MZB1	B	plasma
JCHAIN	B	plasma
TNFRSF13C	B	BAFF-R
FCRL1	B	B lineage
FCRL5	B	B lineage
NCAM1	NK	CD56
NKG7	NK	NK/cytotoxic
KLRD1	NK	CD94
KLRB1	NK	CD161
KLRC1	NK	NKG2A
KLRF1	NK	NKp80
KLRK1	NK	NKG2D; also Hallmark IFN-γ
NCR1	NK	NKp46
NCR3	NK	NKp30
GNLY	NK	granulysin
PRF1	NK	perforin
GZMB	NK	granzyme
GZMA	NK	granzyme; also Hallmark IFN-γ
GZMH	NK	granzyme
GZMK	NK	granzyme
XCL1	NK	NK chemokine; also Hallmark IFN-γ
XCL2	NK	NK chemokine
FGFBP2	NK	NK cytotoxic
SH2D1B	NK	EAT-2
KIR2DL1	NK	KIR
KIR3DL1	NK	KIR
KIR3DL2	NK	KIR
HCST	NK	DAP10
TYROBP	NK	DAP12
CD69	T	T/NK activation; Hallmark IFN-γ
CD86	B	B-cell and APC costimulator; Hallmark IFN-γ member, not an ISG
LCP2	T	SLP-76 T signaling; Hallmark IFN-γ
