gene_name	sample	fpkm	arm	log2_fpkm1
CD274	CTL1	13.1693710202045	DMSO	3.824703813187623
STC1	CTL1	17.2240833004354	DMSO	4.187774341473724
TACSTD2	CTL1	35.198807	DMSO	5.177870246241558
CLDN4	CTL1	25.6465309810598	DMSO	4.735875820660473
CD274	CTL2	12.8651636166018	DMSO	3.7933927359648814
STC1	CTL2	18.264624890179	DMSO	4.267882189820866
TACSTD2	CTL2	38.390095	DMSO	5.299760991297648
CLDN4	CTL2	22.4217903009151	DMSO	4.549779450809151
CD274	CTL3	12.7654415287244	DMSO	3.782978980235671
STC1	CTL3	18.3107344586357	DMSO	4.271331131246405
TACSTD2	CTL3	38.728447	DMSO	5.312100493921504
CLDN4	CTL3	24.572474703554	DMSO	4.676519874934637
CD274	IBI351_1	3.26147847906524	IBI351	2.0913540464984632
STC1	IBI351_1	6.23996632317368	IBI351	2.855982986603602
TACSTD2	IBI351_1	353.427917	IBI351	8.469348433992794
CLDN4	IBI351_1	12.476595606512	IBI351	3.7523841906719535
CD274	IBI351_2	3.72413462025316	IBI351	2.2400500767597094
STC1	IBI351_2	6.41013294049347	IBI351	2.8894994252396433
TACSTD2	IBI351_2	356.194916	IBI351	8.480567736320689
CLDN4	IBI351_2	13.1468108931688	IBI351	3.822404958745844
CD274	IBI351_3	3.40537002653359	IBI351	2.1392632025792366
STC1	IBI351_3	6.21006090082245	IBI351	2.850011445449935
TACSTD2	IBI351_3	343.476807	IBI351	8.428263041927883
CLDN4	IBI351_3	12.8272092943179	IBI351	3.7894381057855573
