TACSTD2	CLDN4	NOTCH1	CD274	TMEM173	sample	arm
0.0	0.372507775	0.041265973	1.003240198	0.528123919	1_H82_parental	H82_parental
0.0	0.207038192	0.007290802	1.144168979	0.254546679	2_H82_parental	H82_parental
0.0	0.204840567	0.006180486	0.953317413	0.208312808	3_H82_parental	H82_parental
0.218133204	1.207508932	4.749958346	5.391458795	1.070817341	7_H82_NOTCH1_dox	H82_NOTCH1_dox
1.381758496	0.778766756	4.256673296	5.332242585	1.171744252	8_H82_NOTCH1_dox	H82_NOTCH1_dox
1.159210079	1.247400341	5.561320524	4.582450342	1.099387802	9_H82_NOTCH1_dox	H82_NOTCH1_dox
0.0	4.546126145	0.582840378	0.098715614	0.362539934	46_H69_parental	H69_parental
0.0	4.495985739	0.620208143	0.0	0.55081381	47_H69_parental	H69_parental
0.275775566	4.343910061	0.584281971	0.173810989	0.422679746	48_H69_parental	H69_parental
1.425692751	0.115709996	8.074571309	1.6874833	2.754538274	52_H69_NOTCH1_dox	H69_NOTCH1_dox
2.354869454	0.31561983	7.926688107	1.907514987	2.786950193	53_H69_NOTCH1_dox	H69_NOTCH1_dox
2.190394186	0.112979621	7.972215713	1.874368209	2.655756554	54_H69_NOTCH1_dox	H69_NOTCH1_dox
