cohort,gene,tj_gene,spearman_rho,p_value,n,purity_adj_partial_rho,purity_adj_p,n_purity_adj,fdr_bh,purity_adj_fdr_bh
LUAD,TACSTD2,CLDN1,0.43083789670070605,9.788207043866508e-25,516,0.4458929749979322,6.792648086707717e-26,503,2.447051760966627e-24,1.6981620216769292e-25
LUAD,TACSTD2,CLDN4,0.5309540207346253,7.189628573043896e-39,516,0.5253796875468277,5.762278259380673e-37,503,3.594814286521948e-38,2.8811391296903366e-36
LUAD,TACSTD2,CLDN7,0.11586444713561443,0.008427887732664993,516,0.10479217636370836,0.01884806810445992,503,0.008427887732664993,0.01884806810445992
LUAD,TACSTD2,F11R,0.32061326067465484,8.44568352918889e-14,516,0.3126032004686506,7.670683359803323e-13,503,1.407613921531482e-13,1.2784472266338872e-12
LUAD,TACSTD2,PARD3,0.12361353187820907,0.00492434279211336,516,0.11505913422442525,0.009877508186922656,503,0.0061554284901417,0.012346885233653319
LUSC,TACSTD2,CLDN1,0.4257568051148699,1.7718886861796193e-23,501,0.4273953531888712,2.8821565119805603e-23,493,8.859443430898096e-23,1.44107825599028e-22
LUSC,TACSTD2,CLDN4,0.39143583748836985,8.587182907798453e-20,501,0.3879997405295767,4.003923800225008e-19,493,2.1467957269496133e-19,1.000980950056252e-18
LUSC,TACSTD2,CLDN7,0.37212042846577764,6.702925247462266e-18,501,0.37106909667244947,1.656000699724237e-17,493,1.1171542079103777e-17,2.7600011662070617e-17
LUSC,TACSTD2,F11R,0.23363589951570962,1.2245028508002398e-07,501,0.24709641798766277,2.8038418899124587e-08,493,1.5306285635002997e-07,3.504802362390573e-08
LUSC,TACSTD2,PARD3,0.13647985629887296,0.0022020209785295424,501,0.14086402405053514,0.0017350225778266684,493,0.0022020209785295424,0.0017350225778266684
POOLED,TACSTD2,CLDN1,0.46990080805506,5.432803212059039e-57,1017,0.4356937977850052,2.609549585957248e-47,996,2.7164016060295195e-56,6.523873964893119e-47
POOLED,TACSTD2,CLDN4,0.28305940313800637,3.4268387597434824e-20,1017,0.43612353711969865,2.0725494652564178e-47,996,5.711397932905805e-20,6.523873964893119e-47
POOLED,TACSTD2,CLDN7,0.1121882509048905,0.000337524828353557,1017,0.2555766438895056,2.747693285583292e-16,996,0.000337524828353557,3.4346166069791147e-16
POOLED,TACSTD2,F11R,0.34186873062794576,2.9377850405319864e-29,1017,0.2894374115516963,1.2321341448327868e-20,996,7.344462601329965e-29,2.0535569080546446e-20
POOLED,TACSTD2,PARD3,0.22414789264446355,4.773641627267743e-13,1017,0.1420570776422346,6.926788268743908e-06,996,5.967052034084678e-13,6.926788268743908e-06
