cohort,gene,endpoint,n_high,n_low,events_high,events_low,logrank_p
LUAD,TACSTD2,OS,251,252,98,84,0.13082510453948115
LUAD,CLDN4,OS,251,252,98,84,0.09697849266354927
LUAD,TACSTD2,PFI,251,252,104,102,0.473755244148653
LUAD,CLDN4,PFI,251,252,101,105,0.7570464411319537
LUSC,TACSTD2,OS,247,247,98,114,0.9053365857434977
LUSC,CLDN4,OS,247,247,105,107,0.48101956204952845
LUSC,TACSTD2,PFI,247,248,61,85,0.15270292254867412
LUSC,CLDN4,PFI,247,248,75,71,0.37470579159130313
