cohort,gene,endpoint,model,n,n_events,HR_per_SD,CI95_low,CI95_high,p_value
LUAD,TACSTD2,OS,unadjusted,503,182,1.060654885979967,0.9071647242209355,1.2401152261727402,0.4603085352639231
LUAD,TACSTD2,OS,adjusted,485,177,1.0213154122625705,0.8697041046662738,1.1993563853827287,0.7969859098884553
LUAD,CLDN4,OS,unadjusted,503,182,1.0272746086693152,0.8732963567519346,1.2084020658710448,0.7453460195541406
LUAD,CLDN4,OS,adjusted,485,177,0.9981267404858317,0.8487990839330187,1.1737253361026112,0.9819080177752272
LUAD,TACSTD2,PFI,unadjusted,503,206,1.0308559509713946,0.8939730113639814,1.1886980682244266,0.6758949359164681
LUAD,TACSTD2,PFI,adjusted,485,197,1.0043232544847032,0.8692751792980528,1.160352007649927,0.9533106226109893
LUAD,CLDN4,PFI,unadjusted,503,206,0.9512776974608522,0.8208015651686662,1.1024945566477657,0.5069403531996997
LUAD,CLDN4,PFI,adjusted,485,197,0.9468896557560148,0.8175735224560102,1.0966598055723926,0.4663644577989783
LUSC,TACSTD2,OS,unadjusted,494,212,0.9835804239744488,0.8592644165169581,1.125882128748274,0.8102186114498211
LUSC,TACSTD2,OS,adjusted,485,210,0.9481963970247214,0.8254799714903063,1.089155931557597,0.4519082532238431
LUSC,CLDN4,OS,unadjusted,494,212,1.0617836548505761,0.9273925517255907,1.2156497565244984,0.3852525718517563
LUSC,CLDN4,OS,adjusted,485,210,1.0568528111347355,0.9214015085859599,1.2122162314640827,0.42942233686983355
LUSC,TACSTD2,PFI,unadjusted,495,146,0.9385221417798949,0.7957733440930224,1.1068777525025477,0.451018763618905
LUSC,TACSTD2,PFI,adjusted,486,143,0.8963176077771094,0.7566159329882702,1.0618138199103124,0.20545242390897728
LUSC,CLDN4,PFI,unadjusted,495,146,1.0880007514169763,0.9202663082170268,1.286307696494243,0.3234974796782155
LUSC,CLDN4,PFI,adjusted,486,143,1.068303436578026,0.8988246533338169,1.2697384616358094,0.4534498521818149
