metric	contrast	n_a	n_b	median_a	median_b	mean_a	mean_b	q25_a	q75_a	q25_b	q75_b	mannwhitney_U_a	mannwhitney_z	mannwhitney_p_twosided	cliffs_delta_a_minus_b	auc_a_gt_b
TACSTD2_frac_pos	mpr_any_vs_nonMPR	130	112	0.006175575817	0.01085083381	0.01097679337	0.02045192323	0.003128411572	0.01501469082	0.00524908528	0.02407137866	5489	-3.29747485	0.0009755841136	-0.2460164835	0.3769917582
TACSTD2_frac_pos	pCR_vs_nonMPR	85	112	0.007155393547	0.01085083381	0.01119451303	0.02045192323	0.003138646288	0.01601903251	0.00524908528	0.02407137866	3732	-2.592516652	0.009527656867	-0.2159663866	0.3920168067
TACSTD2_frac_pos	MPR_excl_pCR_vs_nonMPR	45	112	0.005652378709	0.01085083381	0.01056554512	0.02045192323	0.003125	0.01114808652	0.00524908528	0.02407137866	1757	-2.959974748	0.003076642591	-0.3027777778	0.3486111111
TACSTD2_frac_pos	pCR_vs_MPR_excl_pCR	85	45	0.007155393547	0.005652378709	0.01119451303	0.01056554512	0.003138646288	0.01601903251	0.003125	0.01114808652	2052	0.6802272968	0.4963605509	0.07294117647	0.5364705882
TACSTD2_mean_count	mpr_any_vs_nonMPR	130	112	0.01828837466	0.02919966213	0.02894088284	0.06041472353	0.008635356728	0.03689426513	0.01293851514	0.04951844544	5710	-2.890470135	0.003846660788	-0.2156593407	0.3921703297
TACSTD2_mean_count	pCR_vs_nonMPR	85	112	0.01823949247	0.02919966213	0.02927544693	0.06041472353	0.008322663252	0.03764949062	0.01293851514	0.04951844544	3718	-2.62784048	0.008592880069	-0.218907563	0.3905462185
TACSTD2_mean_count	MPR_excl_pCR_vs_nonMPR	45	112	0.0190027894	0.02919966213	0.02830892844	0.06041472353	0.009151620084	0.0362544484	0.01293851514	0.04951844544	1992	-2.047720236	0.04058741989	-0.2095238095	0.3952380952
TACSTD2_mean_count	pCR_vs_MPR_excl_pCR	85	45	0.01823949247	0.0190027894	0.02927544693	0.02830892844	0.008322663252	0.03764949062	0.009151620084	0.0362544484	1901	-0.05383093715	0.957069861	-0.006013071895	0.4969934641
TACSTD2_mean_cpm	mpr_any_vs_nonMPR	130	112	2.449620428	3.480735683	4.132422131	8.929067134	1.146330989	5.365143828	1.742230704	8.260425812	5787	-2.748663062	0.005983886267	-0.2050824176	0.3974587912
TACSTD2_mean_cpm	pCR_vs_nonMPR	85	112	2.713454031	3.480735683	4.23485455	8.929067134	1.168907594	5.510041031	1.742230704	8.260425812	3867	-2.251894027	0.02432896972	-0.187605042	0.406197479
TACSTD2_mean_cpm	MPR_excl_pCR_vs_nonMPR	45	112	2.159688335	3.480735683	3.938938672	8.929067134	1.138805454	4.927336526	1.742230704	8.260425812	1920	-2.327219491	0.01995358618	-0.2380952381	0.380952381
TACSTD2_mean_cpm	pCR_vs_MPR_excl_pCR	85	45	2.713454031	2.159688335	4.23485455	3.938938672	1.168907594	5.510041031	1.138805454	4.927336526	1988	0.367029117	0.7135972992	0.03947712418	0.5197385621
CLDN4_frac_pos	mpr_any_vs_nonMPR	130	112	0.002044991379	0.005225385481	0.005511069116	0.01438291779	0.0005250549234	0.006320151994	0.00182055375	0.01396107155	5072	-4.065831199	4.786157e-05	-0.3032967033	0.3483516484
