level	gene	cell_type	n_pos_cells	n_cells_in_type	frac_pos_in_type
major_cell_type	CLDN4	B cell	1716	297076	0.005776299667
major_cell_type	CLDN4	Myeloid cell	1957	191099	0.01024076526
major_cell_type	CLDN4	T/NK cell	4209	766574	0.005490663654
major_cell_type	TACSTD2	B cell	1829	297076	0.006156673713
major_cell_type	TACSTD2	Myeloid cell	8336	191099	0.04362136903
major_cell_type	TACSTD2	T/NK cell	4919	766574	0.00641686256
sub_cell_type	CLDN4	B_prf_MKI67	26	2690	0.009665427509
sub_cell_type	CLDN4	Bm_CD74	161	32629	0.004934260934
sub_cell_type	CLDN4	Bm_FCRL4	37	6432	0.005752487562
sub_cell_type	CLDN4	Bm_MT2A	25	5975	0.004184100418
sub_cell_type	CLDN4	Bm_PDE4D	457	74631	0.00612346076
sub_cell_type	CLDN4	Bm_TNF	177	40284	0.004393803992
sub_cell_type	CLDN4	Bm_TNFSF9	350	71716	0.004880361426
sub_cell_type	CLDN4	Bn_TCL1A	91	18645	0.004880665058
sub_cell_type	CLDN4	CD4T_Tem_GZMA	151	33453	0.004513795474
sub_cell_type	CLDN4	CD4T_Tfh_CXCL13	189	31642	0.005973073763
sub_cell_type	CLDN4	CD4T_Th1-like_CXCL13	125	18260	0.006845564074
sub_cell_type	CLDN4	CD4T_Tm_ANXA1	353	67089	0.005261667337
sub_cell_type	CLDN4	CD4T_Tm_XCL1	26	6018	0.004320372217
sub_cell_type	CLDN4	CD4T_Tn_CCR7	355	70896	0.005007334687
sub_cell_type	CLDN4	CD4T_Treg_CCR8	197	24492	0.008043442757
sub_cell_type	CLDN4	CD4T_Treg_FOXP3	362	53900	0.006716141002
sub_cell_type	CLDN4	CD4T_Treg_MKI67	37	2323	0.01592767972
sub_cell_type	CLDN4	CD8T_ISG15	51	8626	0.005912357987
sub_cell_type	CLDN4	CD8T_MAIT_KLRB1	48	11728	0.004092769441
sub_cell_type	CLDN4	CD8T_NK-like_FGFBP2	152	30002	0.005066328911
sub_cell_type	CLDN4	CD8T_Tem_GZMK+GZMH+	298	60731	0.004906884458
sub_cell_type	CLDN4	CD8T_Tem_GZMK+NR4A1+	199	57363	0.003469135157
sub_cell_type	CLDN4	CD8T_Tex_CXCL13	251	45499	0.005516604761
sub_cell_type	CLDN4	CD8T_Tm_IL7R	285	65845	0.004328346875
sub_cell_type	CLDN4	CD8T_Trm_ZNF683	224	42240	0.005303030303
