cell_index_1based	gene	count
49	CLDN4	1
54	TACSTD2	1
89	CLDN4	1
90	TACSTD2	4
115	TACSTD2	1
115	CLDN4	2
118	CLDN4	1
119	TACSTD2	1
122	TACSTD2	1
123	CLDN4	1
126	TACSTD2	1
143	CLDN4	1
263	TACSTD2	1
267	TACSTD2	1
272	TACSTD2	1
293	TACSTD2	1
305	CLDN4	1
342	CLDN4	1
351	TACSTD2	2
393	TACSTD2	1
397	TACSTD2	1
405	TACSTD2	1
410	TACSTD2	1
419	TACSTD2	2
421	TACSTD2	1
422	CLDN4	1
442	TACSTD2	1
502	TACSTD2	1
518	TACSTD2	1
527	TACSTD2	1
536	CLDN4	1
546	TACSTD2	1
564	TACSTD2	1
608	CLDN4	1
625	TACSTD2	1
642	CLDN4	1
669	TACSTD2	1
677	TACSTD2	1
678	CLDN4	1
680	CLDN4	1
710	TACSTD2	1
743	TACSTD2	1
745	TACSTD2	1
754	CLDN4	1
781	TACSTD2	1
798	TACSTD2	1
836	CLDN4	1
845	CLDN4	1
864	CLDN4	1
879	TACSTD2	1
898	CLDN4	1
903	CLDN4	1
921	CLDN4	1
935	TACSTD2	1
951	TACSTD2	1
963	CLDN4	1
969	CLDN4	1
1001	CLDN4	1
1058	TACSTD2	1
1060	TACSTD2	1
1115	TACSTD2	1
1120	TACSTD2	1
1131	TACSTD2	1
1136	CLDN4	1
1145	TACSTD2	2
1150	TACSTD2	1
1152	CLDN4	1
1153	TACSTD2	1
1169	TACSTD2	1
1171	CLDN4	1
1178	CLDN4	1
1186	CLDN4	1
1189	CLDN4	1
1205	CLDN4	1
1206	TACSTD2	1
1209	CLDN4	1
1286	TACSTD2	1
1306	TACSTD2	1
1324	TACSTD2	1
1330	TACSTD2	1
1345	TACSTD2	1
1381	CLDN4	1
1422	TACSTD2	1
1427	CLDN4	1
1437	TACSTD2	1
1441	CLDN4	1
1469	CLDN4	1
1525	TACSTD2	1
1538	TACSTD2	1
1543	CLDN4	1
1559	CLDN4	1
1614	CLDN4	1
1627	TACSTD2	1
1644	CLDN4	1
1698	TACSTD2	1
1701	TACSTD2	1
1747	TACSTD2	1
1755	TACSTD2	2
1760	CLDN4	1
1778	TACSTD2	10
1780	TACSTD2	5
1781	TACSTD2	4
1791	TACSTD2	14
1804	TACSTD2	3
1805	TACSTD2	8
1807	TACSTD2	1
1818	TACSTD2	9
1819	CLDN4	2
1830	TACSTD2	1
1841	TACSTD2	5
1862	TACSTD2	1
1865	TACSTD2	2
1868	TACSTD2	1
1874	TACSTD2	2
1874	CLDN4	1
1881	TACSTD2	14
1887	CLDN4	1
1890	TACSTD2	1
1890	CLDN4	11
1896	CLDN4	1
1900	TACSTD2	4
1902	TACSTD2	1
1903	TACSTD2	1
1907	TACSTD2	1
1908	CLDN4	1
1917	TACSTD2	1
1918	TACSTD2	6
1919	TACSTD2	11
1925	TACSTD2	1
1932	CLDN4	1
1933	CLDN4	2
1938	CLDN4	1
1947	TACSTD2	1
1960	CLDN4	1
1965	TACSTD2	1
1972	TACSTD2	1
1977	TACSTD2	1
1981	TACSTD2	2
1981	CLDN4	2
1987	TACSTD2	1
1990	TACSTD2	1
1990	CLDN4	2
2006	TACSTD2	1
2008	TACSTD2	2
2011	TACSTD2	1
2019	TACSTD2	6
2024	TACSTD2	1
2027	TACSTD2	1
2038	TACSTD2	18
2040	TACSTD2	1
2047	TACSTD2	2
2049	TACSTD2	3
2058	TACSTD2	1
2061	TACSTD2	10
2066	TACSTD2	1
2081	TACSTD2	1
2096	TACSTD2	2
2097	TACSTD2	1
2104	TACSTD2	5
2109	TACSTD2	7
2118	TACSTD2	3
2120	TACSTD2	18
2126	TACSTD2	1
2131	TACSTD2	1
2136	TACSTD2	1
2138	TACSTD2	1
2140	TACSTD2	18
2145	TACSTD2	4
2154	TACSTD2	1
2164	TACSTD2	2
2168	TACSTD2	2
2176	TACSTD2	4
2177	CLDN4	2
2179	TACSTD2	3
2184	CLDN4	2
2186	TACSTD2	2
2187	CLDN4	1
2192	TACSTD2	29
2200	TACSTD2	3
2200	CLDN4	4
2212	TACSTD2	1
2213	TACSTD2	13
2217	TACSTD2	2
2222	TACSTD2	7
2222	CLDN4	1
2228	CLDN4	1
2230	TACSTD2	37
2231	TACSTD2	1
2241	TACSTD2	5
2243	TACSTD2	2
2247	TACSTD2	6
2249	CLDN4	1
2252	TACSTD2	1
2254	CLDN4	1
2255	TACSTD2	1
2256	TACSTD2	1
2263	TACSTD2	3
2271	TACSTD2	13
2274	TACSTD2	1
2278	TACSTD2	1
2282	TACSTD2	9
2293	TACSTD2	1
2318	TACSTD2	10
2318	CLDN4	1
2324	TACSTD2	2
2326	TACSTD2	1
2329	TACSTD2	1
2331	TACSTD2	7
2347	TACSTD2	5
2359	TACSTD2	16
2368	TACSTD2	1
2376	TACSTD2	8
2378	TACSTD2	3
2382	TACSTD2	1
2388	TACSTD2	2
2389	TACSTD2	3
2390	CLDN4	1
2401	TACSTD2	1
2402	TACSTD2	7
2403	TACSTD2	1
2410	TACSTD2	3
2412	TACSTD2	1
2414	TACSTD2	3
2423	TACSTD2	12
2427	CLDN4	1
2453	TACSTD2	6
2454	TACSTD2	9
2460	TACSTD2	3
2463	TACSTD2	1
2466	TACSTD2	1
2484	TACSTD2	7
2485	TACSTD2	2
2488	CLDN4	1
2492	TACSTD2	1
2494	TACSTD2	8
2496	TACSTD2	4
2499	TACSTD2	1
2512	TACSTD2	3
2513	TACSTD2	1
2516	TACSTD2	1
2524	TACSTD2	17
2527	TACSTD2	4
2531	TACSTD2	1
2533	CLDN4	1
2534	TACSTD2	1
2534	CLDN4	4
2540	TACSTD2	1
2541	TACSTD2	4
2543	TACSTD2	1
2551	TACSTD2	16
2555	TACSTD2	23
2570	TACSTD2	2
2573	TACSTD2	8
2574	TACSTD2	1
2575	TACSTD2	2
2586	CLDN4	1
2587	TACSTD2	1
2590	TACSTD2	2
2597	TACSTD2	2
2607	TACSTD2	1
2617	TACSTD2	1
2625	TACSTD2	11
2632	TACSTD2	7
2638	TACSTD2	12
2640	TACSTD2	28
2641	TACSTD2	1
2646	CLDN4	2
2650	TACSTD2	3
2654	TACSTD2	1
2657	TACSTD2	2
2663	TACSTD2	2
2664	TACSTD2	3
2669	TACSTD2	1
2686	TACSTD2	1
2687	TACSTD2	2
2688	TACSTD2	1
2700	TACSTD2	1
2702	TACSTD2	1
2704	TACSTD2	2
2707	TACSTD2	3
2707	CLDN4	1
2708	TACSTD2	2
2716	TACSTD2	2
2717	CLDN4	1
2721	TACSTD2	27
2726	TACSTD2	1
2730	TACSTD2	7
2731	TACSTD2	36
2738	TACSTD2	1
2746	TACSTD2	2
2754	TACSTD2	4
2756	TACSTD2	1
2759	TACSTD2	6
2769	TACSTD2	26
2771	TACSTD2	16
2775	CLDN4	1
2776	CLDN4	3
2787	TACSTD2	7
2791	TACSTD2	1
2794	TACSTD2	1
2795	TACSTD2	1
2799	TACSTD2	3
2804	TACSTD2	8
2805	TACSTD2	2
2808	TACSTD2	3
2811	TACSTD2	1
2835	TACSTD2	2
2839	TACSTD2	1
2841	TACSTD2	1
2860	TACSTD2	2
2876	TACSTD2	1
2877	TACSTD2	1
2883	TACSTD2	1
2888	TACSTD2	17
2899	TACSTD2	4
2905	CLDN4	1
2906	TACSTD2	1
2909	TACSTD2	1
2915	TACSTD2	1
2920	TACSTD2	1
2928	CLDN4	1
2937	TACSTD2	14
2943	TACSTD2	1
2950	TACSTD2	4
2951	TACSTD2	1
2953	TACSTD2	5
2974	TACSTD2	7
2975	TACSTD2	5
2981	TACSTD2	11
2985	TACSTD2	1
3019	CLDN4	1
3022	TACSTD2	1
3024	TACSTD2	1
3028	TACSTD2	1
3029	CLDN4	1
3032	CLDN4	1
3046	TACSTD2	4
3046	CLDN4	1
3047	TACSTD2	1
3048	TACSTD2	1
3051	TACSTD2	3
3052	TACSTD2	1
3056	TACSTD2	1
3064	TACSTD2	17
3065	TACSTD2	34
3075	TACSTD2	2
3078	TACSTD2	8
3079	TACSTD2	1
3080	TACSTD2	17
3081	TACSTD2	2
3086	TACSTD2	20
3095	TACSTD2	3
3102	TACSTD2	1
3118	TACSTD2	1
3121	TACSTD2	1
3132	TACSTD2	9
3140	TACSTD2	5
3142	TACSTD2	22
3148	TACSTD2	6
3155	TACSTD2	1
3164	TACSTD2	1
3166	TACSTD2	3
3173	CLDN4	1
3188	TACSTD2	2
3189	TACSTD2	3
3191	TACSTD2	1
3191	CLDN4	1
3193	TACSTD2	13
3201	TACSTD2	4
3211	TACSTD2	1
3217	TACSTD2	14
3230	CLDN4	3
3231	TACSTD2	5
3236	TACSTD2	10
3245	TACSTD2	1
3255	CLDN4	1
3258	TACSTD2	1
3266	TACSTD2	1
3271	TACSTD2	44
3273	CLDN4	1
3277	TACSTD2	1
3282	TACSTD2	1
3287	TACSTD2	1
3292	TACSTD2	1
3294	TACSTD2	5
3297	TACSTD2	2
3299	TACSTD2	2
3303	TACSTD2	3
3305	TACSTD2	2
3305	CLDN4	2
3326	CLDN4	1
3470	TACSTD2	1
3472	TACSTD2	1
3489	TACSTD2	1
3503	TACSTD2	1
3584	CLDN4	1
3651	CLDN4	1
3751	TACSTD2	1
3765	CLDN4	1
3772	CLDN4	1
3857	TACSTD2	1
3907	CLDN4	1
3917	TACSTD2	1
3973	TACSTD2	1
3996	CLDN4	1
4039	CLDN4	1
4067	TACSTD2	1
4107	CLDN4	1
4117	TACSTD2	1
4180	TACSTD2	1
4212	CLDN4	1
4227	CLDN4	1
4307	TACSTD2	1
4583	TACSTD2	1
4607	TACSTD2	1
4612	CLDN4	1
4694	TACSTD2	1
4708	TACSTD2	1
4747	CLDN4	1
4860	TACSTD2	1
4892	TACSTD2	1
4942	TACSTD2	1
5011	TACSTD2	1
5078	TACSTD2	2
5163	TACSTD2	1
5425	TACSTD2	1
5477	TACSTD2	1
5527	TACSTD2	1
5658	TACSTD2	1
5901	TACSTD2	1
5964	TACSTD2	1
5990	TACSTD2	1
6027	TACSTD2	1
6128	CLDN4	1
6187	TACSTD2	1
6300	CLDN4	1
6324	TACSTD2	1
6325	TACSTD2	1
6535	TACSTD2	1
6585	CLDN4	1
6881	CLDN4	1
6940	TACSTD2	1
7017	CLDN4	1
7019	TACSTD2	1
7080	TACSTD2	1
7133	TACSTD2	1
7222	CLDN4	1
7270	TACSTD2	1
7365	CLDN4	1
7382	TACSTD2	1
7447	CLDN4	1
7630	TACSTD2	1
7644	TACSTD2	1
7660	TACSTD2	1
7814	TACSTD2	1
7850	CLDN4	1
7984	TACSTD2	1
8000	TACSTD2	1
8044	TACSTD2	1
8156	CLDN4	1
8161	TACSTD2	1
8187	TACSTD2	1
8228	TACSTD2	1
8261	TACSTD2	1
8293	TACSTD2	1
8368	TACSTD2	1
8381	TACSTD2	1
8397	TACSTD2	1
8443	CLDN4	1
8452	TACSTD2	1
8573	TACSTD2	1
8592	TACSTD2	1
8701	TACSTD2	1
8833	CLDN4	1
8883	TACSTD2	1
8924	CLDN4	1
8950	TACSTD2	1
8952	CLDN4	1
8990	TACSTD2	1
9203	TACSTD2	1
9223	CLDN4	1
9328	TACSTD2	1
9418	TACSTD2	1
9506	TACSTD2	1
9623	TACSTD2	1
9630	TACSTD2	1
9698	TACSTD2	1
9839	TACSTD2	1
9912	CLDN4	1
9959	CLDN4	1
9998	TACSTD2	1
10001	TACSTD2	1
10032	TACSTD2	1
10032	CLDN4	1
10192	TACSTD2	1
10200	TACSTD2	1
10339	CLDN4	1
10368	CLDN4	1
10394	TACSTD2	1
10399	CLDN4	1
10427	CLDN4	1
10461	TACSTD2	1
10611	TACSTD2	1
10619	TACSTD2	1
11067	TACSTD2	1
11102	TACSTD2	1
11234	TACSTD2	1
11243	TACSTD2	1
11276	TACSTD2	1
11309	CLDN4	1
11311	TACSTD2	1
11384	CLDN4	1
11451	TACSTD2	1
11505	CLDN4	1
11534	TACSTD2	1
11607	CLDN4	1
11657	TACSTD2	1
11686	TACSTD2	1
11840	CLDN4	1
11843	TACSTD2	1
11862	TACSTD2	11
11874	TACSTD2	12
11877	TACSTD2	9
11895	TACSTD2	2
11906	TACSTD2	2
11910	TACSTD2	12
11911	TACSTD2	1
11915	TACSTD2	1
11936	TACSTD2	1
11956	TACSTD2	1
11957	TACSTD2	11
11978	TACSTD2	1
11984	TACSTD2	1
11994	TACSTD2	12
11996	TACSTD2	6
12000	TACSTD2	14
12030	TACSTD2	22
12032	TACSTD2	2
12077	TACSTD2	13
12082	CLDN4	2
12097	TACSTD2	13
12100	TACSTD2	3
12103	TACSTD2	4
12143	TACSTD2	1
12173	TACSTD2	1
12174	TACSTD2	5
12178	TACSTD2	27
12181	TACSTD2	1
12201	TACSTD2	9
12201	CLDN4	1
12203	CLDN4	1
12211	TACSTD2	2
12218	TACSTD2	1
12219	TACSTD2	9
12243	TACSTD2	1
12255	TACSTD2	14
12260	TACSTD2	1
12261	TACSTD2	1
12262	TACSTD2	8
12476	TACSTD2	1
12982	TACSTD2	1
14019	TACSTD2	1
