cancer_type	metric	contrast	n_mpr_any	n_nonMPR	median_mpr_any	median_nonMPR	mean_mpr_any	mean_nonMPR	mannwhitney_U_mpr_any	mannwhitney_z	mannwhitney_p_twosided	cliffs_delta_mpr_any_minus_nonMPR	auc_mpr_any_gt_nonMPR
LUAD	TACSTD2_frac_pos	mpr_any_vs_nonMPR	21	42	0.004519774011	0.01219044416	0.00607118414	0.02234331379	245	-2.850447885	0.004365770417	-0.4444444444	0.2777777778
LUAD	TACSTD2_mean_count	mpr_any_vs_nonMPR	21	42	0.008813559322	0.03383420567	0.01862507163	0.092240404	275	-2.413039003	0.01582012657	-0.3764172336	0.3117913832
LUAD	TACSTD2_mean_cpm	mpr_any_vs_nonMPR	21	42	1.41482394	3.680755208	2.328557499	11.05293457	270	-2.485940483	0.01292095729	-0.387755102	0.306122449
LUAD	CLDN4_frac_pos	mpr_any_vs_nonMPR	21	42	0.001129943503	0.004931185874	0.003378363859	0.01318323788	281.5	-2.318545338	0.02041970193	-0.3616780045	0.3191609977
LUAD	CLDN4_mean_count	mpr_any_vs_nonMPR	21	42	0.001355932203	0.005414885159	0.003639319933	0.01571841459	276.5	-2.391455569	0.01678171505	-0.373015873	0.3134920635
LUAD	CLDN4_mean_cpm	mpr_any_vs_nonMPR	21	42	0.3857822232	1.622962489	1.293889346	4.293119587	296.5	-2.099814646	0.0357451494	-0.3276643991	0.3361678005
LUSC	TACSTD2_frac_pos	mpr_any_vs_nonMPR	109	70	0.006922067072	0.01071067119	0.01192191074	0.0193170889	3039.5	-2.290836168	0.02197289095	-0.20327654	0.39836173
LUSC	TACSTD2_mean_count	mpr_any_vs_nonMPR	109	70	0.02124833997	0.02782735405	0.03092833271	0.04131931526	3153.5	-1.953861557	0.05071759196	-0.1733944954	0.4133027523
LUSC	TACSTD2_mean_cpm	mpr_any_vs_nonMPR	109	70	2.617225366	3.419661743	4.479955684	7.654746671	3156.5	-1.944993805	0.05177572398	-0.1726081258	0.4136959371
LUSC	CLDN4_frac_pos	mpr_any_vs_nonMPR	109	70	0.002108592514	0.005252172166	0.005921957285	0.01510272573	2556.5	-3.718863429	0.0002001212088	-0.3298820446	0.3350589777
LUSC	CLDN4_mean_count	mpr_any_vs_nonMPR	109	70	0.002108592514	0.005539902252	0.006131175095	0.02265325116	2539.5	-3.76911834	0.0001638252057	-0.3343381389	0.3328309305
LUSC	CLDN4_mean_cpm	mpr_any_vs_nonMPR	109	70	0.6726290419	1.65860329	1.941350817	7.362779306	2639.5	-3.473501215	0.0005137150367	-0.3081258191	0.3459370904
