gene,probe,gsm,group,log2_intensity,within_array_percentile
Epcam,1416579_a_at,GSM2029389,Normal,12.5751,92.55
Epcam,1416579_a_at,GSM2029390,Normal,12.3886,91.5
Epcam,1416579_a_at,GSM2029391,Normal,13.9154,97.38
Epcam,1416579_a_at,GSM2029392,Normal,13.1982,95.43
Epcam,1416579_a_at,GSM2029393,Normal,13.6697,96.93
Epcam,1416579_a_at,GSM2029394,Normal,13.1288,95.14
Epcam,1416579_a_at,GSM2029395,Normal,12.8672,93.93
Epcam,1416579_a_at,GSM2029396,Normal,11.9104,88.13
Epcam,1416579_a_at,GSM2029397,5_Day_DC101,12.8032,93.71
Epcam,1416579_a_at,GSM2029398,5_Day_DC101,13.1756,95.4
Epcam,1416579_a_at,GSM2029399,5_Day_DC101,11.9887,88.31
Epcam,1416579_a_at,GSM2029400,5_Day_DC101,11.5318,84.66
Epcam,1416579_a_at,GSM2029401,5_Day_DC101,12.9135,94.21
Epcam,1416579_a_at,GSM2029402,5_Day_DC101,13.5277,96.36
Epcam,1416579_a_at,GSM2029403,5_Day_DC101,12.634,92.8
Epcam,1416579_a_at,GSM2029404,5_Day_DC101,12.0526,88.87
Epcam,1416579_a_at,GSM2029405,5_Day_G6,12.9551,94.48
Epcam,1416579_a_at,GSM2029406,5_Day_G6,12.6371,92.91
Epcam,1416579_a_at,GSM2029407,5_Day_G6,13.2761,95.65
Epcam,1416579_a_at,GSM2029408,5_Day_G6,13.6733,96.79
Epcam,1416579_a_at,GSM2029409,5_Day_G6,12.6099,92.64
Epcam,1416579_a_at,GSM2029410,5_Day_G6,11.9177,87.75
Epcam,1416579_a_at,GSM2029411,5_Day_G6,13.1957,95.27
Epcam,1416579_a_at,GSM2029412,5_Day_G6,13.1622,95.11
Epcam,1416579_a_at,GSM2029413,5_Day_NT,12.8672,93.95
Epcam,1416579_a_at,GSM2029414,5_Day_NT,13.0586,94.95
Epcam,1416579_a_at,GSM2029415,5_Day_NT,12.4321,91.65
Epcam,1416579_a_at,GSM2029416,5_Day_NT,13.0479,94.96
Epcam,1416579_a_at,GSM2029417,5_Day_NT,12.6641,92.88
Epcam,1416579_a_at,GSM2029418,5_Day_NT,12.7159,93.35
Epcam,1416579_a_at,GSM2029419,5_Day_NT,11.709,85.92
Epcam,1416579_a_at,GSM2029420,5_Day_NT,12.206,90.16
Epcam,1416579_a_at,GSM2029421,20_Day_DC101,12.4023,91.7
Epcam,1416579_a_at,GSM2029422,20_Day_DC101,13.3904,96.19
Epcam,1416579_a_at,GSM2029423,20_Day_DC101,12.6359,92.96
Epcam,1416579_a_at,GSM2029424,20_Day_DC101,12.2893,91.1
Epcam,1416579_a_at,GSM2029425,20_Day_DC101,13.1615,95.21
Epcam,1416579_a_at,GSM2029426,20_Day_DC101,13.377,96.22
Epcam,1416579_a_at,GSM2029427,20_Day_DC101,12.9212,94.42
Epcam,1416579_a_at,GSM2029428,20_Day_DC101,12.2605,90.57
Epcam,1416579_a_at,GSM2029429,20_Day_G6,13.2196,95.58
Epcam,1416579_a_at,GSM2029430,20_Day_G6,12.7321,93.33
Epcam,1416579_a_at,GSM2029431,20_Day_G6,13.1794,95.45
Epcam,1416579_a_at,GSM2029432,20_Day_G6,12.0892,89.42
Epcam,1416579_a_at,GSM2029433,20_Day_G6,13.613,96.69
Epcam,1416579_a_at,GSM2029434,20_Day_G6,13.4822,96.41
Epcam,1416579_a_at,GSM2029435,20_Day_G6,13.8708,97.4
Epcam,1416579_a_at,GSM2029436,20_Day_G6,12.0391,89.2
Epcam,1416579_a_at,GSM2029437,20_Day_NT,12.8006,93.84
Epcam,1416579_a_at,GSM2029438,20_Day_NT,12.3015,91.04
Epcam,1416579_a_at,GSM2029439,20_Day_NT,11.1037,79.59
Epcam,1416579_a_at,GSM2029440,20_Day_NT,8.3695,38.05
Epcam,1416579_a_at,GSM2029441,20_Day_NT,12.7838,93.78
Epcam,1416579_a_at,GSM2029442,20_Day_NT,13.251,95.66
Epcam,1416579_a_at,GSM2029443,20_Day_NT,12.3082,90.95
Epcam,1416579_a_at,GSM2029444,20_Day_NT,10.8675,76.05
Epcam,1416579_a_at,GSM2029445,60_Day_DC101,12.3706,91.22
Epcam,1416579_a_at,GSM2029446,60_Day_DC101,13.033,94.73
Epcam,1416579_a_at,GSM2029447,60_Day_DC101,10.9573,78.59
Epcam,1416579_a_at,GSM2029448,60_Day_DC101,12.0877,89.51
Epcam,1416579_a_at,GSM2029449,60_Day_DC101,13.7869,97.37
Epcam,1416579_a_at,GSM2029450,60_Day_DC101,13.3079,95.77
Epcam,1416579_a_at,GSM2029451,60_Day_G6,13.3427,95.92
Epcam,1416579_a_at,GSM2029452,60_Day_G6,13.8963,97.41
Epcam,1416579_a_at,GSM2029453,60_Day_G6,13.9352,97.47
Epcam,1416579_a_at,GSM2029454,60_Day_G6,13.8038,97.27
Epcam,1416579_a_at,GSM2029455,60_Day_G6,13.5197,96.45
Epcam,1416579_a_at,GSM2029456,60_Day_G6,13.9868,97.29
Epcam,1416579_a_at,GSM2029457,60_Day_G6,13.9343,97.23
Epcam,1416579_a_at,GSM2029458,60_Day_G6,12.9876,94.66
Epcam,1416579_a_at,GSM2029459,60_Day_NT,13.4074,96.14
Epcam,1416579_a_at,GSM2029460,60_Day_NT,12.8503,93.98
Epcam,1416579_a_at,GSM2029461,60_Day_NT,12.7377,93.42
Epcam,1416579_a_at,GSM2029462,60_Day_NT,13.4321,96.29
Epcam,1416579_a_at,GSM2029463,60_Day_NT,13.0054,94.56
Epcam,1416579_a_at,GSM2029464,60_Day_NT,12.9721,94.48
Epcam,1416579_a_at,GSM2029465,60_Day_NT,13.4788,96.39
Epcam,1416579_a_at,GSM2029466,60_Day_NT,12.7147,93.3
Krt19,1417156_at,GSM2029389,Normal,12.2345,90.32
Krt19,1417156_at,GSM2029390,Normal,11.4681,84.0
Krt19,1417156_at,GSM2029391,Normal,12.866,93.91
Krt19,1417156_at,GSM2029392,Normal,10.5012,71.98
