probe,group,n,mean_log2,sd_log2,median_log2,mean_within_array_percentile,kruskal_H,kruskal_p
1423323_at,Normal,8,11.254,0.796,11.304,80.9,31.929,0.00020486094005261581
1423323_at,5_Day_NT,8,11.578,0.344,11.571,84.4,31.929,0.00020486094005261581
1423323_at,5_Day_DC101,8,11.622,0.73,12.007,84.4,31.929,0.00020486094005261581
1423323_at,5_Day_G6,8,12.008,0.67,12.118,87.9,31.929,0.00020486094005261581
1423323_at,20_Day_NT,8,10.975,1.931,11.457,75.3,31.929,0.00020486094005261581
1423323_at,20_Day_DC101,8,12.046,0.673,12.342,88.4,31.929,0.00020486094005261581
1423323_at,20_Day_G6,8,12.521,0.613,12.61,91.6,31.929,0.00020486094005261581
1423323_at,60_Day_NT,8,12.263,0.562,12.365,90.1,31.929,0.00020486094005261581
1423323_at,60_Day_DC101,6,11.74,0.857,11.627,85.3,31.929,0.00020486094005261581
1423323_at,60_Day_G6,8,12.977,0.33,13.091,94.4,31.929,0.00020486094005261581
