gene	on_panel	note
CLDN4	False	NanoString PanCancer Immune 730; HNSCC n=5
TACSTD2	False	NanoString PanCancer Immune 730; HNSCC n=5
EPCAM	True	NanoString PanCancer Immune 730; HNSCC n=5
CDH1	True	NanoString PanCancer Immune 730; HNSCC n=5
