gene,or_minus_non_or_log2,or_exact_p,or_bh_q,pfs_spearman_rho,pfs_exact_p,pfs_bh_q
S100A7,-8.690419273333333,0.2,1.0,-0.9,0.08333333333333333,1.0
DMBT1,3.844110402666665,0.4,1.0,0.5,0.45,1.0
MAGEA3,-3.6681610954999995,0.2,1.0,-0.7,0.23333333333333334,1.0
S100A12,-3.524979037333333,0.3,1.0,-0.7,0.23333333333333334,1.0
CCL8,3.094747305833333,0.1,1.0,0.6,0.35,1.0
NOS2A,-3.0382541803333325,0.5,1.0,-1.0,0.016666666666666666,1.0
C3,2.8295352783333314,0.3,1.0,0.7,0.23333333333333334,1.0
CCL2,2.734174270666667,0.1,1.0,0.8,0.13333333333333333,1.0
HLA-DQA1,-2.7078806056666664,0.7,1.0,-0.4,0.5166666666666667,1.0
CXCL11,2.596876957666667,0.6,1.0,-0.2,0.7833333333333333,1.0
IL19,-2.5625781930000002,0.8,1.0,-0.4,0.5166666666666667,1.0
NEFL,-2.5165464486666664,0.1,1.0,-0.5,0.45,1.0
CXCL13,2.4924493536666663,0.1,1.0,0.6,0.35,1.0
F2RL1,-2.479140009,0.1,1.0,-0.6,0.35,1.0
CXCL12,2.457448464166667,0.4,1.0,0.9,0.08333333333333333,1.0
VCAM1,2.4266324143333318,0.3,1.0,0.5,0.45,1.0
S100A8,-2.3551340194999995,0.6,1.0,-0.4,0.5166666666666667,1.0
IL17RB,2.350551357833333,0.3,1.0,0.2,0.7833333333333333,1.0
CXCR2,-2.2357410484999996,0.4,1.0,-0.7,0.23333333333333334,1.0
IL24,-2.1549006020000006,0.3,1.0,-0.6,0.35,1.0
CCL5,2.152714568833334,0.3,1.0,0.1,0.95,1.0
HLA-DRB4,2.1095233904999997,0.7,1.0,0.1,0.95,1.0
CCL3L1,2.0894431375000018,0.2,1.0,0.6,0.35,1.0
APOE,2.088261903666666,0.5,1.0,0.7,0.23333333333333334,1.0
MAGEA1,-2.0881081115000004,0.3,1.0,-0.5,0.45,1.0
HLA-DQB1,-2.0431603356666663,0.4,1.0,-0.8,0.13333333333333333,1.0
IL1A,-2.0101329796666674,0.4,1.0,-0.7,0.23333333333333334,1.0
CXCL9,2.0069123016666666,0.6,1.0,-0.2,0.7833333333333333,1.0
C4B,2.0012093268333313,0.3,1.0,0.7,0.23333333333333334,1.0
LTB,2.0009570096666662,0.4,1.0,0.1,0.95,1.0
ITGA6,-1.9965591809999985,0.4,1.0,-0.2,0.7833333333333333,1.0
LCN2,-1.9746844095,0.6,1.0,-0.4,0.5166666666666667,1.0
CX3CL1,1.9647082303333345,0.1,1.0,0.8,0.13333333333333333,1.0
CCL22,-1.9614421811666674,0.2,1.0,-0.9,0.08333333333333333,1.0
ULBP2,-1.8374410253333338,0.2,1.0,-0.9,0.08333333333333333,1.0
CXCR1,-1.8307096706666668,0.4,1.0,-0.7,0.23333333333333334,1.0
