claim_gene	gpl_symbol	id	probe	gb_list	title	in_matrix	n_luad_finite	note
CLDN4	CLDN4	1374	A_23_P19944	NM_001305	Claudin 4	True	90	
CD8A	CD8A	9374	A_23_P68110	NM_001768	CD8 antigen, alpha polypeptide (p32)	True	90	
CD274	PDCD1LG1	8635	A_23_P256487	BU621474	Programmed cell death 1 ligand 1	True	90	CD274 = PDCD1LG1 on this platform
TACSTD2	TACSTD2	19914	A_23_P149529	NM_002353	Tumor-associated calcium signal transducer 2	True	90	
