accession	module	canonical	matched_symbol	present
GSE137396	NHEJ	Xrcc5	Xrcc5	yes
GSE137396	NHEJ	Xrcc6	Xrcc6	yes
GSE137396	NHEJ	Prkdc	Prkdc	yes
GSE137396	NHEJ	Dclre1c	Dclre1c	yes
GSE137396	NHEJ	Lig4	Lig4	yes
GSE137396	NHEJ	Xrcc4	Xrcc4	yes
GSE137396	NHEJ	Nhej1	Nhej1	yes
GSE137396	NHEJ	Poll	Poll	yes
GSE137396	NHEJ	Polm	Polm	yes
GSE137396	NHEJ	Pnkp	Pnkp	yes
GSE137396	NHEJ	Aptx	Aptx	yes
GSE137396	NHEJ	Paxx		no
GSE137396	NHEJ	Aplf	Aplf	yes
GSE137396	STING_core	Cgas	Mb21d1	yes
GSE137396	STING_core	Sting1	Tmem173	yes
GSE137396	STING_core	Tbk1	Tbk1	yes
GSE137396	STING_core	Irf3	Irf3	yes
GSE137396	STING_core	Ikbke	Ikbke	yes
GSE137396	STING_ISG	Ifnb1	Ifnb1	yes
GSE137396	STING_ISG	Cxcl10	Cxcl10	yes
GSE137396	STING_ISG	Isg15	Isg15	yes
GSE137396	STING_ISG	Ifit1	Ifit1	yes
GSE137396	STING_ISG	Rsad2	Rsad2	yes
GSE137396	STING_ISG	Mx1	Mx1	yes
GSE137396	STING_ISG	Stat1	Stat1	yes
GSE137396	STING_ISG	Irf7	Irf7	yes
GSE137396	Cldn4	Cldn4	Cldn4	yes
GSE137396	QC	Stk11	Stk11	yes
GSE137396	QC	Actb	Actb	yes
GSE137396	QC	Gapdh	Gapdh	yes
GSE274351	NHEJ	Xrcc5	Xrcc5	yes
GSE274351	NHEJ	Xrcc6	Xrcc6	yes
GSE274351	NHEJ	Prkdc	Prkdc	yes
GSE274351	NHEJ	Dclre1c	Dclre1c	yes
GSE274351	NHEJ	Lig4	Lig4	yes
GSE274351	NHEJ	Xrcc4	Xrcc4	yes
GSE274351	NHEJ	Nhej1	Nhej1	yes
GSE274351	NHEJ	Poll	Poll	yes
GSE274351	NHEJ	Polm	Polm	yes
GSE274351	NHEJ	Pnkp	Pnkp	yes
GSE274351	NHEJ	Aptx	Aptx	yes
GSE274351	NHEJ	Paxx	Paxx	yes
GSE274351	NHEJ	Aplf	Aplf	yes
GSE274351	STING_core	Cgas	Cgas	yes
GSE274351	STING_core	Sting1	Sting1	yes
GSE274351	STING_core	Tbk1	Tbk1	yes
