accession	sample	group	Cldn4	Sting1	Cgas	Stk11	NHEJ	STING_core	STING_ISG	Actb	Aplf	Aptx	Cxcl10	Dclre1c	Gapdh	Ifit1	Ifnb1	Ikbke	Irf3	Irf7	Isg15	Lig4	Mx1	Nhej1	Pnkp	Poll	Polm	Prkdc	Rsad2	Stat1	Tbk1	Xrcc4	Xrcc5	Xrcc6	design	Paxx
GSE137396	KP_411-Kras-Trp53-Vehi	KP	-0.017904	0.392656	0.395288	1.042541	0.29101393585916857	0.7427486592714975	1.5704479496955912	0.356084	-0.316761	0.01702	1.540892	0.357284	-0.0554	1.357128	0.0	-0.4191	0.126054	0.698036	1.069494	-0.342941	0.251625	0.332392	0.071496	0.176212	0.220539	-0.238849	1.6396	0.943676	0.176974	0.274799	0.294716	-0.029582	autochthonous_nodule	
GSE137396	KP_414-Kras-Trp53-Vehi	KP	-0.034652	0.472418	-0.075189	0.573544	0.34931752878769085	-0.19391999016564676	0.783136917044463	0.28657	0.048109	-0.372341	0.839342	0.376255	-0.046454	0.434426	0.0	0.001258	0.02135	0.423967	0.371699	-0.256042	1.127142	0.000187	0.002099	0.235149	-0.04464	0.147407	0.985781	0.486238	-0.368395	-0.177488	0.617296	0.765609	autochthonous_nodule	
GSE137396	KPp3558-8-Kras-Trp53-Vehi	KP	0.017904	-0.198202	-0.284005	0.827037	0.2043003985170083	-0.43630134551736316	-0.5768251329241305	0.024024	0.236991	-0.188571	0.066871	-0.207908	0.424532	-0.545071	0.0	-1.065818	0.045632	-0.256709	-0.223317	0.164295	-0.251625	0.022136	0.064855	0.189976	-0.08936	-0.341909	-0.191114	-0.102862	-0.022067	0.098721	0.047146	0.4832	autochthonous_nodule	
GSE137396	KPp3910-14-Kras-Trp53-Vehi	KP	1.064272	0.141989	-0.515407	0.959531	-0.06935459081931718	-0.1600011852020174	-0.5744366045428093	0.430767	-0.048109	-0.46805	-0.90214	-0.441239	0.076102	0.302361	0.0	-0.001258	0.132302	-0.197525	-0.096731	-0.129948	-0.981937	0.341762	0.215659	0.310562	-0.95643	-0.637245	0.054546	-0.213781	-0.21744	0.682469	-0.047146	0.505313	autochthonous_nodule	
GSE137396	KPp4006-9-Kras-Trp53-Vehi	KP	-0.070214	-0.612965	0.099413	0.642965	-0.16641737570544715	-0.41725906031197846	-0.6647999203680816	-0.024024	0.208519	-0.509416	-0.629519	-0.058114	0.353796	-0.038459	0.0	-0.091452	-0.035647	-0.28084	-0.016932	0.129948	0.446908	-0.386663	-0.105051	0.278819	0.066313	0.133205	-0.530811	-0.640606	-0.006537	0.056036	-0.322739	-0.104402	autochthonous_nodule	
GSE137396	KL77-Kras-Lkb1-NA	KL	0.930579	-0.201738	1.206831	-1.183515	0.2619798126577488	0.5891914608200983	0.9253276104802024	-0.365384	0.069351	-0.01702	-0.066871	0.142813	0.152406	0.806533	0.0	1.365072	-0.080913	1.663661	0.877959	0.33603	1.06558	-0.000187	0.022504	-0.28966	0.04464	0.294379	0.760533	0.101813	0.03533	-0.125877	0.393895	-0.439989	autochthonous_nodule	
GSE137396	KL80-Kras-Lkb1-NA	KL	-1.167454	-0.141989	-0.337812	-0.615864	-0.21142388984963068	-0.6006318225761955	-0.7245387901905767	-0.160039	-0.05927	0.205852	-0.371597	-0.123918	-0.228137	-0.433602	0.0	-0.813936	-0.180929	-0.147246	-0.445937	-0.136328	-1.338885	-0.013114	-0.103288	-0.371017	0.120132	-0.129122	-0.054546	0.12988	0.120937	-0.149996	-0.068586	0.213335	autochthonous_nodule	
GSE137396	KL84-Kras-Lkb1-NA	KL	0.997102	-0.35357	0.745654	-1.370084	0.018458671227530046	-0.1797329646528565	0.05333043866931079	-0.485823	0.07651	0.028508	-1.477143	-0.200937	0.025956	0.038459	0.0	1.303836	-0.203639	1.664553	0.387945	0.357179	1.284447	-0.249621	-0.139409	-0.182347	-0.048452	0.296455	-0.119051	-0.261433	-0.161149	0.046991	0.400379	-0.429158	autochthonous_nodule	
GSE137396	KL5739-Kras-Lkb1-NA	KL	2.864504	0.344751	0.075189	-0.573544	-0.5444857023803316	0.5612622273204304	-0.38843947439859455	0.430307	-0.408933	0.144648	0.190622	0.086579	-0.025956	-0.335784	0.0	1.146264	0.013858	-0.254356	0.016932	0.287264	-0.768294	-0.512524	-0.002099	-0.647291	-0.257089	0.054909	0.345913	-0.101813	0.020842	-0.046991	-0.322691	-0.604177	autochthonous_nodule	
GSE137396	KL6426-Kras-Lkb1-NA	KL	-0.49056	0.25937	-0.137958	-0.646486	-0.13338878829441994	0.09464402101403138	-0.40320299346537486	-0.460448	-0.135719	0.181921	0.200068	0.058114	-0.590479	-0.101638	0.0	0.078156	-0.013858	0.147246	-0.290388	-0.166454	-1.182145	0.052041	-0.034454	-0.176212	0.261228	-0.054909	-0.388549	0.374159	0.006537	-0.296549	-0.221031	0.029582	autochthonous_nodule	
